0	Index      	 *	Score 	Summary	Detail	
1	31112 41261	 * 	233.09	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9CDMG|aASPD
2	31112 41266	 * 	230.86	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	1AART|2ERES|35DMG|45aVULN|5BPWR|68DUR|7RCR|9CDMG
3	32145 11253	 * 	230.21	DCR|3VULN|1SPLARM|2DMG|1AART	1AART|2TLV|35DMG|45LHND|5BPWR|68aVULN|7RCR|9SPLARM
4	36331 21253	   	230.11	DCR|3VULN|1SPLARM|2DMG|1AART	1AART|2LHND|35DMG|48aVULN|6TLV|7RCR|9SPLARM
5	31112 41264	 * 	229.10	DCR|2VULN|2AART|2DMG|1CDMG|2DUR	1aAART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9CDMG
6	34131 31223	 * 	228.06	DCR|3VULN|2DMG|1AART|1ASPD	1AART|2RMIN|3BEXP|468VULN|59DMG|7RCR|aASPD
7	31112 41161	   	227.75	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1DUR	1AART|28ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|9CDMG|aASPD
8	31112 41343	 * 	227.67	DCR|2VULN|2AART|2DMG|1ASPD|1DUR	19AART|2ERES|35DMG|45VULN|5BPWR|6DUR|7RCR|8CGEN|aASPD
9	31112 41256	 * 	227.55	DCR|1SPLARM|2VULN|2DMG|1AART|1CDMG|2DUR	1AART|2ERES|35DMG|45VULN|5BPWR|68DUR|7RCR|9SPLARM|aCDMG
10	34131 31261	 * 	226.72	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2RMIN|3BEXP|468VULN|5DMG|7RCR|9CDMG|aASPD
11	36631 31261	   	226.72	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2LHND|3RMIN|468VULN|5DMG|7RCR|9CDMG|aASPD
