0	Index      	 *	Score 	Summary	Detail	
1	16333 43116	 * 	326.98	橙橙4易伤1等级1暴击	138a易伤238技能点38序列升级4等级5暴击68火球减费79核
2	16333 43111	   	316.12	橙橙3易伤1等级1暴击	138易伤238技能点38序列升级4等级5暴击68火球减费79核a全技能
3	16353 43111	 * 	312.62	橙橙3易伤1矿等1暴击	138易伤238技能点38序列升级4矿等5暴击68火球减费79核a全技能
4	16333 43112	   	307.81	橙橙3易伤1等级1暴击	138易伤238技能点38序列升级4等级5暴击68火球减费79核a平台
5	16333 43113	   	307.81	橙橙3易伤1等级1暴击	138易伤238技能点38序列升级4等级5暴击68火球减费79核a低血量敌人
6	16333 43114	   	307.71	橙橙3易伤1等级1暴击	138易伤238技能点38序列升级4等级5暴击68火球减费79核a掉矿
7	16333 43115	   	307.71	橙橙3易伤1等级1暴击	138易伤238技能点38序列升级4等级5暴击68火球减费79核a挖尘
8	16353 43112	   	304.31	橙橙3易伤1矿等1暴击	138易伤238技能点38序列升级4矿等5暴击68火球减费79核a平台
9	16353 43113	   	304.31	橙橙3易伤1矿等1暴击	138易伤238技能点38序列升级4矿等5暴击68火球减费79核a低血量敌人
10	12314 33122	 * 	300.02	橙橙2矿等1等级1易伤	1易伤2低血量敌人3双倍秒伤49矿等5敌人爆炸6最后敌人7等级8a核
11	12312 52122	   	299.92	橙橙2矿等1等级1易伤	1易伤2低血量敌人3双倍秒伤49矿等5挖尘6等级7最后敌人8a核
12	12332 22122	   	299.92	橙橙2矿等1等级1易伤	1易伤2低血量敌人3双倍秒伤4等级5挖尘69矿等7最后敌人8a核
13	11342 51532	   	297.86	橙橙1等级1易伤1矿等	1易伤2额外掉落3时间4全技能5等级6随机技能7赏金塔8a核9矿等
