0	Index      	 *	Score 	Summary	Detail	
1	11536 33632	 * 	294.30	橙橙2易伤2伤害	1赏金邻近2a最后敌人3时间4额外掉落5a伤害6全技能78核9a易伤a序列升级
2	12513 23231	 * 	288.09	橙橙2矿等1易伤1伤害	1赏金邻近23矿等4技能点5伤害6金币生成7a核8易伤9赏金塔
3	22635 53212	 * 	285.41	橙橙2易伤1矿等1技能	1随机矿2敌人爆炸36金币生成46易伤5立即金币6序列升级78核9技能a矿等
4	21635 53212	   	285.31	橙橙2易伤1矿等1技能	1随机矿2挖尘36金币生成46易伤5立即金币6序列升级78核9技能a矿等
5	22253 23211	 * 	285.09	橙橙2等级1易伤1技能	1随机矿26敌人爆炸3烈焰减费4时间56等级6序列升级78核9技能a易伤
6	21253 23211	   	284.89	橙橙2等级1易伤1技能	1随机矿26挖尘3烈焰减费4时间56等级6序列升级78核9技能a易伤
7	22253 23266	   	281.85	橙橙2等级1易伤1暴击	1随机矿26敌人爆炸3烈焰减费4时间56等级6序列升级78核9易伤a暴击
8	21253 23213	 * 	281.39	橙橙2等级1矿等1技能	1随机矿26挖尘3烈焰减费4时间56等级6序列升级78核9技能a矿等
9	22635 53211	 * 	278.96	橙橙3易伤1技能	1随机矿2敌人爆炸36金币生成46a易伤5立即金币6序列升级78核9技能
10	21635 53211	   	278.86	橙橙3易伤1技能	1随机矿2挖尘36金币生成46a易伤5立即金币6序列升级78核9技能
11	22613 53211	   	276.89	橙橙2等级1易伤1技能	1随机矿26敌人爆炸3金币生成4技能点56等级6序列升级78核9技能a易伤
12	22223 23211	   	276.79	橙橙2等级1易伤1技能	1随机矿26敌人爆炸3烈焰减费4低血量敌人56等级6序列升级78核9技能a易伤
13	56123 53211	   	276.79	橙橙2等级1易伤1技能	12金币生成3挖青46低血量敌人56等级6序列升级78核9技能a易伤
14	21613 53211	   	276.69	橙橙2等级1易伤1技能	1随机矿26挖尘3金币生成4技能点56等级6序列升级78核9技能a易伤
15	21223 23211	   	276.59	橙橙2等级1易伤1技能	1随机矿26挖尘3烈焰减费4低血量敌人56等级6序列升级78核9技能a易伤
16	45232 11251	 * 	275.32	橙橙1易伤2技能1攻速1暴击	1攻速27技能3敌人爆炸4易伤5基地爆炸6a核8双倍秒伤9暴击
17	22253 23264	   	275.14	橙橙2等级1易伤	1随机矿26敌人爆炸3烈焰减费4时间56等级6序列升级78核9易伤a随机技能
18	22253 23262	   	274.75	橙橙2等级1易伤2时间	1随机矿26敌人爆炸3烈焰减费4a时间56等级6序列升级78核9易伤
19	22635 33262	 * 	274.31	橙橙1易伤1等级1矿等	1随机矿2敌人爆炸3金币生成4易伤56立即金币78核9等级a矿等
20	54123 63212	   	273.86	橙橙1易伤1矿等1技能2时间	1金币生成24时间3易伤5技能点6毒气减费78核9技能a矿等
21	21223 23213	   	273.08	橙橙2等级1矿等1技能	1随机矿26挖尘3烈焰减费4低血量敌人56等级6序列升级78核9技能a矿等
22	22253 23215	 * 	273.06	橙橙2等级1伤害1技能	1随机矿26敌人爆炸3烈焰减费4时间56等级6序列升级78核9技能a伤害
23	21253 23215	   	272.86	橙橙2等级1伤害1技能	1随机矿26挖尘3烈焰减费4时间56等级6序列升级78核9技能a伤害
24	22635 33261	 * 	271.92	橙橙2易伤1等级	1随机矿2敌人爆炸3金币生成4a易伤56立即金币78核9等级
25	54123 63211	   	271.48	橙橙2易伤1技能2时间	1金币生成24时间3a易伤5技能点6毒气减费78核9技能
26	22635 53222	   	268.42	橙橙2易伤1矿等	1随机矿2敌人爆炸36金币生成46易伤5立即金币6序列升级78核9掉矿a矿等
27	21635 53222	   	268.32	橙橙2易伤1矿等	1随机矿2挖尘36金币生成46易伤5立即金币6序列升级78核9掉矿a矿等
28	22253 23265	   	268.20	橙橙2等级1易伤	1随机矿26敌人爆炸3烈焰减费4时间56等级6序列升级78核9易伤a雷电
29	22253 23221	   	268.10	橙橙2等级1易伤	1随机矿26敌人爆炸3烈焰减费4时间56等级6序列升级78核9掉矿a易伤
30	22253 23261	   	268.10	橙橙2等级1易伤	1随机矿26敌人爆炸3烈焰减费4时间56等级6序列升级78核9易伤a双倍秒伤
31	22253 23263	   	268.10	橙橙2等级1易伤1挖怪	1随机矿26敌人爆炸3烈焰减费4时间56等级6序列升级78核9易伤a挖怪
32	21253 23261	   	268.00	橙橙2等级1易伤	1随机矿26挖尘3烈焰减费4时间56等级6序列升级78核9金币生成a易伤
33	21253 23221	   	267.90	橙橙2等级1易伤	1随机矿26挖尘3烈焰减费4时间56等级6序列升级78核9掉矿a易伤
34	41116 22432	 * 	267.66	橙2易伤1等级2技能1矿等1攻速	1攻速2随机技能3等级4a技能5矿等68易伤7雷电9核
35	22613 53215	   	264.86	橙橙2等级1伤害1技能	1随机矿26敌人爆炸3金币生成4技能点56等级6序列升级78核9技能a伤害
36	22223 23215	   	264.76	橙橙2等级1伤害1技能	1随机矿26敌人爆炸3烈焰减费4低血量敌人56等级6序列升级78核9技能a伤害
37	56123 53213	   	264.76	橙橙2等级1伤害1技能	12金币生成3挖青46低血量敌人56等级6序列升级78核9技能a伤害
38	22253 23255	   	264.70	橙橙2等级1矿等	1随机矿269敌人爆炸3烈焰减费4时间56等级6序列升级78核a矿等
39	21613 53215	   	264.66	橙橙2等级1伤害1技能	1随机矿26挖尘3金币生成4技能点56等级6序列升级78核9技能a伤害
40	21223 23215	   	264.56	橙橙2等级1伤害1技能	1随机矿26挖尘3烈焰减费4低血量敌人56等级6序列升级78核9技能a伤害
