0	Index      	 *	Score 	Summary	Detail	
1	65122 22262	 * 	224.56	紫3伤害3攻速3易伤1卖塔	1卖塔29a伤害3金币生成4核58随机矿69a易伤79a攻速9a序列升级
2	31342 63243	 * 	221.17	紫1基础对甲2伤害2基地爆炸1全技能	16伤害2双倍矿3全技能4核56基地爆炸6序列升级7易伤8a低血量敌人9基础对甲
3	31342 63242	   	221.07	紫1基础对甲2伤害2基地爆炸1全技能	16伤害2双倍矿3全技能4核56基地爆炸6序列升级7易伤8低血量敌人9基础对甲a掉矿
4	31342 16314	 * 	219.26	紫1基础对甲2伤害2易伤1全技能1基地爆炸	16伤害2双倍矿3全技能4核5基地爆炸7雷电89易伤a基础对甲
5	31342 26314	 * 	216.51	紫1基础对甲2基地爆炸2易伤1伤害1全技能	1伤害2双倍矿3全技能4核56基地爆炸7雷电89易伤a基础对甲
6	32325 62126	 * 	216.26	紫3伤害1基础对甲2易伤1全技能	17a伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9敌人爆炸
7	32325 62151	   	214.26	紫1基础对甲2伤害2易伤1全技能1基地爆炸	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9基地爆炸a随机矿
8	32325 62152	   	214.26	紫1基础对甲2伤害2易伤1全技能1基地爆炸	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9基地爆炸a立即金币
9	32325 62153	   	214.26	紫1基础对甲2伤害2易伤1全技能1基地爆炸	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9基地爆炸a雷电
10	32325 62135	   	208.91	紫1基础对甲2伤害2易伤1全技能1技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9平台a技能
11	32325 31847	   	208.81	紫1基础对甲2伤害2易伤1全技能1技能	1a伤害2全技能3低血量敌人49易伤5核6技能7加一8基础对甲
12	31342 63133	 * 	208.45	紫3伤害2基地爆炸1攻速1全技能	16a伤害2双倍矿3全技能4核56基地爆炸6序列升级7易伤8平台9攻速
13	32442 63133	   	208.45	紫3伤害2基地爆炸1攻速1全技能	16a伤害2全技能3立即金币4核56基地爆炸6序列升级7易伤8平台9攻速
14	31342 13243	   	206.23	紫1基础对甲2伤害1全技能1基地爆炸	16伤害2双倍矿3全技能4核5基地爆炸7易伤8a低血量敌人9基础对甲
15	31342 13246	   	206.23	紫1基础对甲2伤害1全技能1基地爆炸	16伤害2双倍矿3全技能4核5基地爆炸7易伤8低血量敌人9基础对甲a随机矿
16	31342 16334	   	206.23	紫1基础对甲2伤害1全技能1基地爆炸	16伤害2双倍矿3全技能4核5基地爆炸7雷电8易伤9立即金币a基础对甲
17	32442 13243	   	206.23	紫1基础对甲2伤害1全技能1基地爆炸	16伤害2全技能3立即金币4核5基地爆炸7易伤8a低血量敌人9基础对甲
18	31342 13242	   	206.13	紫1基础对甲2伤害1全技能1基地爆炸	16伤害2双倍矿3全技能4核5基地爆炸7易伤8低血量敌人9基础对甲a掉矿
19	31342 13543	   	206.13	紫1基础对甲2伤害1全技能1基地爆炸	16伤害2双倍矿3全技能4核5基地爆炸7易伤8挖尘9基础对甲a低血量敌人
20	32442 13242	   	206.13	紫1基础对甲2伤害1全技能1基地爆炸	16伤害2全技能3立即金币4核5基地爆炸7易伤8低血量敌人9基础对甲a掉矿
21	31342 13542	   	206.03	紫1基础对甲2伤害1全技能1基地爆炸	16伤害2双倍矿3全技能4核5基地爆炸7易伤8挖尘9基础对甲a掉矿
22	31342 63252	 * 	205.82	紫2伤害2基地爆炸2易伤1攻速1全技能	16伤害2双倍矿3全技能4核56基地爆炸6序列升级79易伤8低血量敌人a攻速
23	31342 64222	 * 	205.43	紫3基地爆炸2伤害1攻速1全技能1技能	16伤害2双倍矿3全技能4核569基地爆炸6序列升级7技能8敌人爆炸a攻速
24	31342 64322	   	205.43	紫3基地爆炸2伤害1攻速1全技能1技能	16伤害2双倍矿3全技能4核569基地爆炸6序列升级7技能8低血量敌人a攻速
25	31342 64122	   	205.33	紫3基地爆炸2伤害1攻速1全技能1技能	16伤害2双倍矿3全技能4核569基地爆炸6序列升级7技能8挖尘a攻速
26	65124 23212	 * 	203.85	紫2伤害3易伤2基地爆炸1攻速1卖塔	1卖塔28伤害3金币生成4核5双倍秒伤68a易伤78基地爆炸8序列升级9攻速
27	65124 23231	 * 	203.85	紫2伤害3易伤2基地爆炸1攻速1卖塔	1卖塔28伤害3金币生成4核5双倍秒伤689易伤78基地爆炸8序列升级a攻速
28	31342 23243	   	203.48	紫1基础对甲2基地爆炸1伤害1全技能	1伤害2双倍矿3全技能4核56基地爆炸7易伤8a低血量敌人9基础对甲
29	31342 23246	   	203.48	紫1基础对甲2基地爆炸1伤害1全技能	1伤害2双倍矿3全技能4核56基地爆炸7易伤8低血量敌人9基础对甲a随机矿
30	31342 26334	   	203.48	紫1基础对甲2基地爆炸1伤害1全技能	1伤害2双倍矿3全技能4核56基地爆炸7雷电8易伤9立即金币a基础对甲
31	32442 23243	   	203.48	紫1基础对甲2基地爆炸1伤害1全技能	1伤害2全技能3立即金币4核56基地爆炸7易伤8a低血量敌人9基础对甲
32	31342 23242	   	203.38	紫1基础对甲2基地爆炸1伤害1全技能	1伤害2双倍矿3全技能4核56基地爆炸7易伤8低血量敌人9基础对甲a掉矿
33	31342 23543	   	203.38	紫1基础对甲2基地爆炸1伤害1全技能	1伤害2双倍矿3全技能4核56基地爆炸7易伤8挖尘9基础对甲a低血量敌人
34	32442 23242	   	203.38	紫1基础对甲2基地爆炸1伤害1全技能	1伤害2全技能3立即金币4核56基地爆炸7易伤8低血量敌人9基础对甲a掉矿
35	31345 12422	 * 	203.34	紫2伤害2攻速2基地爆炸1全技能	17伤害2双倍矿3全技能4核57技能点67攻速7序列升级8a基地爆炸9金币生成
36	31345 12432	   	203.34	紫2伤害2攻速2基地爆炸1全技能	17伤害2双倍矿3全技能4核57技能点67攻速7序列升级8a基地爆炸9最后敌人
37	31342 23542	   	203.28	紫1基础对甲2基地爆炸1伤害1全技能	1伤害2双倍矿3全技能4核56基地爆炸7易伤8挖尘9基础对甲a掉矿
38	62421 61323	 * 	202.71	紫1基础对甲2基地爆炸1伤害1攻速1卖塔	1卖塔23时间3序列升级4核56基地爆炸7基础对甲8立即金币9攻速a伤害
39	31342 63631	 * 	200.84	紫3伤害2基地爆炸2全技能	168伤害2双倍矿39全技能4核56基地爆炸6序列升级7易伤a最后敌人
40	31342 63633	   	200.84	紫3伤害2基地爆炸2全技能	168伤害2双倍矿39全技能4核56基地爆炸6序列升级7易伤a金币生成
41	31342 63632	   	200.74	紫3伤害2基地爆炸2全技能	168伤害2双倍矿39全技能4核56基地爆炸6序列升级7易伤a挖青
42	32325 62111	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9最后敌人a随机矿
43	32325 62112	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9最后敌人a额外掉落
44	32325 62113	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9最后敌人a敌人爆炸
45	32325 62114	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3a低血量敌人47易伤5核67技能点7序列升级8基础对甲9最后敌人
46	32325 62115	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9最后敌人a金币生成
47	32325 62121	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9敌人爆炸a随机矿
48	32325 62122	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9敌人爆炸a立即金币
49	32325 62123	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9敌人爆炸a雷电
50	32325 62124	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9敌人爆炸a最后敌人
51	32325 62125	   	200.61	紫1基础对甲2伤害2易伤1全技能	17伤害2全技能3低血量敌人47易伤5核67技能点7序列升级8基础对甲9敌人爆炸a金币生成
