0	Index      	 *	Score 	Summary	Detail	
1	56311 63331	 * 	221.02	ACR|3ASPD|1BASARM|1DMG|1AAC	1DUR|2DMG|3RCR|4LWND|569ASPD|7CGEN|8BASARM|aAAC
2	56313 62123	 * 	214.85	ACR|2ASPD|2DMG|2BEXP|2CDMG	1DUR|2aDMG|3RCR|4LWND|5LHND|6aASPD|78BEXP|9aCDMG|aBPWR
3	56311 63332	   	212.71	ACR|3ASPD|1BASARM|1DMG	1DUR|2DMG|3RCR|4LWND|569ASPD|7CGEN|8BASARM|aLIT
4	56311 63333	   	212.61	ACR|3ASPD|1BASARM|1DMG	1DUR|2DMG|3RCR|4LWND|569ASPD|7CGEN|8BASARM|aDUST
5	56311 63321	 * 	212.01	ACR|1BASARM|2ASPD|1DMG|1VULN	1DUR|2DMG|3RCR|4LWND|56ASPD|7CGEN|8BASARM|9BELT|aVULN
6	56335 11123	 * 	206.65	ACR|2VULN|2DMG|1ASPD|1CDMG|1BEXP	1DUR|26DMG|3RCR|4MSLREG|5BEXP|7aVULN|8CDMG|9ASPD
7	22311 65151	   	203.66	ACR|1BASARM|1ASPD|1VULN|1BEXP|1CDMG|1AAC	1RPLT|2BEXP|3ZMB|4RCR|5CDMG|6ASPD|7LHND|8BASARM|9VULN|aAAC
8	25211 22514	   	201.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RPLT|2LHND|3ASPD|4RCR|5CDMG|6MSLTOX|7DMG|8MDPS|9BEXP|aBASARM
9	25211 23114	   	201.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG	1RPLT|2LHND|3ASPD|4RCR|5CDMG|6MSLTOX|7MDPS|8DMG|9BEXP|aBASARM
10	56311 33151	   	200.86	ACR|1BASARM|1ASPD|1DMG|1VULN|2AAC	1DUR|2DMG|3RCR|4LWND|5ASPD|6FEWX|7aAAC|8BASARM|9VULN
11	56313 62323	   	200.02	ACR|2ASPD|2DMG|2CDMG|1BEXP	1DUR|2aDMG|3RCR|48LWND|5LHND|6aASPD|7BEXP|9aCDMG|aBPWR
12	56313 63323	   	200.02	ACR|2ASPD|2DMG|2CDMG|1BEXP	1DUR|2aDMG|3RCR|47LWND|5LHND|6aASPD|8BEXP|9aCDMG|aBPWR
13	25211 33156	   	197.86	ACR|1BASARM|1ASPD|1VULN|1AART|1CDMG	1RPLT|2LHND|3ASPD|4RCR|5CDMG|6FEWX|7AAC|8BASARM|9VULN|aAART
14	56311 63323	   	197.38	ACR|1BASARM|2ASPD|1DMG	1DUR|2DMG|3RCR|4LWND|56ASPD|7CGEN|8BASARM|9BELT|aRCVC
15	56311 33136	   	196.96	ACR|1BASARM|2ASPD|1DMG	1DUR|2DMG|3RCR|4LWND|5aASPD|6FEWX|7AAC|8BASARM|9RPLT
