0	Index      	 *	Score 	Summary	Detail	
1	21123 16513	 * 	258.78	ACR|2BASARM|2ASPD|2BEXP|1DMG|1AART	1ERES|2RCR|3aASPD|4SNIHEL|5AART|6DMG|7aBASARM|8DUR|9aBEXP|aBPWR
2	11421 32641	 * 	254.61	ACR|3ASPD|1BASARM|2BEXP|2VULN	158ASPD|2RCR|37BEXP|48LIT|68VULN|8BPWR|9BASARM|aAAC
3	11521 12412	 * 	253.93	ACR|3BASARM|3ASPD|2VULN	156ASPD|2RCR|3aVULN|4aLIT|78aBASARM|9AAC|aBPWR
4	11521 12512	 * 	252.63	ACR|2BASARM|3ASPD|3VULN	156ASPD|2RCR|38aVULN|4aLIT|7aBASARM|9AAC|aBPWR
5	11421 32642	   	246.30	ACR|3ASPD|1BASARM|2BEXP|2VULN	158ASPD|2RCR|37BEXP|48LIT|68VULN|8BPWR|9BASARM|aLWND
6	11421 32643	   	246.30	ACR|3ASPD|1BASARM|2BEXP|2VULN	158ASPD|2RCR|37BEXP|48LIT|68VULN|8BPWR|9BASARM|aDUR
7	11521 12452	   	245.62	ACR|3BASARM|3ASPD|2VULN	156ASPD|2RCR|3aVULN|4aLIT|78aBASARM|9RMIN|aBPWR
8	11521 12422	   	245.42	ACR|3BASARM|3ASPD|2VULN	156ASPD|2RCR|3aVULN|4LIT|78aBASARM|9aTLV|aBPWR
9	11521 12552	   	244.32	ACR|2BASARM|3ASPD|3VULN	156ASPD|2RCR|38aVULN|4aLIT|7aBASARM|9RMIN|aBPWR
10	11421 55133	 * 	244.20	ACR|1BASARM|2ASPD|2BEXP|1BASICY|1CDMG	15ASPD|2RCR|39BEXP|4LIT|6MLV|7CDMG|8BASICY|aBASARM
11	11521 12522	   	244.12	ACR|2BASARM|3ASPD|3VULN	156ASPD|2RCR|38aVULN|4LIT|7aBASARM|9aTLV|aBPWR
12	11424 26123	   	244.10	ACR|1BASARM|2ASPD|2BEXP|1BASICY|1CDMG	17ASPD|2RCR|37BEXP|4LIT|5CDMG|67TLV|7BPWR|8BASICY|9DUST|aBASARM
13	21436 42133	   	242.81	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP|1CDMG	1ERES|2RCR|3BEXP|4DUST|5BASARM|68ASPD|7CDMG|9AART|aDMG
14	31436 42133	   	242.81	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AART|1CDMG	1AME|2RCR|3BEXP|4DUST|5BASARM|68ASPD|7CDMG|9AART|aDMG
15	11521 12413	   	241.13	ACR|2BASARM|3ASPD|1CDMG	156ASPD|2RCR|3VULN|4LIT|78BASARM|9AAC|aCDMG
16	21436 43133	   	240.06	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART|1CDMG	1ERES|2RCR|37BEXP|4DUST|5BASARM|6ASPD|8CDMG|9AART|aDMG
17	31436 43133	   	240.06	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AART|1CDMG	1AME|2RCR|37BEXP|4DUST|5BASARM|6ASPD|8CDMG|9AART|aDMG
18	21436 24133	   	239.80	ACR|2BASARM|1ASPD|1DMG|1AART|1BEXP|1CDMG	16ERES|2RCR|3BEXP|4DUST|56BASARM|6BPWR|7ASPD|8CDMG|9AART|aDMG
19	31436 24133	   	239.80	ACR|2BASARM|1ASPD|1DMG|1AART|1BEXP|1CDMG	16AME|2RCR|3BEXP|4DUST|56BASARM|6BPWR|7ASPD|8CDMG|9AART|aDMG
20	31436 26133	   	239.80	ACR|2BASARM|1ASPD|1DMG|1AART|1BEXP|1CDMG	16AME|2RCR|3BEXP|4DUST|56BASARM|6BPWR|7DMG|8CDMG|9AART|aASPD
21	11521 12513	   	239.57	ACR|3ASPD|1BASARM|2VULN|1CDMG	156ASPD|2RCR|38VULN|4LIT|7BASARM|9AAC|aCDMG
22	11433 22462	   	238.70	ACR|3BASARM|2ASPD|1BEXP	1aASPD|2RCR|3BEXP|4aDUST|5LIT|6VULN|78aBASARM|9AAC|aBPWR
23	11433 22562	   	238.50	ACR|2BASARM|2ASPD|2VULN|1BEXP	1aASPD|2RCR|3BEXP|4aDUST|5LIT|68VULN|7aBASARM|9AAC|aBPWR
24	21436 26133	 * 	237.33	ACR|2BASARM|2DMG|1AART|1BEXP|1CDMG	16ERES|2RCR|3BEXP|4DUST|56BASARM|6BPWR|7aDMG|8CDMG|9AART
25	21412 34121	   	233.35	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1ERES|2RCR|39BEXP|4AIRHEL|5CDMG|6VULN|7BASARM|8ASPD|aDMG
26	31412 34161	   	233.35	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1AME|2RCR|39BEXP|4AIRHEL|5CDMG|6VULN|7BASARM|8ASPD|aDMG
27	11144 23312	   	233.18	ACR|3ASPD|1BASARM|2BEXP	139ASPD|2RCR|4ERES|59LIT|6LWND|7BASARM|89BEXP|9BPWR|aVULN
28	11521 42141	 * 	232.96	ACR|3ASPD|1BASARM|1DMG	157ASPD|2RCR|3VULN|4LIT|6RMIN|8DMG|9BASARM|aAAC
29	11521 14141	   	232.86	ACR|3ASPD|1BASARM|1DMG	156ASPD|2RCR|3VULN|4LIT|7NUKE|8DMG|9BASARM|aAAC
30	11521 12431	   	232.82	ACR|2BASARM|3ASPD|1CDMG	156ASPD|2RCR|3VULN|4LIT|78BASARM|9CDMG|aDUR
31	11521 12435	   	232.82	ACR|2BASARM|3ASPD|1CDMG	156ASPD|2RCR|3VULN|4LIT|78BASARM|9CDMG|aDMSP
32	11521 12436	   	232.82	ACR|2BASARM|3ASPD|1CDMG	156ASPD|2RCR|3VULN|4LIT|78BASARM|9CDMG|aLHND
33	11521 12453	   	232.82	ACR|2BASARM|3ASPD|1CDMG	156ASPD|2RCR|3VULN|4LIT|78BASARM|9RMIN|aCDMG
34	11424 22133	 * 	232.82	ACR|1BASARM|2BEXP|1ASPD|2CDMG|1BASICY	1ASPD|2RCR|39BEXP|4LIT|57CDMG|6TLV|8BASICY|aBASARM
35	11521 12423	   	232.72	ACR|2BASARM|3ASPD|1CDMG	156ASPD|2RCR|3VULN|4LIT|78BASARM|9TLV|aCDMG
36	11521 12432	   	232.72	ACR|2BASARM|3ASPD|1CDMG	156ASPD|2RCR|3VULN|4LIT|78BASARM|9CDMG|aAIRHEL
37	11521 12433	   	232.72	ACR|2BASARM|3ASPD|1CDMG	156ASPD|2RCR|3VULN|4LIT|78BASARM|9CDMG|aERES
38	11521 12162	   	232.40	ACR|2BASARM|3ASPD|2VULN	156ASPD|2RCR|3aVULN|4LIT|7aBASARM|8RPLT|9aLHND|aBPWR
39	11521 12122	   	232.20	ACR|2BASARM|3ASPD|2VULN	156ASPD|2RCR|3aVULN|4LIT|7aBASARM|8RPLT|9aDUST|aBPWR
40	31142 12514	   	232.01	ACR|2BASARM|2ASPD|2BEXP	1AME|2RCR|3aASPD|4MDPS|5LIT|6CGEN|7aBASARM|8VULN|9aBEXP|aBPWR
41	11521 12361	   	231.89	ACR|3ASPD|1BASARM|1AART|1CDMG	156ASPD|2RCR|3VULN|4LIT|7BASARM|8FEWX|9CDMG|aAART
42	11521 12366	   	231.89	ACR|3ASPD|1BASARM|1BEXP|1CDMG	156ASPD|2RCR|3VULN|4LIT|7BASARM|8FEWX|9CDMG|aBEXP
43	11521 12261	   	231.79	ACR|3ASPD|1BASARM|1AART|1CDMG	156ASPD|2RCR|3VULN|4LIT|7BASARM|8DUST|9CDMG|aAART
44	11521 12266	   	231.79	ACR|3ASPD|1BASARM|1BEXP|1CDMG	156ASPD|2RCR|3VULN|4LIT|7BASARM|8DUST|9CDMG|aBEXP
45	31412 34111	 * 	231.53	ACR|1BASARM|2VULN|1ASPD|1DMG|1BEXP|1CDMG	1AME|2RCR|3BEXP|4AIRHEL|5CDMG|69VULN|7BASARM|8ASPD|aDMG
46	11113 31645	   	231.46	ACR|3ASPD|1BASARM|2VULN|1BEXP	138ASPD|2RCR|4LHND|58LIT|68VULN|7RCVC|8BPWR|9BASARM|aBEXP
47	11113 13545	   	231.26	ACR|3ASPD|1BASARM|2VULN|1BEXP	136ASPD|2RCR|4LHND|5LIT|78VULN|9BASARM|aBEXP
48	11521 12141	   	231.26	ACR|3ASPD|1BASARM|2VULN|1AART	156ASPD|2RCR|39VULN|4LIT|7BASARM|8RPLT|aAART
49	11521 12146	   	231.26	ACR|3ASPD|1BASARM|2VULN|1BEXP	156ASPD|2RCR|39VULN|4LIT|7BASARM|8RPLT|aBEXP
50	11521 12531	   	231.26	ACR|3ASPD|1BASARM|2VULN|1CDMG	156ASPD|2RCR|38VULN|4LIT|7BASARM|9CDMG|aDUR
51	11521 12535	   	231.26	ACR|3ASPD|1BASARM|2VULN|1CDMG	156ASPD|2RCR|38VULN|4LIT|7BASARM|9CDMG|aDMSP
52	11521 12536	   	231.26	ACR|3ASPD|1BASARM|2VULN|1CDMG	156ASPD|2RCR|38VULN|4LIT|7BASARM|9CDMG|aLHND
53	11521 12553	   	231.26	ACR|3ASPD|1BASARM|2VULN|1CDMG	156ASPD|2RCR|38VULN|4LIT|7BASARM|9RMIN|aCDMG
54	11521 12523	   	231.16	ACR|3ASPD|1BASARM|2VULN|1CDMG	156ASPD|2RCR|38VULN|4LIT|7BASARM|9TLV|aCDMG
55	11521 12532	   	231.16	ACR|3ASPD|1BASARM|2VULN|1CDMG	156ASPD|2RCR|38VULN|4LIT|7BASARM|9CDMG|aAIRHEL
56	11521 12533	   	231.16	ACR|3ASPD|1BASARM|2VULN|1CDMG	156ASPD|2RCR|38VULN|4LIT|7BASARM|9CDMG|aERES
57	11433 22452	   	230.39	ACR|3BASARM|2ASPD|1BEXP	1aASPD|2RCR|3BEXP|4aDUST|5LIT|6VULN|78aBASARM|9RMIN|aBPWR
58	11433 22552	   	230.19	ACR|2BASARM|2ASPD|2VULN|1BEXP	1aASPD|2RCR|3BEXP|4aDUST|5LIT|68VULN|7aBASARM|9RMIN|aBPWR
59	21123 16543	   	230.09	ACR|2BASARM|2ASPD|1DMG|1AART	1ERES|2RCR|3aASPD|4SNIHEL|5AART|6DMG|7aBASARM|8DUR|9aDUST|aBPWR
60	11423 24326	 * 	229.91	ACR|3ASPD|3DMG|1AART|1BEXP	179ASPD|2RCR|3BEXP|49LIT|5AART|6MBVNT|89aDMG|9BPWR
61	11532 57344	 * 	229.81	ACR|1BASARM|3VULN|1ASPD|1DMG|1BEXP	1ASPD|2RCR|37aVULN|4DUST|5MBVNT|6BASARM|8DMG|9BEXP
62	11153 55133	   	229.36	ACR|1BASARM|2ASPD|1BASICY|1BEXP|1CDMG	13ASPD|2RCR|4FEWX|5LIT|6MLV|7CDMG|8BASICY|9BEXP|aBASARM
63	11321 55133	   	229.36	ACR|1BASARM|2ASPD|1BASICY|1BEXP|1CDMG	15ASPD|2RCR|3FEWX|4LIT|6MLV|7CDMG|8BASICY|9BEXP|aBASARM
64	11324 26133	   	229.36	ACR|1BASARM|2ASPD|1BASICY|1BEXP|1CDMG	17ASPD|2RCR|37FEWX|4LIT|5CDMG|67TLV|7BPWR|8BASICY|9BEXP|aBASARM
65	11421 55123	   	229.26	ACR|1BASARM|2ASPD|1BASICY|1BEXP|1CDMG	15ASPD|2RCR|3BEXP|4LIT|6MLV|7CDMG|8BASICY|9DUST|aBASARM
66	11421 13513	 * 	229.20	ACR|3ASPD|2DMG|2BEXP|1CDMG	156ASPD|2RCR|39BEXP|4LIT|79DMG|89LWND|9BPWR|aCDMG
67	11423 46321	 * 	229.20	ACR|3DMG|2ASPD|2BEXP|1AART	19ASPD|2RCR|39BEXP|4LIT|5AART|67LHND|89aDMG|9BPWR
68	11423 55321	   	229.20	ACR|3DMG|2ASPD|2BEXP|1AART	19ASPD|2RCR|39BEXP|4LIT|5AART|67LWND|89aDMG|9BPWR
69	21436 31161	   	229.16	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP	1ERES|2RCR|3BEXP|4DUST|5BASARM|6CGEN|7AART|8aASPD|9DMG
70	31436 31161	   	229.16	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AART	1AME|2RCR|3BEXP|4DUST|5BASARM|6CGEN|7AART|8aASPD|9DMG
71	11423 24321	   	229.10	ACR|3ASPD|2DMG|2BEXP|1AART	179ASPD|2RCR|3aBEXP|49LIT|5AART|6MBVNT|89DMG|9BPWR
72	21466 13133	   	229.01	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP|1SELL	1ERES|2RCR|3BEXP|4FEWX|5BASARM|6SELL|78ASPD|9AART|aDMG
73	31466 13133	   	229.01	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AART|1SELL	1AME|2RCR|3BEXP|4FEWX|5BASARM|6SELL|78ASPD|9AART|aDMG
74	11143 11241	   	229.00	ACR|3ASPD|2DMG|2BEXP|1AART	13aASPD|2RCR|4ERES|5aBEXP|6DUST|7CGEN|8AART|9aDMG|aBPWR
75	21436 13133	   	228.91	ACR|1BASARM|2ASPD|1DMG|1AART|1BEXP|1SELL	1ERES|2RCR|3BEXP|4DUST|5BASARM|6SELL|78ASPD|9AART|aDMG
76	31436 13133	   	228.91	ACR|1BASARM|2ASPD|1DMG|1BEXP|1AART|1SELL	1AME|2RCR|3BEXP|4DUST|5BASARM|6SELL|78ASPD|9AART|aDMG
