0	Index      	 *	Score 	Summary	Detail	
1	16511 31431	 * 	205.96	ACR|3VULN|3BEXP|2ASPD	1aLWND|28ASPD|3RCR|4NUKE|59aBEXP|67aVULN|aBPWR
2	34616 12333	 * 	205.27	ACR|2VULN|2ASPD|2DMG|1AART	1AART|2aASPD|3aVULN|4MDPS|5RCR|6AAC|7RMIN|8aDMG|9RPLT|aBPWR
3	26523 36223	 * 	201.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1DUR|2ASPD|3RCR|4FEWX|5BEXP|6RPLT|7DMG|8MSLTOX|9AAC|aBASARM
4	16511 24131	 * 	201.09	ACR|1BASARM|3BEXP|1ASPD	1LWND|2ASPD|3RCR|4NUKE|579BEXP|6RCVC|8FEWX|aBASARM
5	16511 24331	   	201.09	ACR|1BASARM|3BEXP|1ASPD	1LWND|2ASPD|3RCR|4NUKE|579BEXP|6RCVC|8LHND|aBASARM
6	16511 24231	   	200.99	ACR|1BASARM|3BEXP|1ASPD	1LWND|2ASPD|3RCR|4NUKE|579BEXP|6RCVC|8DUST|aBASARM
7	26511 22331	   	199.08	ACR|2VULN|2ASPD|2BEXP|1CDMG	1DUR|28ASPD|3RCR|4NUKE|5aBEXP|69VULN|7CDMG
8	26511 26131	   	199.08	ACR|2VULN|2ASPD|2BEXP|1CDMG	1DUR|27ASPD|3RCR|4NUKE|5aBEXP|69VULN|8CDMG
9	33516 63133	 * 	198.68	ACR|2VULN|1BASARM|1AART|1BEXP|1CDMG	1AART|2CGEN|38VULN|4MDPS|5RCR|6BEXP|7BASARM|9FEWX|aCDMG
10	26521 36213	   	197.24	ACR|2VULN|2ASPD|2DMG	18DUR|28ASPD|3RCR|4FEWX|5aVULN|6RPLT|78DMG|8BPWR|9CGEN
11	26533 21411	 * 	196.86	ACR|1BASARM|2ASPD|1DMG	159DUR|28ASPD|3RCR|4AEMAG|6DMG|7MDPS|aBASARM
12	26533 21611	 * 	196.86	ACR|1BASARM|2DMG|1ASPD	159DUR|2ASPD|3RCR|4AEMAG|68DMG|7MDPS|aBASARM
13	26511 22341	   	196.81	ACR|3BEXP|2ASPD|1VULN|1CDMG	1DUR|28ASPD|3RCR|4NUKE|59aBEXP|6VULN|7CDMG
14	16511 31421	   	195.44	ACR|3VULN|2ASPD|2BEXP	1aLWND|28ASPD|3RCR|4NUKE|5aBEXP|67aVULN|9RCVC|aBPWR
15	26511 21411	   	194.69	ACR|3VULN|2ASPD|2BEXP	19aDUR|28ASPD|3RCR|4NUKE|5aBEXP|67aVULN|aBPWR
16	16531 11111	 * 	193.45	ACR|3VULN|3ASPD|1AAC	1aLWND|26aASPD|3RCR|4AEMAG|5LHND|78aVULN|9AAC|aBPWR
17	16532 11111	   	193.45	ACR|3VULN|3ASPD|1AAC	1aLWND|26aASPD|3RCR|4AEMAG|5FEWX|78aVULN|9AAC|aBPWR
18	16533 11111	   	193.45	ACR|3VULN|3ASPD|1AAC	1aLWND|26aASPD|3RCR|4AEMAG|5DUR|78aVULN|9AAC|aBPWR
19	26531 11111	   	193.45	ACR|3VULN|3ASPD|1AAC	1aDUR|26aASPD|3RCR|4AEMAG|5LHND|78aVULN|9AAC|aBPWR
20	26532 11111	   	193.45	ACR|3VULN|3ASPD|1AAC	1aDUR|26aASPD|3RCR|4AEMAG|5FEWX|78aVULN|9AAC|aBPWR
21	66532 11111	   	193.35	ACR|3VULN|3ASPD|1AAC	1aLHND|26aASPD|3RCR|4AEMAG|5DUST|78aVULN|9AAC|aBPWR
22	26521 33412	 * 	193.23	ACR|1VULN|2BEXP|1ASPD|1DMG|1BASICY	1DUR|2ASPD|3RCR|4FEWX|5VULN|6RPLT|78BEXP|9BASICY|aDMG
23	26523 36233	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUR|2ASPD|3RCR|4FEWX|5BEXP|6RPLT|7DMG|8MSLTOX|9ZMB|aBASARM
24	26523 36332	   	193.02	ACR|1BASARM|1ASPD|1DMG|1BEXP	18DUR|2ASPD|3RCR|4FEWX|5BEXP|6RPLT|7DMG|9SNITOX|aBASARM
25	26511 22313	   	192.07	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1DUR|28ASPD|3RCR|4NUKE|5BEXP|6VULN|7CDMG|9LIT|aDMG
26	26511 26113	   	192.07	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1DUR|27ASPD|3RCR|4NUKE|5BEXP|6VULN|8CDMG|9LIT|aDMG
27	25531 26113	   	192.07	ACR|2ASPD|1VULN|1DMG|1CDMG|1BEXP	1DUR|2ERES|3RCR|47ASPD|5BEXP|6VULN|8CDMG|9LIT|aDMG
28	33516 63321	 * 	191.56	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1AART|2CGEN|3VULN|4MDPS|5RCR|6BEXP|7BASARM|8RPLT|9ZMB|aASPD
29	31516 63321	   	191.46	ACR|1BASARM|1VULN|1ASPD|1BEXP|1AART	1AART|2ERES|3VULN|4MDPS|5RCR|6BEXP|7BASARM|8RPLT|9ZMB|aASPD
30	36616 33122	 * 	191.34	ACR|2VULN|1BASARM|1ASPD|1AART	1AART|2AME|38VULN|4MDPS|5RCR|6DUR|7BASARM|9DMSP|aASPD
31	26521 36223	   	190.86	ACR|2ASPD|2DMG|1VULN|1AAC	18DUR|28ASPD|3RCR|4FEWX|5VULN|6RPLT|78DMG|8BPWR|9MDPS|aAAC
32	26521 36233	   	190.86	ACR|2ASPD|2DMG|1VULN|1AAC	18DUR|28ASPD|3RCR|4FEWX|5VULN|6RPLT|78DMG|8BPWR|9SPLARM|aAAC
33	15531 11232	   	190.85	ACR|2VULN|2ASPD|1DMG|1BEXP	19LWND|2ERES|3RCR|49ASPD|5BEXP|6DUR|79VULN|8BELT|9BPWR|aDMG
34	26523 33363	 * 	190.85	ACR|2ASPD|2BEXP|2CDMG|1AART	19DUR|29ASPD|3RCR|4FEWX|57BEXP|6RPLT|89CDMG|9BPWR|aAART
35	65531 11232	   	190.85	ACR|2VULN|2ASPD|1DMG|1BEXP	19LHND|2ERES|3RCR|49ASPD|5BEXP|6DUR|79VULN|8BELT|9BPWR|aDMG
