0	Index      	 *	Score 	Summary	Detail	
1	32624 15223	 * 	195.06	ACR|1BASARM|1VULN|1ASPD|1CDMG|1BEXP	1LIT|2AME|3MDPS|4RCR|5CDMG|6BEXP|7ERES|8VULN|9ASPD|aBASARM
2	32624 15233	 * 	195.06	ACR|1BASARM|1VULN|1DMG|1CDMG|1BEXP	1LIT|2AME|3MDPS|4RCR|5CDMG|6BEXP|7ERES|8VULN|9DMG|aBASARM
3	13573 12734	 * 	192.76	ACR|1BASARM|1VULN|1ASPD|1AART|1CDMG	1AAC|2FEWX|3MBVNT|4LIT|5RCR|6CDMG|7VULN|8ASPD|9AART|aBASARM
4	53432 35223	 * 	189.79	ACR|3VULN|2DMG|2BEXP	1DMSP|2aDMG|3aDUR|4RCR|5FEWX|69BEXP|78aVULN|aBPWR
5	32626 62211	 * 	187.06	ACR|2DMG|2BEXP|1VULN|1ASPD	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8VULN|9FEWX|aASPD
6	32623 63223	   	181.51	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LIT|2AME|3MDPS|4RCR|5LHND|6VULN|7CDMG|8CGEN|9ASPD|aBASARM
7	32623 63233	   	181.51	ACR|1BASARM|1VULN|1DMG|1CDMG	1LIT|2AME|3MDPS|4RCR|5LHND|6VULN|7CDMG|8CGEN|9DMG|aBASARM
8	32623 63523	   	181.41	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LIT|2AME|3MDPS|4RCR|5LHND|6VULN|7CDMG|8ERES|9ASPD|aBASARM
9	32623 63533	   	181.41	ACR|1BASARM|1VULN|1DMG|1CDMG	1LIT|2AME|3MDPS|4RCR|5LHND|6VULN|7CDMG|8ERES|9DMG|aBASARM
10	32624 23233	   	181.41	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LIT|2AME|3MDPS|4RCR|5CDMG|6LWND|7ASPD|8VULN|9TLV|aBASARM
11	32624 25223	   	181.41	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LIT|2AME|3MDPS|4RCR|5CDMG|6LWND|7ERES|8VULN|9ASPD|aBASARM
12	32624 25233	   	181.41	ACR|1BASARM|1VULN|1DMG|1CDMG	1LIT|2AME|3MDPS|4RCR|5CDMG|6LWND|7ERES|8VULN|9DMG|aBASARM
13	32624 42223	   	181.41	ACR|1BASARM|1VULN|1ASPD|1CDMG	1LIT|2AME|3MDPS|4RCR|5CDMG|6TLV|7FEWX|8VULN|9ASPD|aBASARM
14	32624 42233	   	181.41	ACR|1BASARM|1VULN|1DMG|1CDMG	1LIT|2AME|3MDPS|4RCR|5CDMG|6TLV|7FEWX|8VULN|9DMG|aBASARM
15	32626 62231	 * 	180.65	ACR|2DMG|2BEXP|1VULN|1CDMG	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8VULN|9CDMG|aFEWX
16	32626 62232	   	180.65	ACR|2DMG|2BEXP|1VULN|1CDMG	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8VULN|9CDMG|aDMSP
17	32626 62233	   	180.65	ACR|2DMG|2BEXP|1VULN|1CDMG	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8VULN|9CDMG|aRPLT
18	53552 31322	 * 	180.61	ACR|2VULN|2DMG|1ASPD|1AAC	1DMSP|29DMG|3LIT|4RCR|59FEWX|6ASPD|7DUR|89VULN|9BPWR|aAAC
19	24522 15333	 * 	178.45	DCR|3ASPD|3DMG|1VULN	178ERES|278DMG|3VULN|4LIT|578ASPD|6RCVC|78BPWR|9LWND|aRCR
20	53435 23223	   	178.34	ACR|2DMG|2VULN|2BEXP	1DMSP|2aDMG|36aDUR|4RCR|58BEXP|7LWND|9aVULN|aBPWR
21	54312 11363	 * 	177.89	ACR|2VULN|1ASPD|1DMG|1BEXP|1CDMG	1DMSP|2MULARM|3BEXP|4CDMG|5RCR|67VULN|8RCVC|9ASPD|aDMG
22	53432 41122	 * 	177.33	ACR|2DMG|1ASPD|1BASICY|1BEXP	1DMSP|27DMG|3DUR|4RCR|5FEWX|6BASICY|8BEXP|9CGEN|aASPD
23	53432 41132	   	177.23	ACR|2DMG|1ASPD|1BASICY|1BEXP	1DMSP|27DMG|3DUR|4RCR|5FEWX|6BASICY|8BEXP|9TLV|aASPD
24	53432 43212	   	177.23	ACR|2DMG|1ASPD|1BASICY|1BEXP	1DMSP|29DMG|3DUR|4RCR|5FEWX|6BASICY|7BEXP|8AAC|aASPD
25	53432 43312	   	177.23	ACR|2DMG|1ASPD|1BASICY|1BEXP	1DMSP|29DMG|3DUR|4RCR|5FEWX|6BASICY|7BEXP|8AME|aASPD
26	53436 13223	 * 	177.16	ACR|3BEXP|2DMG|1VULN	1DMSP|2aDMG|3aDUR|4RCR|5VULN|67FEWX|89aBEXP|aBPWR
27	54312 53213	   	175.45	ACR|2DMG|2BEXP|1VULN|1CDMG	1DMSP|2MULARM|36BEXP|4CDMG|5RCR|7ERES|8VULN|9aDMG
28	54312 11353	 * 	175.42	ACR|2VULN|2DMG|1BEXP|1CDMG	1DMSP|2MULARM|3BEXP|4CDMG|5RCR|67VULN|8RCVC|9aDMG
29	53432 35213	   	174.95	ACR|3VULN|2DMG|1BEXP	1DMSP|2aDMG|39aDUR|4RCR|5FEWX|6BEXP|78aVULN|aBPWR
30	32551 16312	 * 	174.35	ACR|1BASARM|2DMG	136LIT|238AME|38BPWR|4RCR|5RCVC|78DMG|9DUR|aBASARM
31	33343 65222	 * 	173.64	DCR|3VULN|3DMG|2BEXP	19LIT|29BEXP|389VULN|467DMG|5AAC|9BPWR|aRCR
32	53432 31326	 * 	173.61	ACR|2DMG|2CDMG|1VULN|1BEXP	1DMSP|29DMG|3DUR|4RCR|59FEWX|6BEXP|7LWND|89CDMG|9BPWR|aVULN
33	54132 16332	 * 	173.43	ACR|2DMG|1VULN|1ASPD|1BASICY	1DMSP|2MULARM|3LIT|4BASICY|5RCR|6TLV|7VULN|89DMG|aASPD
34	32624 23226	 * 	173.31	ACR|2ASPD|1VULN|1DMG|1CDMG	1LIT|2AME|3MDPS|4RCR|5CDMG|6LWND|79ASPD|8VULN|aDMG
35	53552 31323	   	172.30	ACR|2VULN|2DMG|1ASPD	1DMSP|29DMG|3LIT|4RCR|59FEWX|6ASPD|7DUR|89VULN|9BPWR|aRPLT
36	54132 22332	   	172.23	ACR|2DMG|1ASPD|1BASICY|1BEXP	1DMSP|2MULARM|3LIT|4BASICY|5RCR|6BEXP|7CGEN|89DMG|aASPD
37	54132 24332	   	172.23	ACR|2DMG|1ASPD|1BASICY|1BEXP	1DMSP|2MULARM|3LIT|4BASICY|5RCR|6BEXP|7MLV|89DMG|aASPD
38	53431 22325	   	172.22	ACR|2DMG|1VULN|1ASPD|1BEXP	1DMSP|28DMG|3DUR|4RCR|5CGEN|6VULN|7LWND|9BEXP|aASPD
39	54132 23332	   	172.13	ACR|2DMG|1ASPD|1BASICY|1BEXP	1DMSP|2MULARM|3LIT|4BASICY|5RCR|6BEXP|7ERES|89DMG|aASPD
40	53431 23325	 * 	172.12	ACR|2ASPD|1VULN|1DMG|1BEXP	1DMSP|2DMG|3DUR|4RCR|5CGEN|6VULN|7aASPD|8ERES|9BEXP
41	53433 23325	   	172.12	ACR|2ASPD|1VULN|1DMG|1BEXP	1DMSP|2DMG|3DUR|4RCR|5ERES|6VULN|7aASPD|8CGEN|9BEXP
42	32626 62311	   	172.10	ACR|2DMG|2BEXP|1ASPD	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8LWND|9FEWX|aASPD
43	32626 62132	   	172.00	ACR|2DMG|2BEXP|1ASPD	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8AAC|9ASPD|aMLV
44	32626 62133	   	172.00	ACR|2DMG|2BEXP|1ASPD	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8AAC|9ASPD|aLHND
45	32626 62131	   	171.90	ACR|2DMG|2BEXP|1ASPD	17LIT|2AME|3MDPS|4RCR|57DMG|67BEXP|7BPWR|8AAC|9ASPD|aDUST
46	53432 41123	 * 	170.92	ACR|2DMG|1BASICY|1VULN|1BEXP	1DMSP|27DMG|3DUR|4RCR|5FEWX|6BASICY|8BEXP|9CGEN|aVULN
47	53432 41133	   	170.82	ACR|2DMG|1BASICY|1VULN|1BEXP	1DMSP|27DMG|3DUR|4RCR|5FEWX|6BASICY|8BEXP|9TLV|aVULN
48	53432 43213	   	170.82	ACR|2DMG|1BASICY|1VULN|1BEXP	1DMSP|29DMG|3DUR|4RCR|5FEWX|6BASICY|7BEXP|8AAC|aVULN
49	53432 43313	   	170.82	ACR|2DMG|1BASICY|1VULN|1BEXP	1DMSP|29DMG|3DUR|4RCR|5FEWX|6BASICY|7BEXP|8AME|aVULN
50	32626 51222	 * 	170.66	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG	1LIT|2AME|3MDPS|4RCR|5DMG|6CDMG|7DUR|8VULN|9ASPD|aAART
51	32626 52222	   	170.66	ACR|1VULN|1ASPD|1DMG|1AART|1CDMG	1LIT|2AME|3MDPS|4RCR|5DMG|6CDMG|7FEWX|8VULN|9ASPD|aAART
52	53433 52322	 * 	170.39	ACR|3DMG|1VULN|1AART	1DMSP|278DMG|3DUR|4RCR|57ERES|67LWND|7BPWR|9VULN|aAART
53	53433 32322	   	170.19	ACR|3DMG|1VULN|1AART	1DMSP|278DMG|3DUR|4RCR|57ERES|67DUST|7BPWR|9VULN|aAART
54	15233 12411	 * 	169.46	DCR|2ASPD|2BEXP|1VULN|2CDMG|1AART	1AAC|27CDMG|3ERES|47BEXP|5AART|67ASPD|7BPWR|8VULN|9LWND|aRCR
55	54312 61212	 * 	169.28	ACR|2BEXP|1ASPD|1DMG|2CDMG	1DMSP|2MULARM|38BEXP|4aCDMG|5RCR|6SPLARM|7ASPD|9DMG
56	54312 15223	 * 	169.01	ACR|2VULN|2BEXP|1DMG|1CDMG	1DMSP|2MULARM|37BEXP|4CDMG|5RCR|69VULN|8AME|aDMG
57	54312 53223	   	169.01	ACR|2VULN|2BEXP|1DMG|1CDMG	1DMSP|2MULARM|36BEXP|4CDMG|5RCR|7ERES|89VULN|aDMG
58	32626 52232	 * 	168.91	ACR|3DMG|1VULN|1CDMG	1LIT|2AME|3MDPS|4RCR|59aDMG|6CDMG|7FEWX|8VULN
59	53431 21132	 * 	168.38	ACR|2DMG|1VULN|1AART|1CDMG	1DMSP|29DMG|3DUR|4RCR|5CGEN|6VULN|7CDMG|8LWND|aAART
60	53433 51332	   	168.28	ACR|2DMG|1VULN|1AART|1CDMG	1DMSP|29DMG|3DUR|4RCR|5ERES|6LWND|7CDMG|8VULN|aAART
61	53433 21132	   	168.28	ACR|2DMG|1VULN|1AART|1CDMG	1DMSP|29DMG|3DUR|4RCR|5ERES|6VULN|7CDMG|8LWND|aAART
62	32624 23222	 * 	168.18	ACR|2ASPD|1VULN|1AART|1CDMG	1LIT|2AME|3MDPS|4RCR|5CDMG|6LWND|79ASPD|8VULN|aAART
63	53431 23221	   	168.17	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5CGEN|6VULN|7ASPD|89BEXP|aLHND
64	53431 23223	   	168.17	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5CGEN|6VULN|7ASPD|89BEXP|aLWND
65	53431 23225	   	168.17	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5CGEN|6VULN|7ASPD|89BEXP|aZMB
66	53431 23226	   	168.17	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5CGEN|6VULN|7ASPD|89BEXP|aFEWX
67	53431 23236	   	168.17	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5CGEN|6VULN|7ASPD|8aBEXP|9FEWX
68	53431 23222	   	168.07	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5CGEN|6VULN|7ASPD|89BEXP|aAEMAG
69	53433 23221	   	168.07	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5ERES|6VULN|7ASPD|89BEXP|aLHND
70	53433 23223	   	168.07	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5ERES|6VULN|7ASPD|89BEXP|aLWND
71	53433 23225	   	168.07	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5ERES|6VULN|7ASPD|89BEXP|aZMB
72	53433 23226	   	168.07	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5ERES|6VULN|7ASPD|89BEXP|aFEWX
73	53433 23236	   	168.07	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5ERES|6VULN|7ASPD|8aBEXP|9FEWX
74	53436 23221	   	168.07	ACR|1VULN|2BEXP|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5VULN|6TLV|7ASPD|89BEXP|aLHND
75	53436 23223	   	168.07	ACR|1VULN|2BEXP|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5VULN|6TLV|7ASPD|89BEXP|aLWND
76	53433 23222	   	167.97	ACR|2BEXP|1VULN|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5ERES|6VULN|7ASPD|89BEXP|aAEMAG
77	53436 23222	   	167.97	ACR|1VULN|2BEXP|1ASPD|1DMG	1DMSP|2DMG|3DUR|4RCR|5VULN|6TLV|7ASPD|89BEXP|aAEFBLL
78	53431 32623	 * 	167.79	ACR|3DMG|2BEXP	1DMSP|27aDMG|3DUR|4RCR|57aCGEN|67DUST|7aBPWR|8AME|9aBEXP
