0	Index      	 *	Score 	Summary	Detail	
1	24632 51322	 * 	228.82	ACR|2BASARM|2ASPD|2BEXP|1VULN	1FEWX|2RPLT|3aBEXP|4RCR|5DUST|6CGEN|7aASPD|8VULN|9aBASARM|aBPWR
2	63125 33212	 * 	221.08	ACR|3VULN|3BEXP|3CDMG|1DMG	19aCDMG|2LWND|3RCR|4RPLT|59aVULN|6DMG|7VENICY|89aBEXP|9aBPWR
3	66125 33212	   	221.08	ACR|3VULN|3BEXP|3CDMG|1DMG	19aCDMG|2DUR|3RCR|4RPLT|59aVULN|6DMG|7VENICY|89aBEXP|9aBPWR
4	22121 31121	 * 	216.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1FEWX|2ERES|3LWND|4RCR|5BEXP|6DMG|7VULN|8CDMG|9BASARM|aASPD
5	25221 31121	   	216.63	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1CDMG	1FEWX|2LWND|3ERES|4RCR|5BEXP|6DMG|7VULN|8CDMG|9BASARM|aASPD
6	66143 33311	 * 	212.37	ACR|2ASPD|2DMG|1VULN|3CDMG	147CDMG|2aDUR|3RCR|5VULN|6aDMG|8MDPS|9aASPD|aBPWR
7	22121 31124	   	211.51	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1FEWX|2ERES|3LWND|4RCR|5BEXP|6DMG|7VULN|8CDMG|9BASARM|aAART
8	25221 31124	   	211.51	ACR|1BASARM|1VULN|1DMG|1AART|1BEXP|1CDMG	1FEWX|2LWND|3ERES|4RCR|5BEXP|6DMG|7VULN|8CDMG|9BASARM|aAART
9	22225 32443	 * 	208.80	ACR|3VULN|1BASARM|1ASPD|1AART	1FEWX|2ERES|3LHND|4RCR|589VULN|6BASARM|7AART|aASPD
10	66133 34332	   	208.66	ACR|1BASARM|1VULN|1DMG|1BEXP|1CDMG|1AAC	1CDMG|247DUR|3RCR|5VULN|6DMG|8BASARM|9AAC|aBEXP
11	63113 24221	   	207.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2LWND|3RCR|4DUST|5DMG|6VULN|7MLV|8FEWX|9BASARM|aASPD
12	63113 25421	   	207.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2LWND|3RCR|4DUST|5DMG|6VULN|7FEWX|8CGEN|9BASARM|aASPD
13	66113 24221	   	207.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2DUR|3RCR|4DUST|5DMG|6VULN|7MLV|8FEWX|9BASARM|aASPD
14	63113 25121	   	207.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2LWND|3RCR|4DUST|5DMG|6VULN|7FEWX|8AME|9BASARM|aASPD
15	66113 25121	   	207.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2DUR|3RCR|4DUST|5DMG|6VULN|7FEWX|8AME|9BASARM|aASPD
16	66113 25321	   	207.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2DUR|3RCR|4DUST|5DMG|6VULN|7FEWX|8ERES|9BASARM|aASPD
17	63113 34321	   	207.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2LWND|3RCR|4DUST|5DMG|6FEWX|7AME|8VULN|9BASARM|aASPD
18	66113 34321	   	207.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1CDMG|2DUR|3RCR|4DUST|5DMG|6FEWX|7AME|8VULN|9BASARM|aASPD
19	21141 36225	   	206.43	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1SELL	1FEWX|2SELL|3RCR|4CDMG|5LWND|6AEMAG|7ASPD|8BEXP|9DMG|aBASARM
20	63125 33216	   	206.31	ACR|2VULN|2BEXP|2CDMG|1DMG|1AART	19CDMG|2LWND|3RCR|4RPLT|59VULN|6DMG|7VENICY|89BEXP|9BPWR|aAART
21	21113 23322	 * 	204.88	ACR|2BASARM|2DMG|1VULN|1SELL	1aFEWX|2SELL|3RCR|4DUST|5aDMG|6VULN|7MDPS|8ERES|9aBASARM|aBPWR
22	63143 31261	 * 	203.04	ACR|3DMG|1VULN|1ASPD|2CDMG	14CDMG|2LWND|3RCR|56aDMG|7FEWX|8ASPD|9VULN
23	22225 31531	   	202.98	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1FEWX|2ERES|3LHND|4RCR|5VULN|6BASARM|7DMG|8DUR|9CDMG|aASPD
24	22225 31131	   	202.88	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1FEWX|2ERES|3LHND|4RCR|5VULN|6BASARM|7DMG|8DUST|9CDMG|aASPD
