0	Index      	 *	Score 	Summary	Detail	
1	36313 15362	 * 	251.02	ACR|3DMG|2VULN|3BEXP|1ASPD|1CDMG	189DMG|29VULN|3RCR|4BELT|5ASPD|6CDMG|79aBEXP|9BPWR
2	23225 54111	 * 	248.64	ACR|3DMG|1BASARM|2BEXP|1AART|1CDMG	17CGEN|27BEXP|3RCR|4ZMB|5CDMG|67aDMG|7BPWR|8AART|9BASARM
3	33325 44111	   	248.64	ACR|3DMG|1BASARM|2BEXP|1AART|1CDMG	17aDMG|27BEXP|3RCR|4ZMB|5CDMG|67CGEN|7BPWR|8AART|9BASARM
4	33311 14116	 * 	242.08	ACR|1BASARM|2DMG|2BEXP|2CDMG|1AART	17DMG|27BEXP|3RCR|4RCVC|57CDMG|6LEGI|7BPWR|8AART|9MLV|aBASARM
5	36313 15361	   	239.75	ACR|3DMG|2VULN|2BEXP|1ASPD|1CDMG	189DMG|29VULN|3RCR|4BELT|5ASPD|6CDMG|79BEXP|9BPWR|aDUR
6	36313 15363	   	239.75	ACR|3DMG|2VULN|2BEXP|1ASPD|1CDMG	189DMG|29VULN|3RCR|4BELT|5ASPD|6CDMG|79BEXP|9BPWR|aFEWX
7	33311 34523	 * 	233.56	ACR|1BASARM|2DMG|1ASPD|2CDMG|1BEXP	17DMG|2BEXP|3RCR|4RCVC|57CDMG|67DUST|7BPWR|8RMIN|9BASARM|aASPD
8	23225 54112	   	232.98	ACR|1BASARM|2DMG|2BEXP|1AART|1CDMG	17CGEN|27BEXP|3RCR|4ZMB|5CDMG|67DMG|7BPWR|8AART|9BASARM|aLHND
9	33325 44112	   	232.98	ACR|1BASARM|2DMG|2BEXP|1AART|1CDMG	17DMG|27BEXP|3RCR|4ZMB|5CDMG|67CGEN|7BPWR|8AART|9BASARM|aLHND
10	23225 53111	   	232.78	ACR|1BASARM|2DMG|2BEXP|1AART|1CDMG	1CGEN|27BEXP|3RCR|4ZMB|5CDMG|6aDMG|8AART|9BASARM
11	33325 14111	   	232.78	ACR|1BASARM|2DMG|2BEXP|1AART|1CDMG	1aDMG|26BEXP|3RCR|4ZMB|5CDMG|7MLV|8AART|9BASARM
12	33325 43111	   	232.78	ACR|1BASARM|2DMG|2BEXP|1AART|1CDMG	1aDMG|27BEXP|3RCR|4ZMB|5CDMG|6CGEN|8AART|9BASARM
13	33325 15111	   	232.68	ACR|1BASARM|2DMG|2BEXP|1AART|1CDMG	1aDMG|26BEXP|3RCR|4ZMB|5CDMG|7TLV|8AART|9BASARM
