0	Index      	 *	Score 	Summary	Detail	
1	22223 51536	 * 	214.58	ACR|2VULN|1BASARM|2AART|1BEXP|1CDMG	1DUST|23AART|46VULN|5RCR|7BEXP|8CDMG|9LIT|aBASARM
2	22123 51536	   	201.99	ACR|2VULN|1BASARM|1AART|1BEXP|1CDMG	1DUST|2AART|3RCVC|46VULN|5RCR|7BEXP|8CDMG|9LIT|aBASARM
3	32223 26536	   	201.23	ACR|2VULN|1BASARM|2AART|1CDMG	17LWND|23AART|47VULN|5RCR|67FEWX|7BPWR|8CDMG|9LIT|aBASARM
4	32223 23536	   	201.03	ACR|2VULN|1BASARM|2AART|1CDMG	1LWND|23AART|47VULN|5RCR|6FEWX|8CDMG|9LIT|aBASARM
5	32213 53536	   	201.03	ACR|2VULN|1BASARM|2AART|1CDMG	1LWND|23AART|4DUR|5RCR|67VULN|8CDMG|9LIT|aBASARM
6	32233 53536	   	201.03	ACR|2VULN|1BASARM|2AART|1CDMG	1LWND|23AART|4FEWX|5RCR|67VULN|8CDMG|9LIT|aBASARM
7	22223 53536	   	200.93	ACR|2VULN|1BASARM|2AART|1CDMG	1DUST|23AART|46VULN|5RCR|7DUR|8CDMG|9LIT|aBASARM
8	32223 61563	   	200.93	ACR|2VULN|1BASARM|2AART|1CDMG	1LWND|23AART|49VULN|5RCR|6ERES|7MLV|8CDMG|aBASARM
9	32223 62563	   	200.93	ACR|2VULN|1BASARM|2AART|1CDMG	1LWND|23AART|49VULN|5RCR|6ERES|7CGEN|8CDMG|aBASARM
10	22223 61563	   	200.83	ACR|2VULN|1BASARM|2AART|1CDMG	1DUST|23AART|49VULN|5RCR|6ERES|7MLV|8CDMG|aBASARM
11	22223 62563	   	200.83	ACR|2VULN|1BASARM|2AART|1CDMG	1DUST|23AART|49VULN|5RCR|6ERES|7CGEN|8CDMG|aBASARM
12	22223 31536	   	198.87	ACR|1BASARM|1VULN|2AART|1BEXP|1CDMG	16DUST|23AART|4VULN|5RCR|7BEXP|8CDMG|9LIT|aBASARM
13	22223 51552	 * 	195.04	ACR|3VULN|2BEXP|2AART|1CDMG	1DUST|23AART|46aVULN|5RCR|79BEXP|8CDMG
14	32123 25536	   	188.73	ACR|1BASARM|1VULN|2AART|1CDMG	1LWND|27AART|3RCVC|4VULN|5RCR|6FEWX|8CDMG|9LIT|aBASARM
15	32123 26536	   	188.64	ACR|2VULN|1BASARM|1AART|1CDMG	17LWND|2AART|3RCVC|47VULN|5RCR|67FEWX|7BPWR|8CDMG|9LIT|aBASARM
