0	Index      	 *	Score 	Summary	Detail	
1	22116 22334	 * 	253.99	ACR|3VULN|2ASPD|2DMG|1AART|1BEXP	1RCR|2aDMG|3LIT|4aASPD|5AART|6BEXP|7ZMB|89aVULN|aBPWR
2	22334 15111	 * 	251.58	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|4ERES|57RCVC|6DUR|89aASPD|9aBPWR
3	22334 55111	   	251.58	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|4ERES|57RCVC|6LWND|89aASPD|9aBPWR
4	22126 43421	 * 	250.61	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1RCR|2DMG|3LIT|4BEXP|5VULN|6LWND|7CDMG|8aASPD|9BASARM
5	22126 53421	   	250.51	ACR|1BASARM|2ASPD|1VULN|1DMG|1BEXP|1CDMG	1RCR|2DMG|3LIT|4BEXP|5VULN|6DUST|7CDMG|8aASPD|9BASARM
6	22324 44111	   	250.02	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|4ZMB|5RCVC|6AAC|7CGEN|89aASPD|9aBPWR
7	22334 56111	   	250.02	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|4ERES|5RCVC|67LWND|89aASPD|9aBPWR
8	22354 63111	   	250.02	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|4RMIN|5RCVC|6ERES|7ZMB|89aASPD|9aBPWR
9	22334 12111	   	249.92	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|47ERES|5RCVC|6DUR|89aASPD|9aBPWR
10	22334 43111	   	249.92	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|4ERES|5RCVC|6AAC|7ZMB|89aASPD|9aBPWR
11	22334 52111	   	249.92	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|47ERES|5RCVC|6LWND|89aASPD|9aBPWR
12	22334 62111	   	249.92	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|46ERES|5RCVC|7DUR|89aASPD|9aBPWR
13	22334 65111	   	249.92	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|46ERES|5RCVC|7LWND|89aASPD|9aBPWR
14	22252 51513	 * 	249.75	ACR|2VULN|2DMG|2BEXP|2AART|1ASPD	1RCR|27DMG|3CGEN|48AART|57VULN|67BEXP|7BPWR|9MDPS|aASPD
15	22335 55111	   	249.07	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|46ERES|5LHND|7RCVC|89aASPD|9aBPWR
16	22252 32213	 * 	248.16	ACR|3VULN|2DMG|2BASICY|1ASPD|1AART	1RCR|27DMG|38CGEN|4AART|579VULN|67BASICY|7BPWR|aASPD
17	22252 32413	   	248.06	ACR|3VULN|2DMG|2BASICY|1ASPD|1AART	1RCR|27DMG|3CGEN|4AART|579VULN|67BASICY|7BPWR|8AEFBLL|aASPD
18	22323 14111	   	247.66	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|4ZMB|5RMIN|6DMSP|7CGEN|89aASPD|9aBPWR
19	22323 54111	   	247.66	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|4ZMB|56RMIN|7CGEN|89aASPD|9aBPWR
20	22333 13111	   	247.56	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|4ERES|5RMIN|6DMSP|7ZMB|89aASPD|9aBPWR
21	22353 63111	   	247.56	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|45RMIN|6ERES|7ZMB|89aASPD|9aBPWR
22	22356 13111	   	247.56	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|4RMIN|5TLV|6DMSP|7ZMB|89aASPD|9aBPWR
23	22323 62111	   	247.46	ACR|3ASPD|3DMG|3BEXP	1RCR|29aDMG|39aBEXP|4ZMB|5RMIN|67ERES|89aASPD|9aBPWR
24	25242 32423	 * 	246.92	ACR|3VULN|3ASPD|2BEXP|1DMG	1RCR|257VULN|3FEWX|47BEXP|678ASPD|7BPWR|9ERES|aDMG
25	25242 32433	   	246.92	ACR|3VULN|3ASPD|2BEXP|1DMG	1RCR|257VULN|3FEWX|47BEXP|678ASPD|7BPWR|9AME|aDMG
26	22252 51512	 * 	245.34	ACR|2VULN|3DMG|2BEXP|2AART	1RCR|27aDMG|3CGEN|48AART|57VULN|67BEXP|7BPWR|9MDPS
27	22113 21264	 * 	243.36	ACR|3ASPD|2VULN|2DMG|1AART	1RCR|2aDMG|3LIT|47aASPD|5DUR|6ZMB|8AART|9aVULN|aBPWR
28	22156 31362	 * 	243.13	ACR|3ASPD|3DMG|2VULN	1RCR|26aDMG|3LIT|4aFEWX|5aVULN|789ASPD|aBPWR
29	22312 11231	 * 	242.87	ACR|1BASARM|3BEXP|1ASPD|1DMG|1AART	1RCR|2DMG|347BEXP|5LWND|6AART|8CGEN|9BASARM|aASPD
30	22313 66631	   	242.77	ACR|1BASARM|3BEXP|1ASPD|1DMG|1AART	1RCR|2DMG|347BEXP|5FEWX|6TLV|8AART|9BASARM|aASPD
31	22314 21631	   	242.77	ACR|1BASARM|3BEXP|1ASPD|1DMG|1AART	1RCR|2DMG|346BEXP|5ERES|7FEWX|8AART|9BASARM|aASPD
32	22315 51631	   	242.77	ACR|1BASARM|3BEXP|1ASPD|1DMG|1AART	1RCR|2DMG|345BEXP|6TLV|7FEWX|8AART|9BASARM|aASPD
33	25643 12222	 * 	240.30	ACR|3VULN|1BASARM|3BEXP|1AART	1RCR|289VULN|348BEXP|5RMIN|6AART|78AIRARM|8BPWR|aBASARM
34	21543 32152	 * 	240.25	ACR|1BASARM|3BEXP|2ASPD|1VULN|1SELL	1RCR|27DUR|3VULN|457BEXP|67ASPD|7BPWR|8SELL|9ERES|aBASARM
35	22116 43334	   	240.24	ACR|3VULN|2ASPD|2DMG|1AART	1RCR|2aDMG|3LIT|4aASPD|5AART|6ZMB|7DUST|89aVULN|aBPWR
36	22252 51151	 * 	239.99	ACR|2VULN|3BEXP|2DMG|2AART	1RCR|27DMG|3CGEN|4aAART|57VULN|679BEXP|7BPWR|8RCVC
37	22231 26111	   	239.28	ACR|3ASPD|3DMG|2BEXP	1RCR|29aDMG|39aCGEN|4RCVC|5FEWX|67BEXP|89aASPD|9aBPWR
38	22116 22324	   	239.12	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	1RCR|2aDMG|39LIT|4aASPD|5AART|6BEXP|7ZMB|8aVULN|aBPWR
39	22116 24114	   	239.12	ACR|2VULN|2ASPD|2DMG|1AART|1BEXP	1RCR|2aDMG|3aLIT|47ASPD|5AART|6BEXP|8aVULN|9RMIN|aBPWR
40	22116 24141	   	238.92	ACR|2VULN|2ASPD|2DMG|1BEXP|1AART	1RCR|29DMG|3LIT|47ASPD|5AART|6BEXP|8aVULN
41	22252 51351	   	238.82	ACR|2VULN|3BEXP|2DMG|2AART	1RCR|27DMG|38CGEN|4aAART|57VULN|679BEXP|7BPWR
42	22315 43332	 * 	237.77	ACR|1BASARM|3BEXP|1VULN|1DMG|1AART	1RCR|2DMG|345BEXP|6FEWX|7DUR|8VULN|9BASARM|aAART
43	22252 32214	 * 	237.05	ACR|4VULN|2DMG|2BASICY|1AART	1RCR|27DMG|38CGEN|4AART|579aVULN|67BASICY|7BPWR
44	22116 54131	   	236.98	ACR|2VULN|3ASPD|1DMG|1BEXP|1AART	1RCR|2DMG|3LIT|479ASPD|5AART|68VULN|aBEXP
45	22252 32414	   	236.95	ACR|4VULN|2DMG|2BASICY|1AART	1RCR|27DMG|3CGEN|4AART|579aVULN|67BASICY|7BPWR|8AEFBLL
46	22312 11233	   	236.46	ACR|1BASARM|3BEXP|1DMG|1AART|1CDMG	1RCR|2DMG|347BEXP|5LWND|6AART|8CGEN|9BASARM|aCDMG
47	22215 56111	   	236.40	ACR|3ASPD|3DMG|2BEXP	1RCR|29aDMG|39aCGEN|4ZMB|57BEXP|6RMIN|89aASPD|9aBPWR
48	22313 66633	   	236.36	ACR|1BASARM|3BEXP|1DMG|1AART|1CDMG	1RCR|2DMG|347BEXP|5FEWX|6TLV|8AART|9BASARM|aCDMG
49	22314 21633	   	236.36	ACR|1BASARM|3BEXP|1DMG|1AART|1CDMG	1RCR|2DMG|346BEXP|5ERES|7FEWX|8AART|9BASARM|aCDMG
50	22315 51633	   	236.36	ACR|1BASARM|3BEXP|1DMG|1AART|1CDMG	1RCR|2DMG|345BEXP|6TLV|7FEWX|8AART|9BASARM|aCDMG
51	22313 24111	   	236.30	ACR|3ASPD|3DMG|2BEXP	1RCR|29aDMG|34BEXP|59aFEWX|6AEFBLL|7CGEN|89aASPD|9aBPWR
52	22316 44111	   	236.30	ACR|3ASPD|3DMG|2BEXP	1RCR|29aDMG|34BEXP|5RMIN|6AAC|79aCGEN|89aASPD|9aBPWR
53	22331 56124	 * 	236.02	ACR|3BEXP|2ASPD|2DMG|2CDMG	1RCR|2aDMG|37aBEXP|4ERES|58ASPD|6RMIN|9aCDMG|aBPWR
54	22314 32111	   	236.00	ACR|3DMG|3ASPD|2BEXP	1RCR|29aDMG|34BEXP|59aERES|6AEFBLL|7DUR|89aASPD|9aBPWR
55	22314 35111	   	236.00	ACR|3ASPD|3DMG|2BEXP	1RCR|29aDMG|34BEXP|59aERES|6AEFBLL|7LWND|89aASPD|9aBPWR
56	22331 56143	   	236.00	ACR|3ASPD|3DMG|2BEXP	1RCR|29aDMG|37BEXP|49ERES|589ASPD|6RMIN|9BPWR
57	22346 31336	 * 	235.52	ACR|2VULN|2ASPD|2DMG|2BEXP	1RCR|26DMG|39BEXP|4LIT|5aVULN|78ASPD
58	22126 31336	   	235.52	ACR|2VULN|2ASPD|2DMG|2BEXP	1RCR|26DMG|3LIT|49BEXP|5aVULN|78ASPD
59	22331 61433	   	235.46	ACR|1BASARM|2ASPD|1DMG|1VULN|1BEXP	1RCR|2DMG|3BEXP|4ERES|58ASPD|6AIRARM|7LWND|9BASARM|aVULN
60	22116 33214	 * 	235.41	ACR|3DMG|1VULN|2BEXP|1ASPD|1AART	1RCR|26aDMG|3aLIT|4ASPD|5AART|7VULN|8aBEXP|9RMIN|aBPWR
61	22116 33245	   	235.28	ACR|3DMG|1VULN|1ASPD|1CDMG|1BEXP|1AART	1RCR|269DMG|3LIT|4ASPD|5AART|7VULN|8BEXP|aCDMG
62	22116 33244	   	235.21	ACR|3DMG|1VULN|2BEXP|1ASPD|1AART	1RCR|269DMG|3LIT|4ASPD|5AART|7VULN|8aBEXP
63	22252 51113	   	235.17	ACR|2VULN|2DMG|2BEXP|1ASPD|1AART	1RCR|27DMG|3CGEN|4AART|57VULN|67BEXP|7BPWR|8RCVC|9MDPS|aASPD
64	22116 21114	   	235.01	ACR|2VULN|2DMG|2AART|1ASPD|1BEXP	1RCR|2aDMG|3aLIT|4ASPD|57AART|6BEXP|8aVULN|9RMIN|aBPWR
65	25242 32422	 * 	234.90	ACR|3VULN|3ASPD|3BEXP	1RCR|257VULN|3FEWX|47aBEXP|678ASPD|7BPWR|9ERES
66	25242 32432	   	234.90	ACR|3VULN|3ASPD|3BEXP	1RCR|257VULN|3FEWX|47aBEXP|678ASPD|7BPWR|9AME
67	22315 23333	 * 	234.90	ACR|3VULN|3DMG|3BEXP	1RCR|29aDMG|345BEXP|6RPLT|78aVULN|aBPWR
68	22116 21141	   	234.81	ACR|2VULN|2DMG|2AART|1ASPD|1BEXP	1RCR|29DMG|3LIT|4ASPD|57AART|6BEXP|8aVULN
69	22116 51241	   	234.81	ACR|2VULN|2DMG|2AART|1ASPD|1BEXP	1RCR|29DMG|3LIT|4ASPD|57AART|6aVULN|8BEXP
70	23316 31325	   	234.20	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1RCR|2AART|3LWND|4VULN|5ASPD|6SNITOX|7CDMG|8LIT|9BASARM|aDMG
71	23345 31325	   	234.20	ACR|1BASARM|1VULN|1ASPD|1DMG|1AART|1CDMG	1RCR|2AART|3LWND|4DMG|5VULN|6SNITOX|7CDMG|8LIT|9BASARM|aASPD
72	22116 32354	   	234.20	ACR|3DMG|2ASPD|2BEXP|1AART	1RCR|26aDMG|3LIT|4aASPD|5AART|7MLV|8LWND|9aBEXP|aBPWR
73	22331 61435	   	234.16	ACR|1BASARM|2ASPD|1DMG|1BEXP|1CDMG	1RCR|2DMG|3BEXP|4ERES|58ASPD|6AIRARM|7LWND|9BASARM|aCDMG
74	22252 32243	   	234.10	ACR|2VULN|2DMG|2BASICY|1ASPD|1AART	1RCR|27DMG|38CGEN|4AART|57VULN|67BASICY|7BPWR|9DMSP|aASPD
75	22252 32263	   	234.10	ACR|2VULN|2DMG|2BASICY|1ASPD|1AART	1RCR|27DMG|389CGEN|4AART|57VULN|67BASICY|7BPWR|aASPD
76	22252 32364	   	234.10	ACR|2VULN|2DMG|2BASICY|1ASPD|1AART	1RCR|27DMG|3CGEN|4AART|57VULN|67BASICY|7BPWR|8LHND|9DUR|aASPD
