0	Index      	 *	Score 	Summary	Detail	
1	25112 35163	 * 	220.58	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1BELT|2RMIN|35DMG|45VULN|5BPWR|6LIT|7ASPD|8CDMG|9AART|aRCR
2	53133 33212	 * 	214.75	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB|1DUR	13ASPD|2DUR|4AART|5LWND|6ZMB|7RCR|89VULN|aCDMG
3	55113 22126	 * 	212.86	DCR|3ASPD|2DMG|1VULN|1CDMG|1ZMB	136ASPD|2FEWX|4ZMB|59DMG|7RCR|8VULN|aCDMG
4	53355 23212	   	212.29	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2DUR|3LWND|4AART|5DMG|6RCVC|7RCR|89VULN|aCDMG
5	51326 24133	 * 	212.23	DCR|3VULN|3ASPD|1MDPS|1AART	179ASPD|2AME|3RCVC|4MDPS|579VULN|679FEWX|79BPWR|8RCR|aAART
6	53215 33212	   	210.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2DUR|36BEXP|4AART|5DMG|7RCR|89VULN|aCDMG
7	53355 13212	   	210.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2DUR|36LWND|4AART|5DMG|7RCR|89VULN|aCDMG
8	52226 24133	   	208.92	DCR|3VULN|3ASPD|1MDPS|1AART	179ASPD|2DMSP|3CGEN|4MDPS|579VULN|679FEWX|79BPWR|8RCR|aAART
9	55133 33212	   	206.44	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	13ASPD|2FEWX|4AART|5LWND|6ZMB|7RCR|89VULN|aCDMG
10	53355 23213	   	206.37	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DUR|3LWND|4AART|5DMG|6RCVC|7RCR|89VULN|aZMB
11	25112 24243	   	206.08	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	1BELT|2RMIN|35DMG|45VULN|5BPWR|6SELL|7ASPD|8FEWX|9RCR|aAART
12	25312 13651	   	204.97	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1BELT|2RMIN|3ZMB|4aVULN|5LHND|6RCR|7AART|8ASPD|9DMG
13	53215 33213	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DUR|36BEXP|4AART|5DMG|7RCR|89VULN|aZMB
14	53355 13213	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2DUR|36LWND|4AART|5DMG|7RCR|89VULN|aZMB
15	51326 14131	 * 	204.30	DCR|4VULN|3ASPD|1MDPS	179ASPD|2AME|3RCVC|4MDPS|579aVULN|679LWND|79BPWR|8RCR
16	51326 24131	   	204.30	DCR|4VULN|3ASPD|1MDPS	179ASPD|2AME|3RCVC|4MDPS|579aVULN|679FEWX|79BPWR|8RCR
17	55352 23212	   	203.98	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2FEWX|3LWND|4AART|5DMG|6RCVC|7RCR|89VULN|aCDMG
18	52411 15343	 * 	203.95	DCR|3ASPD|2DMG|1VULN|1AART	149ASPD|2DMSP|3AART|5VULN|67DMG|8MBVNT|aRCR
19	53533 33212	   	203.84	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2DUR|3RCVC|4AART|5LWND|6ZMB|7RCR|89VULN|aCDMG
20	25112 35363	 * 	203.08	DCR|2VULN|2DMG|2ASPD|1DUR	1BELT|2RMIN|35DMG|45VULN|5BPWR|6LIT|78ASPD|9DUR|aRCR
21	52112 26532	   	202.97	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2DMSP|3SPLREG|4FEWX|58VULN|6AART|7RCR|9ZMB|aDMG
22	53356 23212	   	202.56	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2DUR|3LWND|4AART|5ZMB|6RCVC|7RCR|89VULN|aCDMG
23	52413 42343	 * 	202.44	DCR|3ASPD|2AART|1VULN|1DMG	149ASPD|2DMSP|35AART|6DMG|7VULN|8MBVNT|aRCR
24	55352 13212	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2FEWX|36LWND|4AART|5DMG|7RCR|89VULN|aCDMG
25	51122 66211	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2AME|39VULN|4MSLREG|5CGEN|6AART|7RCR|8CDMG|aDMG
26	51126 16211	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2AME|39VULN|4MSLREG|5AART|6CGEN|7RCR|8CDMG|aDMG
27	53133 33213	   	201.71	DCR|2VULN|2ASPD|1AART|2ZMB|1DUR	13ASPD|2DUR|4AART|5LWND|6aZMB|7RCR|89VULN
28	52226 14131	   	200.98	DCR|4VULN|3ASPD|1MDPS	179ASPD|2DMSP|3CGEN|4MDPS|579aVULN|679LWND|79BPWR|8RCR
29	52226 24131	   	200.98	DCR|4VULN|3ASPD|1MDPS	179ASPD|2DMSP|3CGEN|4MDPS|579aVULN|679FEWX|79BPWR|8RCR
30	55113 22123	   	200.77	DCR|3ASPD|2DMG|1VULN|1ZMB	136ASPD|2FEWX|4ZMB|59DMG|7RCR|8VULN|aRMIN
31	55113 22413	   	200.77	DCR|3ASPD|2DMG|1VULN|1ZMB	136ASPD|2FEWX|4ZMB|58DMG|7RCR|9VULN|aRMIN
32	52443 33212	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2DMSP|3AART|4DUR|5LWND|6ZMB|7RCR|89VULN|aCDMG
