0	Index      	 *	Score 	Summary	Detail	
1	11662 41221	 * 	225.90	DCR|4VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2LWND|346aVULN|5DMG|7RCR|8ZMB|9CDMG
2	13122 61335	 * 	223.22	DCR|3VULN|2DMG|1AART|1ASPD	1AART|2RPLT|39BEXP|49aVULN|5ERES|6RCR|7ASPD|89DMG|9BPWR
3	11662 41222	   	218.36	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2LWND|346VULN|5DMG|7RCR|8ZMB|9CDMG|aDUR
4	32162 16521	 * 	215.54	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD|1CDMG	1aBEXP|2DUST|3aDMG|4ASPD|5CDMG|6aVULN|7AART|8MDPS|9RCR|aBPWR
5	11662 41321	   	215.47	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2LWND|346aVULN|5DMG|7RCR|8TLV|9CDMG
6	15541 21221	 * 	215.14	DCR|2VULN|2AART|1ASPD|1CDMG|1AAC|1ZMB	16AART|2RMIN|3aVULN|4ASPD|5AAC|7RCR|8ZMB|9CDMG
7	11662 41232	   	213.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1AART|2LWND|346VULN|5DMG|7RCR|8ZMB|9RPLT|aASPD
8	13125 23452	   	213.67	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2RPLT|35BEXP|4567VULN|5BPWR|8RCR|9DMG|aCDMG
9	13123 23452	   	213.57	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2RPLT|3BEXP|4567VULN|8RCR|9DMG|aCDMG
10	31211 23452	   	213.57	DCR|4VULN|1AART|1DMG|1CDMG	1BEXP|2RPLT|3467VULN|5AART|8RCR|9DMG|aCDMG
11	51211 23452	   	213.57	DCR|4VULN|1AART|1DMG|1CDMG	1FEWX|2RPLT|3467VULN|5AART|8RCR|9DMG|aCDMG
12	15532 43232	   	213.20	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2RMIN|37VULN|4DUR|5DMG|6CDMG|8BEXP|9RCR|aASPD
