0	Index      	 *	Score 	Summary	Detail	
1	23613 32241	 * 	202.39	DCR|2VULN|1AART|1DMG|3DUR|1CDMG|1AAC	123DUR|4DMG|5aVULN|6RCR|7AAC|8AART|9CDMG
2	23613 36522	 * 	202.17	DCR|2DMG|1MDPS|1VULN|2CDMG|3DUR	123DUR|49DMG|5VULN|6RCR|79CDMG|89MSLFST|9BPWR|aMDPS
3	22233 34224	 * 	200.25	ACR|3VULN|3DMG|1MDPS|1ASPD|2DUR	18DUR|2MDPS|3ERES|4RCR|589VULN|678DMG|8BPWR|aASPD
4	54311 33611	 * 	198.73	ACR|3VULN|1MDPS|2DMG|2CDMG|1ASPD	19DMG|2RCR|3DUST|49CDMG|5ASPD|6FEWX|79aVULN|8MDPS|9BPWR
5	22233 34253	 * 	196.64	ACR|3DMG|2VULN|1MDPS|2ASPD|2DUR	18DUR|2MDPS|3ERES|4RCR|58VULN|678DMG|8BPWR|9aASPD
6	21211 15334	 * 	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|25FEWX|3BEXP|48VULN|6ASPD|7RCR|9AART|aDMG
7	21215 15334	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3BEXP|48VULN|5DMSP|6ASPD|7RCR|9AART|aDMG
8	44211 15331	 * 	193.70	DCR|3VULN|1AART|1ASPD|1ZMB	1LEGI|248VULN|3BEXP|5FEWX|6ASPD|7RCR|9AART|aZMB
9	22213 25334	 * 	191.48	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	1DUR|2MDPS|36ERES|458VULN|7RCR|9AART|aDMG
10	54612 13233	 * 	190.29	ACR|3DMG|2ASPD|1AART|2CDMG	135DMG|2RCR|35aBPWR|458ERES|6aASPD|7aCDMG|9AART
11	53262 14331	 * 	190.04	DCR|2AAC|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1DMG|2aAAC|3AME|4VULN|5ASPD|6ZMB|7RCR|8DUR|9AART
12	22253 14151	 * 	189.68	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2MDPS|3ERES|4DMG|5AART|6RPLT|7RCR|8VULN|9CDMG|aASPD
13	23613 36343	 * 	189.54	DCR|1VULN|1AART|2CDMG|1DMG|3DUR	123DUR|4DMG|5VULN|6RCR|79CDMG|8RCVC|aAART
14	53262 14332	 * 	189.10	DCR|1VULN|1AART|1ASPD|1DMG|2DUR|1AAC|1ZMB	1DMG|2AAC|3AME|4VULN|5ASPD|6ZMB|7RCR|8aDUR|9AART
