0	Index      	 *	Score 	Summary	Detail	
1	33363 22161	 * 	225.10	DCR|4VULN|2ASPD|1DMG|1ZMB	169ERES|2ZMB|39ASPD|4RMIN|5679VULN|69BPWR|8RCR|aDMG
2	11365 22161	 * 	221.00	DCR|4VULN|2ASPD|3ZMB	169ZMB|2CGEN|39ASPD|4679VULN|5RMIN|69BPWR|8RCR|aBEXP
3	11365 22163	   	221.00	DCR|4VULN|2ASPD|3ZMB	169ZMB|2aCGEN|39ASPD|4679VULN|5RMIN|69BPWR|8RCR
4	11365 22162	   	220.90	DCR|4VULN|2ASPD|3ZMB|1MSE	169ZMB|2CGEN|39ASPD|4679VULN|5RMIN|69BPWR|8RCR|aMSE
5	15363 22161	   	220.90	DCR|4VULN|2ASPD|3ZMB	169ZMB|2ERES|39ASPD|4RMIN|5679VULN|69BPWR|8RCR|aBEXP
6	15363 22163	   	220.90	DCR|4VULN|2ASPD|3ZMB	169ZMB|2ERES|39ASPD|4RMIN|5679VULN|69BPWR|8RCR|aCGEN
7	15363 22162	   	220.80	DCR|4VULN|2ASPD|3ZMB|1MSE	169ZMB|2ERES|39ASPD|4RMIN|5679VULN|69BPWR|8RCR|aMSE
8	13324 54425	 * 	217.17	DCR|3DMG|2VULN|3ZMB|1ASPD	124ZMB|378DMG|5MBVNT|68VULN|8BPWR|9RCR|aASPD
9	33363 22321	 * 	215.29	DCR|5VULN|2ASPD|1ZMB	169ERES|2ZMB|39ASPD|4RMIN|56789VULN|69BPWR|aRCR
10	13324 54421	 * 	214.94	DCR|3VULN|3DMG|3ZMB	124ZMB|378DMG|5MBVNT|68aVULN|8aBPWR|9RCR
11	13331 22163	 * 	211.33	DCR|2VULN|2DMG|3ZMB|1AART	125ZMB|39DMG|4ERES|6RCR|79LHND|89VULN|9BPWR|aAART
12	51236 32162	 * 	209.76	DCR|3VULN|2DMG|2ASPD	1aLHND|2CGEN|3aASPD|467VULN|5AELBLL|8RCR|9aDMG|aBPWR
13	13221 31441	 * 	209.56	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	12ZMB|3AART|4ASPD|5LHND|6RCR|7DMG|8DUR|9aVULN
14	13223 31441	   	209.56	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	12ZMB|3AART|4ASPD|5LWND|6RCR|7DMG|8DUR|9aVULN
15	13241 31441	   	209.56	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	12ZMB|3AART|4LWND|5ASPD|6RCR|7DMG|8DUR|9aVULN
16	13421 31441	   	209.56	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	12ZMB|3LHND|4AART|5ASPD|6RCR|7DMG|8DUR|9aVULN
17	13621 31441	   	209.56	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	12ZMB|3LWND|4AART|5ASPD|6RCR|7DMG|8DUR|9aVULN
18	33363 33161	   	209.15	DCR|3VULN|2ASPD|1DMG|1ZMB	179ERES|2ZMB|39ASPD|4RMIN|569VULN|8RCR|9BPWR|aDMG
19	11365 32161	   	208.45	DCR|4VULN|2ASPD|2ZMB	19ZMB|2CGEN|39ASPD|4679VULN|5RMIN|8RCR|9BPWR|aLWND
20	66326 22113	 * 	208.43	DCR|3ASPD|2VULN|1AART|2ZMB	1MLV|235ASPD|45ZMB|5BPWR|6RCR|7LHND|89VULN|aAART
21	11365 32162	   	208.35	DCR|4VULN|2ASPD|2ZMB	19ZMB|2CGEN|39ASPD|4679VULN|5RMIN|8RCR|9BPWR|aERES
22	11365 32163	   	208.35	DCR|4VULN|2ASPD|2ZMB	19ZMB|2CGEN|39ASPD|4679VULN|5RMIN|8RCR|9BPWR|aDUST
23	15363 32161	   	208.35	DCR|4VULN|2ASPD|2ZMB	19ZMB|2ERES|39ASPD|4RMIN|5679VULN|8RCR|9BPWR|aLWND
24	15363 32163	   	208.35	DCR|4VULN|2ASPD|2ZMB	19ZMB|2ERES|39ASPD|4RMIN|5679VULN|8RCR|9BPWR|aMLV
25	15363 32162	   	208.25	DCR|4VULN|2ASPD|2ZMB	19ZMB|2aERES|39ASPD|4RMIN|5679VULN|8RCR|9BPWR
26	21233 32163	   	208.02	DCR|4VULN|2ASPD|1DMG	159FEWX|2CGEN|39ASPD|4679VULN|8RCR|9BPWR|aDMG
27	13531 22163	 * 	207.96	DCR|2VULN|2ASPD|3ZMB|1AART	125ZMB|39ASPD|4ERES|6RCR|79LHND|89VULN|9BPWR|aAART
28	13226 61141	 * 	207.71	DCR|2VULN|3ZMB|1AART|1ASPD|1DMG	128ZMB|3AART|4ASPD|5aVULN|6LWND|7DMG|9RCR
29	16324 22324	 * 	207.47	DCR|2VULN|2ASPD|1AART|1DMG|2ZMB	14ZMB|23ASPD|5AART|67VULN|8RPLT|9DMG|aRCR
30	13226 65122	 * 	207.20	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2ZMB	12ZMB|37AART|4ASPD|5VULN|6LWND|8CDMG|9RCR|aDMG
31	13225 22125	 * 	206.71	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|2ZMB	12ZMB|3AART|4ASPD|59DMG|6AME|7VULN|8CDMG|aRCR
32	33353 43161	   	206.37	DCR|3VULN|2ASPD|1DMG|1ZMB	149ERES|2ZMB|39ASPD|569VULN|7RMIN|8RCR|9BPWR|aDMG
33	13324 54423	   	205.41	DCR|3DMG|2VULN|3ZMB|1DUR	124ZMB|378DMG|5MBVNT|68VULN|8BPWR|9RCR|aDUR
34	13331 22165	   	205.38	DCR|3VULN|2DMG|3ZMB	125ZMB|39DMG|4ERES|6RCR|79LHND|89aVULN|9BPWR
35	33363 22164	   	205.36	DCR|4VULN|2ASPD|1ZMB	169ERES|2ZMB|39ASPD|4RMIN|5679VULN|69BPWR|8RCR|aRCVC
36	16324 23322	 * 	205.34	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|2ZMB	14ZMB|23ASPD|5AART|6VULN|7CDMG|8LWND|9RCR|aDMG
37	16324 42122	   	205.34	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|2ZMB	14ZMB|23ASPD|5AART|6LWND|7VULN|8CDMG|9RCR|aDMG
38	33363 22163	   	205.03	DCR|4VULN|2ASPD|1ZMB	169ERES|2ZMB|39ASPD|4RMIN|5679VULN|69BPWR|8RCR|aCGEN
39	33363 22166	   	205.03	DCR|4VULN|2ASPD|1ZMB	169ERES|2ZMB|39ASPD|4RMIN|5679VULN|69BPWR|8RCR|aRPLT
40	33363 32161	   	205.03	DCR|4VULN|2ASPD|1ZMB	19ERES|2ZMB|39ASPD|4RMIN|5679VULN|8RCR|9BPWR|aLWND
41	33363 32163	   	205.03	DCR|4VULN|2ASPD|1ZMB	19ERES|2ZMB|39ASPD|4RMIN|5679VULN|8RCR|9BPWR|aMLV
42	33363 32164	   	205.03	DCR|4VULN|2ASPD|1ZMB	19ERES|2ZMB|39ASPD|4RMIN|5679VULN|8RCR|9BPWR|aCGEN
43	33363 32166	   	205.03	DCR|4VULN|2ASPD|1ZMB	19ERES|2ZMB|39ASPD|4RMIN|5679VULN|8RCR|9BPWR|aDMSP
