0	Index      	 *	Score 	Summary	Detail	
1	26543 33333	 * 	210.71	DCR|3ASPD|1AART|1VULN|1DMG|1CDMG	1RMIN|2LHND|3CDMG|457ASPD|6RCR|8VULN|9AART|aDMG
2	24543 33233	   	210.61	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	1RMIN|2VULN|3CDMG|457ASPD|6RCR|8DUST|9AART|aDMG
3	52142 33115	 * 	208.55	DCR|1SPLARM|2VULN|1MDPS|2CDMG|1DMG	18LIT|2LHND|38CDMG|4SPLARM|5FEWX|68VULN|7RCR|8BPWR|9DMG|aMDPS
4	52131 36412	 * 	205.10	DCR|2VULN|2DMG|2CDMG|1AART	167LIT|2LHND|37CDMG|47DMG|5AART|7BPWR|8RCR|9aVULN
5	53131 36412	   	205.10	DCR|2VULN|2DMG|1AART|2CDMG	167LIT|2BEXP|37CDMG|47DMG|5AART|7BPWR|8RCR|9aVULN
6	24543 32211	 * 	204.92	DCR|3ASPD|2VULN|1MDPS|1CDMG|1DUR	1RMIN|28VULN|3CDMG|459ASPD|6RCR|7DUR|aMDPS
7	24543 33321	   	204.92	DCR|3ASPD|2VULN|1MDPS|1CDMG|1DUR	1RMIN|29VULN|3CDMG|457ASPD|6RCR|8DUR|aMDPS
8	26543 33321	 * 	204.25	DCR|3ASPD|2VULN|1MDPS|2CDMG	1RMIN|29LHND|39CDMG|457ASPD|6RCR|89VULN|9BPWR|aMDPS
9	24543 33221	   	204.05	DCR|3ASPD|2VULN|1MDPS|2CDMG	1RMIN|29VULN|39CDMG|457ASPD|6RCR|89DUST|9BPWR|aMDPS
10	24324 25132	 * 	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RMIN|2aVULN|3AART|4LWND|5CDMG|6RCR|7DMG|8ASPD|9DMSP
11	23543 33226	 * 	202.60	DCR|2VULN|2ASPD|1NUKE|1CDMG|1DUR	1RMIN|2DUST|3CDMG|45ASPD|6RCR|7DUR|89VULN|aNUKE
12	24543 32221	 * 	201.57	DCR|2MDPS|2VULN|2ASPD|1CDMG|1DUR	1RMIN|28VULN|3CDMG|45ASPD|6RCR|7DUR|9aMDPS
13	26543 33332	   	200.99	DCR|3ASPD|1AART|1VULN|1CDMG|1ZMB	1RMIN|2LHND|3CDMG|457ASPD|6RCR|8VULN|9AART|aZMB
14	24543 33232	   	200.89	DCR|3ASPD|1VULN|1AART|1CDMG|1ZMB	1RMIN|2VULN|3CDMG|457ASPD|6RCR|8DUST|9AART|aZMB
15	23543 33224	 * 	200.37	DCR|3VULN|2ASPD|1CDMG|1DUR	1RMIN|2DUST|3CDMG|45ASPD|6RCR|7DUR|89aVULN
16	24324 24132	 * 	199.86	DCR|2VULN|2AART|1ASPD|1CDMG	1RMIN|2aVULN|39AART|4LWND|5CDMG|6RCR|7ERES|8ASPD
17	52146 33113	   	198.78	DCR|1SPLARM|2VULN|2CDMG|1DMG|1AAC|1DUR	18LIT|2LHND|38CDMG|4SPLARM|5DUR|68VULN|7RCR|8BPWR|9DMG|aAAC
18	24332 62532	 * 	198.26	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|279VULN|3AART|4LIT|5RCVC|6RCR|8DMG|aZMB
19	61621 32523	 * 	198.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	18VULN|2BEXP|3BELT|4ASPD|5ZMB|6aDMG|7RCR|9DUR
20	52142 33116	 * 	198.09	DCR|3VULN|1SPLARM|2CDMG|1DMG	18LIT|2LHND|38CDMG|4SPLARM|5FEWX|68aVULN|7RCR|8BPWR|9DMG
21	24111 53262	   	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RMIN|2aVULN|3ERES|4CGEN|5AART|6CDMG|7DMG|8ASPD|9RCR
22	62425 42124	 * 	197.16	DCR|4VULN|1AART|1CDMG|1SELL	138aVULN|2LHND|4MBVNT|5CDMG|6RCR|7SELL|9AART
23	26531 33113	 * 	196.93	DCR|4VULN|1AART|2CDMG	1RMIN|2LHND|35CDMG|4568VULN|5BPWR|7AART|9LEGI|aRCR
24	63661 32311	   	196.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2DUR|3BELT|4ASPD|5ZMB|6DMG|7RCR|8AME|9CDMG
25	63661 32111	 * 	196.71	DCR|2VULN|1ASPD|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1aVULN|2DUR|3BELT|4ASPD|5ZMB|6DMG|7RCR|8NUKE|9CDMG
26	23543 36211	   	196.52	DCR|3ASPD|2VULN|1MDPS|1CDMG	1RMIN|2DUST|3CDMG|459ASPD|6RCR|78VULN|aMDPS
27	24543 31211	   	196.52	DCR|3ASPD|2VULN|1MDPS|1CDMG	1RMIN|28VULN|3CDMG|459ASPD|6RCR|7DUST|aMDPS
28	22341 53523	   	195.66	DCR|2VULN|2DMG|1AART|1ZMB	1RMIN|2RPLT|35CGEN|45DMG|5BPWR|6RCR|7AART|8aVULN|9ZMB
29	24543 32212	   	195.56	DCR|3ASPD|2VULN|1CDMG|1DUR	1RMIN|28VULN|3CDMG|459ASPD|6RCR|7DUR|aBEXP
30	24543 32213	   	195.56	DCR|3ASPD|2VULN|1CDMG|1DUR	1RMIN|28VULN|3CDMG|459ASPD|6RCR|7DUR|aLWND
31	24543 33322	   	195.56	DCR|3ASPD|2VULN|1CDMG|1DUR	1RMIN|29VULN|3CDMG|457ASPD|6RCR|8DUR|aBEXP
32	24543 33323	   	195.56	DCR|3ASPD|2VULN|1CDMG|1DUR	1RMIN|29VULN|3CDMG|457ASPD|6RCR|8DUR|aLWND
33	24324 25123	   	195.52	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1RMIN|2VULN|3AART|4LWND|5CDMG|6RCR|7DMG|8ASPD|9ZMB|aAAC
34	63211 17641	 * 	195.24	ACR|2VULN|2DMG|1MDPS|2ASPD|1CDMG|2DUR	19VULN|26DUR|3MDPS|4MBVNT|5RCR|79ASPD|89DMG|9BPWR|aCDMG
35	26543 33322	   	194.88	DCR|3ASPD|2VULN|2CDMG	1RMIN|29LHND|39CDMG|457ASPD|6RCR|89VULN|9BPWR|aBEXP
36	26543 33323	   	194.88	DCR|3ASPD|2VULN|2CDMG	1RMIN|29LHND|39CDMG|457ASPD|6RCR|89VULN|9BPWR|aLWND
37	24543 33222	   	194.68	DCR|3ASPD|2VULN|2CDMG	1RMIN|29VULN|39CDMG|457ASPD|6RCR|89DUST|9BPWR|aBEXP
38	24543 33223	   	194.68	DCR|3ASPD|2VULN|2CDMG	1RMIN|29VULN|39CDMG|457ASPD|6RCR|89DUST|9BPWR|aLWND
39	63425 13134	   	194.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	13VULN|2DUR|4MBVNT|5CDMG|6DMG|7AART|8CGEN|9ZMB|aRCR
40	62441 32113	 * 	194.02	DCR|3VULN|2AART|1ZMB|1DUR	137VULN|2LHND|4ZMB|56AART|8ERES|9RCR|aDUR
41	62441 32213	   	194.02	DCR|3VULN|2AART|1ZMB|1DUR	137VULN|2LHND|4ZMB|56AART|8TLV|9RCR|aDUR
42	24324 25113	   	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1RMIN|2VULN|3AART|4LWND|5CDMG|6RCR|7DMG|8ASPD|9MLV|aZMB
43	24324 25121	   	193.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1RMIN|2VULN|3AART|4LWND|5CDMG|6RCR|7DMG|8ASPD|9ZMB|aCGEN
