0	Index      	 *	Score 	Summary	Detail	
1	36414 12211	 * 	238.51	DCR|5VULN|3CDMG|1AART|1DMG	13456VULN|234CDMG|34BPWR|7MLV|8DMG|9AART|aRCR
2	15613 23511	 * 	229.33	DCR|3VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aDMG|3AART|468VULN|5ERES|7RCR|9ASPD
3	33513 31541	 * 	228.27	DCR|4VULN|1SPLARM|1MDPS|2CDMG|1DUR	1246VULN|24BPWR|34CDMG|5DUR|7SPLARM|8RCR|9LHND|aMDPS
4	15613 23341	 * 	227.75	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1DUR	1DUR|2aDMG|3AART|46VULN|5ERES|7RCR|8ASPD|9CDMG
5	36113 31533	 * 	223.46	DCR|4VULN|1SPLARM|2CDMG|1DMG|1DUR	1469VULN|24CDMG|3RCVC|4BPWR|5DUR|7SPLARM|8RCR|aDMG
6	33432 22141	 * 	222.94	DCR|4VULN|2DMG|1ASPD|2DUR	1248VULN|28BPWR|38DUR|5AME|6ASPD|78DMG|9RCR|aLHND
7	33432 22142	   	222.94	DCR|4VULN|2DMG|1ASPD|2DUR	1248VULN|28BPWR|38DUR|5AME|6ASPD|78DMG|9RCR|aFEWX
8	33432 22143	   	222.94	DCR|4VULN|2DMG|1ASPD|2DUR	1248VULN|28BPWR|38DUR|5AME|6ASPD|78DMG|9RCR|aCGEN
9	33432 22144	   	222.94	DCR|4VULN|2DMG|1ASPD|2DUR	1248VULN|28BPWR|38DUR|5aAME|6ASPD|78DMG|9RCR
10	33432 22146	   	222.94	DCR|4VULN|2DMG|1ASPD|2DUR	1248VULN|28BPWR|38DUR|5AME|6ASPD|78DMG|9RCR|aLWND
11	33432 22145	   	222.84	DCR|4VULN|2DMG|1ASPD|2DUR	1248VULN|28BPWR|38DUR|5AME|6ASPD|78DMG|9RCR|aDUST
12	35432 21141	 * 	221.31	DCR|3VULN|2DMG|2ASPD|2DUR	148VULN|28DMG|36ASPD|5AME|78DUR|8BPWR|9RCR|aLHND
13	35432 21142	   	221.31	DCR|3VULN|2DMG|2ASPD|2DUR	148VULN|28DMG|36ASPD|5AME|78DUR|8BPWR|9RCR|aFEWX
14	35432 21143	   	221.31	DCR|3VULN|2DMG|2ASPD|2DUR	148VULN|28DMG|36ASPD|5AME|78DUR|8BPWR|9RCR|aCGEN
15	33513 31553	   	220.15	DCR|4VULN|1SPLARM|2CDMG|1DMG|1DUR	1246VULN|24BPWR|34CDMG|5DUR|7SPLARM|8RCR|9RPLT|aDMG
16	33152 25311	 * 	220.07	DCR|3VULN|2AART|2ASPD|1DUR	125VULN|2BPWR|3RMIN|4DUR|69ASPD|7aAART|8RCR
17	33432 25311	   	220.07	DCR|3VULN|2AART|2ASPD|1DUR	124VULN|2BPWR|3DUR|5AME|69ASPD|7aAART|8RCR
18	33552 62121	 * 	218.58	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	12VULN|2BPWR|3CDMG|4AART|5DUST|6ASPD|7DMG|8RCR|9MDPS|aBEXP
19	33552 62122	   	218.58	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	12VULN|2BPWR|3CDMG|4AART|5DUST|6ASPD|7DMG|8RCR|9MDPS|aLIT
20	33552 62123	   	218.58	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	12VULN|2BPWR|3CDMG|4AART|5DUST|6ASPD|7DMG|8RCR|9MDPS|aLHND
21	36414 12311	   	218.45	DCR|5VULN|3CDMG|1AART	13456VULN|234CDMG|34BPWR|7MLV|8RMIN|9AART|aRCR
22	36414 12111	   	218.35	DCR|5VULN|3CDMG|1AART	13456VULN|234CDMG|34BPWR|7MLV|8ERES|9AART|aRCR
23	33552 62111	   	217.34	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	12VULN|2BPWR|3CDMG|4AART|5DUST|6ASPD|7aDMG|8RCR|9TLV
24	15613 23115	   	216.98	DCR|3VULN|1AART|1ASPD|1DMG|2DUR	18DUR|2DMG|3AART|46aVULN|5ERES|7RCR|9ASPD
25	15613 23221	   	216.94	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	19DUR|29DMG|3AART|46VULN|5ERES|7RCR|89LWND|9BPWR|aASPD
26	15624 23221	   	216.94	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	19DUR|29DMG|3AART|4ERES|56VULN|7RCR|89LWND|9BPWR|aASPD
27	15614 23111	   	216.84	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	18DUR|2aDMG|3AART|46VULN|5CGEN|7RCR|9ASPD
28	15613 23111	   	216.74	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	18DUR|2aDMG|3AART|46VULN|5ERES|7RCR|9ASPD
29	15624 23111	   	216.74	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	18DUR|2aDMG|3AART|4ERES|56VULN|7RCR|9ASPD
30	33553 12141	   	216.12	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	12VULN|2BPWR|3CDMG|4AART|5MLV|6DUR|7aDMG|8RCR|9ZMB
31	36113 31541	   	215.74	DCR|3VULN|1SPLARM|1MDPS|2CDMG|1DUR	146VULN|24CDMG|3RCVC|4BPWR|5DUR|7SPLARM|8RCR|9LHND|aMDPS
32	33553 33351	 * 	215.73	DCR|3VULN|2ASPD|1AART|1CDMG	12aVULN|2aBPWR|3CDMG|4AART|5aMLV|67RCVC|8RCR|9aASPD
33	15613 23343	   	215.40	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1aDUR|2DMG|3AART|46VULN|5ERES|7RCR|8ASPD|9CDMG
34	33513 31531	 * 	214.67	DCR|5VULN|1SPLARM|2CDMG|1DUR	12469VULN|24BPWR|34CDMG|5DUR|7SPLARM|8RCR|aRCVC
35	33513 31532	   	214.34	DCR|5VULN|1SPLARM|2CDMG|1DUR	12469VULN|24BPWR|34CDMG|5DUR|7SPLARM|8RCR|aLIT
36	33513 31534	   	214.34	DCR|5VULN|1SPLARM|2CDMG|1DUR	12469VULN|24BPWR|34CDMG|5DUR|7SPLARM|8RCR|aLWND
37	33513 31535	   	214.34	DCR|5VULN|1SPLARM|2CDMG|1DUR	12469VULN|24BPWR|34CDMG|5DUR|7SPLARM|8RCR|aFEWX
38	33513 31536	   	214.34	DCR|5VULN|1SPLARM|2CDMG|1DUR	12469VULN|24BPWR|34CDMG|5DUR|7SPLARM|8RCR|aBELT
39	15612 33335	   	214.30	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2DMG|3AART|49aVULN|5RCVC|6AME|7RCR|8ASPD
40	33513 31533	   	214.24	DCR|5VULN|1SPLARM|2CDMG|1DUR	12469VULN|24BPWR|34CDMG|5DUR|7SPLARM|8RCR|aMBVNT
41	15612 13335	   	214.20	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2DMG|3AART|49aVULN|5RCVC|6TLV|7RCR|8ASPD
42	15612 33331	   	214.05	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aDMG|3AART|49VULN|5RCVC|6AME|7RCR|8ASPD
43	15614 23321	 * 	213.97	DCR|2VULN|2ASPD|1AART|1DMG|1NUKE|1DUR	1DUR|2DMG|3AART|46VULN|5CGEN|7RCR|8aASPD|9NUKE
44	15614 23322	   	213.97	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|1DUR|1MSE	1DUR|2DMG|3AART|46VULN|5CGEN|7RCR|8ASPD|9NUKE|aMSE
45	15614 23323	   	213.97	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1DUR|2DMG|3AART|46VULN|5CGEN|7RCR|8ASPD|9NUKE|aFEWX
46	15612 13331	   	213.95	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2aDMG|3AART|49VULN|5RCVC|6TLV|7RCR|8ASPD
47	36311 32661	 * 	213.94	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	189VULN|28CDMG|3BELT|4DUR|5ASPD|6RCR|78LHND|8BPWR|aDMG
48	15613 23321	   	213.87	DCR|2VULN|2ASPD|1AART|1DMG|1NUKE|1DUR	1DUR|2DMG|3AART|46VULN|5ERES|7RCR|8aASPD|9NUKE
49	15613 23322	   	213.87	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|1DUR|1MSE	1DUR|2DMG|3AART|46VULN|5ERES|7RCR|8ASPD|9NUKE|aMSE
