0	Index      	 *	Score 	Summary	Detail	
1	16522 61133	 * 	293.85	橙橙2易伤2伤害1时间1技能1卖塔	17伤害27易伤3时间4基地爆炸57暴雪减费69核7序列升级8卖塔a技能
2	16331 22123	 * 	290.41	橙橙4易伤1伤害	1伤害2356易伤4策反7平台8毒气减费9a核
3	16328 33123	 * 	286.75	橙橙2易伤2伤害2暴击	17伤害23易伤4加一57策反67暴击7序列升级8毒气减费9a核
4	16328 33723	   	286.75	橙橙2易伤2伤害2暴击	17伤害23易伤4加一57策反67暴击7序列升级8火球减费9a核
5	16328 35123	   	284.79	橙橙3易伤1伤害1暴击	1伤害237易伤4加一5策反6暴击8毒气减费9a核
6	16362 33523	 * 	282.45	橙橙2易伤3伤害	148伤害23易伤5雷电69敌人爆炸7a核
7	16122 61133	   	280.20	橙橙2易伤2伤害1技能1卖塔	17伤害27易伤3低血量敌人4基地爆炸57暴雪减费69核7序列升级8卖塔a技能
8	16132 61136	   	280.20	橙橙2易伤2伤害1时间1卖塔	17伤害27易伤3低血量敌人4最后敌人57暴雪减费69核7序列升级8卖塔a时间
9	16522 61131	   	280.20	橙橙2易伤2伤害1时间1卖塔	17伤害27易伤3时间4基地爆炸57暴雪减费69核7序列升级8卖塔a平台
10	16522 61132	   	280.20	橙橙2易伤2伤害1时间1卖塔	17伤害27易伤3时间4基地爆炸57暴雪减费69核7序列升级8卖塔a最后敌人
11	16532 61131	   	280.20	橙橙2易伤2伤害1时间1卖塔	17伤害27易伤3时间4最后敌人57暴雪减费69核7序列升级8卖塔a平台
12	16532 61132	   	280.20	橙橙2易伤2伤害1时间1卖塔	17伤害27易伤3时间4a最后敌人57暴雪减费69核7序列升级8卖塔
13	16532 61133	   	280.20	橙橙2易伤2伤害1时间1卖塔	17伤害27易伤3时间4最后敌人57暴雪减费69核7序列升级8卖塔a立即金币
14	14431 22123	   	271.14	橙橙3易伤1伤害	1伤害2暴雪减费356易伤4策反7平台8毒气减费9a核
15	16331 52123	   	271.14	橙橙3易伤1伤害	1伤害235易伤4策反6烈焰减费7平台8毒气减费9a核
16	16221 61325	   	269.79	橙橙3伤害1易伤1时间	179伤害2易伤357挖尘47基地爆炸6a核7序列升级8时间
17	32331 81622	 * 	269.04	紫橙2易伤2矿等1等级2暴击1卖塔	19核2加一37矿等4卖塔57暴击67易伤7序列升级8散射对喷气a等级
18	16122 61131	   	266.55	橙橙2易伤2伤害1卖塔	17伤害27易伤3低血量敌人4基地爆炸57暴雪减费69核7序列升级8卖塔a平台
19	16122 61132	   	266.55	橙橙2易伤2伤害1卖塔	17伤害27易伤3低血量敌人4基地爆炸57暴雪减费69核7序列升级8卖塔a最后敌人
20	16122 61135	   	266.55	橙橙2易伤2伤害1卖塔	17伤害27易伤3a低血量敌人4基地爆炸57暴雪减费69核7序列升级8卖塔
21	16132 61131	   	266.55	橙橙2易伤2伤害1卖塔	17伤害27易伤3低血量敌人4最后敌人57暴雪减费69核7序列升级8卖塔a平台
22	16132 61132	   	266.55	橙橙2易伤2伤害1卖塔	17伤害27易伤3低血量敌人4a最后敌人57暴雪减费69核7序列升级8卖塔
23	16132 61133	   	266.55	橙橙2易伤2伤害1卖塔	17伤害27易伤3低血量敌人4最后敌人57暴雪减费69核7序列升级8卖塔a立即金币
24	16122 61136	   	266.45	橙橙2易伤2伤害1卖塔	17伤害27易伤3低血量敌人4基地爆炸57暴雪减费69核7序列升级8卖塔a加一
25	16132 61135	   	266.45	橙橙2易伤2伤害1卖塔	17伤害27易伤3低血量敌人4最后敌人57暴雪减费69核7序列升级8卖塔a加农对毒
