0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22315 11433	5	 * 	273.70	橙5易伤2等级2雷电	156敌人爆炸2345a易伤5a序列升级7核8a等级9a雷电
2	22443 31633	8	 * 	270.52	橙3易伤2等级1伤害1时间2雷电	1敌人爆炸25a易伤3最后敌人4时间6a雷电7伤害8核9a等级a序列升级
3	34444 62311	7	   	270.00	橙4易伤2等级1时间1暴击	1a掉矿2加一369a易伤4时间5暴击7核8a等级a序列升级
4	22312 32515	6	 * 	267.15	橙4易伤2伤害1等级	1敌人爆炸2346易伤5雷电78伤害9核a等级
5	42312 32515	6	   	267.15	橙4易伤2伤害1等级	1基地爆炸2346易伤5雷电78伤害9核a等级
6	42315 31622	5	   	264.19	橙5易伤1等级1时间	15基地爆炸23456易伤5序列升级7核8攻速9等级a时间
7	51313 55333	6	   	263.77	橙3易伤2等级1伤害1时间	1策反2雷电3伤害47a易伤5时间69等级8核
8	21328 14313	6	 * 	263.21	橙3易伤2等级3时间	1敌人爆炸256时间358易伤4加一5序列升级7核9a等级
9	21328 54313	5	   	263.21	橙3易伤2等级3时间	1敌人爆炸256时间358易伤4加一5序列升级7核9a等级
10	41328 14313	6	   	263.21	橙3易伤2等级3时间	1基地爆炸256时间358易伤4加一5序列升级7核9a等级
11	41328 54313	5	   	263.21	橙3易伤2等级3时间	1基地爆炸256时间358易伤4加一5序列升级7核9a等级
12	21633 33521	3	   	259.76	橙3易伤1等级1伤害1时间1暴击1全技能	1敌人爆炸2时间3全技能469易伤5暴击7伤害8核a等级
13	21633 33521	4	   	259.76	橙3易伤1等级1伤害1时间1暴击1全技能	1敌人爆炸2时间3全技能469易伤5暴击7伤害8核a等级
14	22613 33521	4	   	259.76	橙3易伤1等级1伤害1时间1暴击1全技能	1敌人爆炸269易伤3全技能4时间5暴击7伤害8核a等级
15	41633 33521	4	   	259.76	橙3易伤1等级1伤害1时间1暴击1全技能	1基地爆炸2时间3全技能469易伤5暴击7伤害8核a等级
16	42613 33521	4	   	259.76	橙3易伤1等级1伤害1时间1暴击1全技能	1基地爆炸269易伤3全技能4时间5暴击7伤害8核a等级
17	42315 31324	5	 * 	259.70	橙5易伤1等级1伤害	15基地爆炸23456易伤5序列升级7核8策反9等级a伤害
18	22315 33488	10	   	259.60	橙5易伤1等级1伤害	15敌人爆炸23459易伤5序列升级6加一7核8等级a伤害
19	22561 52231	5	   	258.81	橙3易伤2等级2攻速1暴击1全技能	1a敌人爆炸25a易伤35攻速4全技能5a序列升级6双倍物品7暴击8a等级9核
20	22315 33456	8	   	258.75	橙5易伤2等级	15a敌人爆炸2345a易伤5a序列升级6加一7核8a等级9额外掉落
21	42315 32123	5	   	258.65	橙5易伤2等级	15基地爆炸23456易伤5序列升级78等级9低血量敌人a核
22	22315 33433	8	   	258.55	橙5易伤2等级	15敌人爆炸2345a易伤5序列升级6加一7核89等级
23	22315 33481	10	   	258.55	橙5易伤2等级	15敌人爆炸23459易伤5序列升级6加一7核8a等级
24	42311 26633	8	   	258.55	橙5易伤2等级	1基地爆炸23489易伤5低血量敌人67等级a核
25	42315 33481	10	   	258.55	橙5易伤2等级	15基地爆炸23459易伤5序列升级6加一7核8a等级
26	61313 52316	10	   	258.41	橙3易伤1等级1伤害1时间1暴击	1矿等2雷电3伤害489易伤5时间6等级7暴击a核
27	31313 52316	10	   	258.31	橙3易伤1等级1伤害1时间1暴击	1掉矿2雷电3伤害489易伤5时间6等级7暴击a核
28	42315 32252	5	   	257.60	橙5易伤1等级1全技能	15基地爆炸23456易伤5序列升级7等级8雷电9核a全技能
29	22315 33484	8	   	256.45	橙4易伤2等级1时间	15敌人爆炸2345易伤5序列升级6加一7核8a等级9时间
30	42315 33484	8	   	256.45	橙4易伤2等级1时间	15基地爆炸2345易伤5序列升级6加一7核8a等级9时间
31	42315 31322	5	   	255.88	橙5易伤1等级1时间	15基地爆炸23456易伤5序列升级7核8策反9等级a时间
32	22315 33481	8	   	255.78	橙5易伤1等级1时间	15敌人爆炸2345a易伤5序列升级6加一7核8等级9时间
33	22315 33547	8	   	255.78	橙5易伤1等级1时间	15敌人爆炸23459易伤5序列升级6加一7核8时间a等级
34	22315 33647	7	   	255.78	橙5易伤1等级1时间	15敌人爆炸23459易伤5序列升级6加一7核8时间a等级
35	42315 33481	8	   	255.78	橙5易伤1等级1时间	15基地爆炸2345a易伤5序列升级6加一7核8等级9时间
36	62532 31111	2	 * 	255.57	橙3易伤2等级2暴击1时间	1a矿等2时间3a等级47暴击5低血量敌人6核89a易伤a序列升级
37	32123 13161	9	 * 	255.55	橙3易伤3时间2伤害	139掉矿267时间459易伤89伤害9序列升级a核
38	22311 26624	8	   	255.47	橙3易伤2等级1伤害1时间	1敌人爆炸234易伤5低血量敌人67等级8伤害9核a时间
39	22215 11433	5	   	255.36	橙4易伤2等级2雷电	156敌人爆炸245a易伤3立即金币5a序列升级7核8a等级9a雷电
40	22365 11433	5	   	255.36	橙4易伤2等级2雷电	156敌人爆炸235a易伤4立即金币5a序列升级7核8a等级9a雷电
41	34444 72311	7	   	255.27	橙3易伤2等级2暴击1时间	1a掉矿2加一39a易伤4时间56暴击7核8a等级a序列升级
42	32536 33521	2	   	253.99	橙2易伤2等级1伤害1时间1暴击1全技能	1掉矿2时间3a等级4暴击5全技能69易伤7伤害8核
43	34424 62311	7	   	253.75	橙4易伤2等级1暴击	1a掉矿2加一369a易伤4最后敌人5暴击7核8a等级a序列升级
44	21633 33551	3	   	252.66	橙2易伤2伤害1等级1时间1暴击1全技能	1敌人爆炸2时间3全技能46易伤5暴击79伤害8核a等级
45	21633 33551	4	   	252.66	橙2易伤2伤害1等级1时间1暴击1全技能	1敌人爆炸2时间3全技能46易伤5暴击79伤害8核a等级
46	22613 33551	4	   	252.66	橙2易伤2伤害1等级1时间1暴击1全技能	1敌人爆炸26易伤3全技能4时间5暴击79伤害8核a等级
47	21328 14317	6	   	252.51	橙3易伤3时间1等级	1敌人爆炸256时间358易伤4加一5序列升级7核9等级a雷电
48	21328 54317	5	   	252.51	橙3易伤3时间1等级	1敌人爆炸256时间358易伤4加一5序列升级7核9等级a雷电
49	41328 14317	6	   	252.51	橙3易伤3时间1等级	1基地爆炸256时间358易伤4加一5序列升级7核9等级a雷电
50	22315 33574	10	 * 	252.02	橙4易伤2时间1等级	15敌人爆炸2345易伤5序列升级6加一7核89时间a等级
51	31313 52416	10	   	251.20	橙2易伤2伤害1等级1时间1暴击	1掉矿2雷电38伤害49易伤5时间6等级7暴击a核
52	22315 33488	8	   	251.09	橙4易伤1等级1时间1暴击	15敌人爆炸2345易伤5序列升级6加一7核8等级9时间a暴击
53	21166 52231	1	   	250.87	橙3易伤2等级1暴击1全技能	1a敌人爆炸2全技能35a易伤4攻速6双倍物品7暴击8a等级9核a序列升级
54	62116 32411	2	   	250.19	橙3易伤2等级2时间	1矿等2a时间3基地爆炸4最后敌人5a等级6金币生成7核89a易伤a序列升级
55	22452 32111	3	   	250.19	橙3易伤2等级2时间	1敌人爆炸29a易伤3最后敌人4矿等5a等级6金币生成7核8a时间a序列升级
56	22452 32421	3	   	250.19	橙3易伤2等级2时间	1敌人爆炸28a易伤3最后敌人4矿等5a等级6金币生成7核9a时间a序列升级
57	42452 32111	3	   	250.19	橙3易伤2等级2时间	1基地爆炸29a易伤3最后敌人4矿等5a等级6金币生成7核8a时间a序列升级
58	62316 32411	2	   	250.09	橙3易伤2等级2时间	1矿等2a时间3挖尘4最后敌人5a等级6金币生成7核89a易伤a序列升级
59	62622 32411	5	   	250.09	橙3易伤2等级2时间	1矿等2a时间3挖尘4最后敌人5a等级6金币生成7核89a易伤a序列升级
60	22323 16313	8	   	250.09	橙3易伤2等级2时间	158敌人爆炸239易伤4掉矿69时间79等级9序列升级a核
61	22326 16313	8	   	250.09	橙3易伤2等级2时间	168敌人爆炸239易伤4掉矿59时间79等级9序列升级a核
62	22612 32421	2	   	250.09	橙3易伤2等级2时间	1敌人爆炸28a易伤3掉矿4最后敌人5a等级6金币生成7核9a时间a序列升级
