0	Index      	 *	Score 	Summary	Detail	
1	15411 31253	 * 	241.82	橙1散射对甲2易伤1双倍秒伤1全技能1技能1策反	1敌人爆炸2全技能3金币生成46易伤5散射对甲7技能8策反9核a双倍秒伤
2	35411 33143	   	231.48	橙1散射对甲2易伤1双倍秒伤1全技能	1低血量敌人2全技能3金币生成46易伤5散射对甲7基础对甲8雷电9核a双倍秒伤
3	15132 22423	 * 	223.64	紫1散射对甲2全技能1双倍秒伤1伤害1暴击1时间	1敌人爆炸25全技能3核4时间6挖尘7伤害8暴击9散射对甲a双倍秒伤
4	43231 61221	 * 	221.70	橙3易伤2伤害1攻速1暴击1时间	1雷电26a易伤37伤害4时间5暴击8核9攻速
5	15135 22423	 * 	217.77	紫1散射对甲1双倍秒伤1全技能2时间1伤害1暴击	1敌人爆炸2全技能3核45时间6挖尘7伤害8暴击9散射对甲a双倍秒伤
6	15411 11161	   	213.24	橙1散射对甲1双倍秒伤1易伤1全技能	1敌人爆炸2全技能3a金币生成4易伤5散射对甲6最后敌人7核8技能点9双倍秒伤
7	15411 11162	   	213.24	橙1散射对甲1双倍秒伤1易伤1全技能	1敌人爆炸2全技能3金币生成4易伤5散射对甲6最后敌人7核8技能点9双倍秒伤a平台
8	15411 11163	   	213.24	橙1散射对甲1双倍秒伤1易伤1全技能	1敌人爆炸2全技能3金币生成4易伤5散射对甲6最后敌人7核8技能点9双倍秒伤a随机矿
9	35411 11161	   	213.24	橙1散射对甲1双倍秒伤1易伤1全技能	1低血量敌人2全技能3a金币生成4易伤5散射对甲6最后敌人7核8技能点9双倍秒伤
10	35411 11162	   	213.24	橙1散射对甲1双倍秒伤1易伤1全技能	1低血量敌人2全技能3金币生成4易伤5散射对甲6最后敌人7核8技能点9双倍秒伤a平台
11	35411 11163	   	213.24	橙1散射对甲1双倍秒伤1易伤1全技能	1低血量敌人2全技能3金币生成4易伤5散射对甲6最后敌人7核8技能点9双倍秒伤a随机矿
12	15411 21112	   	213.14	橙1散射对甲1双倍秒伤1易伤1全技能	1敌人爆炸2全技能3金币生成4易伤5散射对甲6挖尘7核8技能点9双倍矿a双倍秒伤
13	15411 21142	   	213.14	橙1散射对甲1双倍秒伤1易伤1全技能	19敌人爆炸2全技能3金币生成4易伤5散射对甲6挖尘7核8技能点a双倍秒伤
14	15411 21212	   	213.14	橙1散射对甲1双倍秒伤1易伤1全技能	1敌人爆炸2全技能3金币生成4易伤5散射对甲6挖尘7核8掉矿9双倍矿a双倍秒伤
15	15411 21222	   	213.14	橙1散射对甲1双倍秒伤1易伤1全技能	1敌人爆炸2全技能3金币生成4易伤5散射对甲6挖尘7核89掉矿a双倍秒伤
16	15411 21242	   	213.14	橙1散射对甲1双倍秒伤1易伤1全技能	19敌人爆炸2全技能3金币生成4易伤5散射对甲6挖尘7核8掉矿a双倍秒伤
17	15411 21336	   	213.14	橙1散射对甲1双倍秒伤1易伤1全技能1时间	19敌人爆炸2全技能3金币生成4易伤5散射对甲6挖尘7核8时间a双倍秒伤
18	15411 21612	 * 	213.14	橙1散射对甲2全技能1双倍秒伤1易伤	1敌人爆炸28全技能3金币生成4易伤5散射对甲6挖尘7核9技能点a双倍秒伤
19	15411 21622	   	213.14	橙1散射对甲2全技能1双倍秒伤1易伤	1敌人爆炸28全技能3金币生成4易伤5散射对甲6挖尘7核9随机矿a双倍秒伤
20	15411 21632	   	213.14	橙1散射对甲2全技能1双倍秒伤1易伤1策反	1敌人爆炸28全技能3金币生成4易伤5散射对甲6挖尘7核9策反a双倍秒伤
21	35411 21161	   	213.14	橙1散射对甲1双倍秒伤1易伤1全技能	1低血量敌人2全技能3a金币生成4易伤5散射对甲6挖尘7核8技能点9双倍秒伤
22	35411 21162	   	213.14	橙1散射对甲1双倍秒伤1易伤1全技能	1低血量敌人2全技能3金币生成4易伤5散射对甲6挖尘7核8技能点9双倍秒伤a平台
23	35411 21163	   	213.14	橙1散射对甲1双倍秒伤1易伤1全技能	1低血量敌人2全技能3金币生成4易伤5散射对甲6挖尘7核8技能点9双倍秒伤a随机矿
24	43231 11221	 * 	212.74	橙2易伤2伤害2时间1攻速1暴击	1雷电2a易伤37伤害46时间5暴击8核9攻速
25	15411 32213	   	212.16	橙1散射对甲2易伤1双倍秒伤1全技能1暴击1技能	1敌人爆炸2全技能3金币生成46易伤5散射对甲7暴击8双倍秒伤9技能a核
