0	Index      	 *	Score 	Summary	Detail	
1	21351 13435	 * 	293.30	ACR|2BASARM|3DMG|2BEXP|1VULN|1ASPD|1AART	16aDMG|2ASPD|3RCR|4aBASARM|56SNITOX|6aBPWR|7VULN|8AART|9aBEXP
2	21353 41242	 * 	284.21	ACR|3VULN|3DMG|1BASARM|2ASPD	169DMG|29ASPD|3RCR|4BASARM|5MLV|789VULN|9BPWR|aAAC
3	21351 54213	 * 	276.58	ACR|2BASARM|2ASPD|2DMG|2BEXP|1VULN	18DMG|29ASPD|3RCR|48BASARM|5SNITOX|6LIT|78BEXP|8BPWR|aVULN
4	21353 41243	   	275.90	ACR|3VULN|3DMG|1BASARM|2ASPD	169DMG|29ASPD|3RCR|4BASARM|5MLV|789VULN|9BPWR|aDUR
5	21353 41241	   	275.80	ACR|3VULN|3DMG|1BASARM|2ASPD	169DMG|29ASPD|3RCR|4BASARM|5MLV|789VULN|9BPWR|aAIRARM
6	34342 23631	 * 	274.95	ACR|2BASARM|3DMG|2ASPD|2CDMG	1RCR|234DMG|39BPWR|59BASARM|6SPLARM|79ASPD|89CDMG|aRMIN
7	34342 23632	   	274.95	ACR|2BASARM|3DMG|2ASPD|2CDMG	1RCR|234DMG|39BPWR|59BASARM|6SPLARM|79ASPD|89CDMG|aZMB
8	34342 23633	   	274.85	ACR|2BASARM|3DMG|2ASPD|2CDMG	1RCR|234DMG|39BPWR|59BASARM|6SPLARM|79ASPD|89CDMG|aVENICY
9	34342 23313	   	274.62	ACR|3DMG|1BASARM|2ASPD|1VULN|1CDMG	1RCR|234DMG|3BPWR|5BASARM|6SPLARM|7aASPD|8VULN|9CDMG
10	21352 26125	   	269.20	ACR|1BASARM|2VULN|2ASPD|2DMG|1BEXP	19DMG|29ASPD|3RCR|4BASARM|5LWND|69VULN|7AAC|8RMIN|9BPWR|aBEXP
11	21351 11125	 * 	269.11	ACR|3BASARM|3DMG|2BEXP|1ASPD	16aDMG|2ASPD|3RCR|47aBASARM|56SNITOX|6aBPWR|8FEWX|9aBEXP
12	21351 11425	   	269.11	ACR|3BASARM|3DMG|2BEXP|1ASPD	16aDMG|2ASPD|3RCR|47aBASARM|56SNITOX|6aBPWR|8LWND|9aBEXP
13	21355 11125	   	269.11	ACR|3BASARM|3DMG|2BEXP|1ASPD	16aDMG|2ASPD|3RCR|47aBASARM|56MSLFST|6aBPWR|8FEWX|9aBEXP
14	21351 11325	   	269.01	ACR|3BASARM|3DMG|2BEXP|1ASPD	16aDMG|2ASPD|3RCR|47aBASARM|56SNITOX|6aBPWR|8DUST|9aBEXP
15	21355 11325	   	269.01	ACR|3BASARM|3DMG|2BEXP|1ASPD	16aDMG|2ASPD|3RCR|47aBASARM|56MSLFST|6aBPWR|8DUST|9aBEXP
16	34624 31131	 * 	266.72	ACR|1BASARM|2DMG|2BEXP|1ASPD|2CDMG	1RCR|29DMG|3AAC|49BEXP|5RCVC|6BASARM|7SPLREG|89CDMG|9BPWR|aASPD
17	34122 43243	 * 	266.21	ACR|3DMG|2VULN|3BEXP|2ASPD	1RCR|26aDMG|3ZMB|478BEXP|5aVULN|9aASPD|aBPWR
18	34342 61211	   	265.34	ACR|3DMG|1BASARM|1VULN|1ASPD|1BEXP	1RCR|234DMG|3BPWR|5BASARM|6BEXP|7AAC|8RCVC|9VULN|aASPD
19	21351 33131	   	264.95	ACR|2BASARM|3DMG|2ASPD|2CDMG	19aDMG|27ASPD|3RCR|49BASARM|5SNITOX|6FEWX|89CDMG|9BPWR
20	21355 33131	   	264.95	ACR|2BASARM|3DMG|2ASPD|2CDMG	19aDMG|27ASPD|3RCR|49BASARM|5MSLFST|6FEWX|89CDMG|9BPWR
21	21351 16133	   	264.95	ACR|2BASARM|3DMG|2ASPD|2CDMG	169DMG|2aASPD|3RCR|49BASARM|56SNITOX|69BPWR|7LHND|89CDMG
22	21355 16133	   	264.95	ACR|2BASARM|3DMG|2ASPD|2CDMG	169DMG|2aASPD|3RCR|49BASARM|56MSLFST|69BPWR|7LHND|89CDMG
23	34122 64132	 * 	264.73	ACR|2VULN|1BASARM|2DMG|2BEXP|1AART	1RCR|27DMG|3ZMB|47BEXP|57VULN|6RPLT|7BPWR|8AART|9CGEN|aBASARM
24	21351 13123	   	264.62	ACR|3DMG|1BASARM|2ASPD|1VULN|1CDMG	169DMG|2aASPD|3RCR|4BASARM|56SNITOX|6BPWR|7VULN|8CDMG
25	21355 13123	   	264.62	ACR|3DMG|1BASARM|2ASPD|1VULN|1CDMG	169DMG|2aASPD|3RCR|4BASARM|56MSLFST|6BPWR|7VULN|8CDMG
26	21351 13415	   	264.61	ACR|2BASARM|3DMG|1VULN|1ASPD|1AART	16aDMG|2ASPD|3RCR|4aBASARM|56SNITOX|6aBPWR|7VULN|8AART|9aDUST
27	21324 31131	 * 	264.07	ACR|3DMG|1BASARM|2BEXP|1ASPD|2CDMG	19aDMG|2ASPD|3RCR|49BEXP|5RCVC|6BASARM|7SPLREG|89CDMG|9BPWR
