0	Index      	 *	Score 	Summary	Detail	
1	23326 65223	 * 	197.19	ACR|2BASARM|3DMG|1SELL	178LHND|2SELL|3LWND|47aDMG|5RCR|67BASARM|7BPWR|9DMSP
2	52413 16121	 * 	195.06	ACR|1BASARM|1ASPD|1DMG|1BEXP|1VULN	1RMIN|2BELT|3DUR|4RCR|5ASPD|6VULN|7DMG|8BEXP|9BASARM|aLHND
3	52413 16122	   	195.06	ACR|1BASARM|1DMG|1ASPD|1BEXP|1VULN	1RMIN|2BELT|3DUR|4RCR|5ASPD|6VULN|7DMG|8BEXP|9BASARM|aRPLT
4	52413 16123	   	195.06	ACR|1BASARM|1ASPD|1DMG|1BEXP|1VULN	1RMIN|2aBELT|3DUR|4RCR|5ASPD|6VULN|7DMG|8BEXP|9BASARM
5	52113 63362	 * 	191.20	ACR|1BASARM|2BEXP|1ASPD|1AAC	1RMIN|2BELT|38LHND|4RCR|5ASPD|68AME|78BEXP|8BPWR|9BASARM|aAAC
6	52113 63162	   	191.10	ACR|1BASARM|2BEXP|1ASPD|1AAC	1RMIN|2BELT|3LHND|4RCR|5ASPD|6AME|78BEXP|9BASARM|aAAC
7	23326 65221	 * 	189.84	ACR|2BASARM|2DMG|1AAC|1SELL	178LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|9DMSP|aAAC
8	23326 65131	 * 	188.27	ACR|2BASARM|2DMG|1VULN|1SELL	17LHND|2SELL|3LWND|47DMG|5RCR|67BASARM|7BPWR|8ERES|9DUST|aVULN
9	52113 63361	   	182.89	ACR|1BASARM|2BEXP|1ASPD	1RMIN|2BELT|38LHND|4RCR|5ASPD|68AME|78BEXP|8BPWR|9BASARM|aZMB
10	23326 62151	   	182.88	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1LHND|2SELL|38LWND|4DMG|5RCR|6BASARM|7DUR|9BEXP|aASPD
11	23326 62251	   	182.88	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	18LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7DUR|9BEXP|aASPD
12	52113 63161	   	182.79	ACR|1BASARM|2BEXP|1ASPD	1RMIN|2BELT|3LHND|4RCR|5ASPD|6AME|78BEXP|9BASARM|aZMB
13	52112 13164	 * 	182.79	ACR|1BASARM|2BEXP|1DMG	1RMIN|2BELT|36LHND|4RCR|5MBVNT|78BEXP|9BASARM|aDMG
14	23326 61331	   	182.78	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7AME|8LIT|9ASPD|aBEXP
15	23326 61151	   	182.68	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1LHND|2SELL|3LWND|4DMG|5RCR|6BASARM|7AME|8ERES|9BEXP|aASPD
16	56333 12163	 * 	182.48	ACR|1BASARM|2VULN|1ASPD|1AAC	15RMIN|26MSLREG|36VULN|4RCR|6BPWR|7DUST|8ASPD|9BASARM|aAAC
