0	Index      	 *	Score 	Summary	Detail	
1	25623 62122	 * 	215.50	ACR|1BASARM|1DMG|1BEXP|1AART|1CDMG|1AAC	1DUST|2FEWX|3RCR|4VULN|5AART|6CDMG|7DMG|8BEXP|9AAC|aBASARM
2	22361 63312	   	215.40	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AART|1AAC	1DUST|2AAC|3RCR|4BEXP|5AEMAG|6AART|7CDMG|8DMG|9VULN|aBASARM
3	25636 33322	 * 	205.28	ACR|1BASARM|2ASPD|2BEXP	1DUST|2FEWX|3RCR|4ERES|58BEXP|6DUR|7aASPD|9BASARM
4	22365 22322	 * 	203.84	ACR|1BASARM|2BEXP|1ASPD|2AAC	1DUST|27AAC|3RCR|48BEXP|5CGEN|6MDPS|9BASARM|aASPD
5	22363 22322	   	203.74	ACR|1BASARM|2BEXP|1ASPD|2AAC	1DUST|27AAC|3RCR|48BEXP|5AME|6MDPS|9BASARM|aASPD
6	22362 82813	 * 	202.84	ACR|1BASARM|2BEXP|1DMG|1AAC	16DUST|2AAC|3RCR|46BEXP|5MBVNT|6BPWR|7MDPS|8VULN|9DMG|aBASARM
7	22353 63312	   	201.85	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1DUST|2AAC|3RCR|4RCVC|5FEWX|6AART|7CDMG|8DMG|9VULN|aBASARM
8	25623 62322	   	201.85	ACR|1BASARM|1DMG|1AART|1CDMG|1AAC	1DUST|2FEWX|3RCR|4VULN|5AART|6CDMG|7DMG|8LWND|9AAC|aBASARM
9	22333 63312	   	201.75	ACR|1BASARM|1DMG|1CDMG|1AART|1AAC	1DUST|2AAC|3RCR|4AEFBLL|5FEWX|6AART|7CDMG|8DMG|9VULN|aBASARM
10	22362 18122	 * 	201.23	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6MLV|7DMG|8ZMB|9BASARM|aASPD
11	22362 28122	   	201.13	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6TLV|7DMG|8ZMB|9BASARM|aASPD
12	22362 78122	   	201.13	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6ERES|7DMG|8ZMB|9BASARM|aASPD
13	22362 83135	 * 	200.75	ACR|1BASARM|3BEXP|1CDMG|1AAC	167DUST|2AAC|3RCR|467BEXP|5MBVNT|67BPWR|8MDPS|9BASARM|aCDMG
14	12132 12546	 * 	199.46	DCR|1BASARM|3BEXP|3VULN|2CDMG|1AAC	167VULN|2AAC|3CGEN|479BEXP|57CDMG|7BPWR|8BASARM|aRCR
15	22362 14122	   	198.75	ACR|1BASARM|2ASPD|1BEXP|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6MLV|7aASPD|8ZMB|9BASARM
16	22362 24122	   	198.65	ACR|1BASARM|2ASPD|1BEXP|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6TLV|7aASPD|8ZMB|9BASARM
17	22362 74122	   	198.65	ACR|1BASARM|2ASPD|1BEXP|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6ERES|7aASPD|8ZMB|9BASARM
18	22362 54822	   	198.55	ACR|1BASARM|2ASPD|1BEXP|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6NUKE|7aASPD|8ERES|9BASARM
19	25611 12623	 * 	196.96	ACR|1BASARM|2ASPD|1DMG	1DUST|2FEWX|3RCR|4DUR|58ASPD|6MLV|7LWND|9BASARM|aDMG
20	22366 11322	   	196.10	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|48BEXP|5FEWX|6MLV|7DUR|9BASARM|aASPD
21	22366 13323	   	196.10	ACR|1BASARM|2BEXP|1DMG|1AAC	1DUST|2AAC|3RCR|48BEXP|5FEWX|6MLV|7LHND|9BASARM|aDMG
22	22362 11322	   	196.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6MLV|7DUR|9BASARM|aASPD
23	22362 13323	   	196.00	ACR|1BASARM|2BEXP|1DMG|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6MLV|7LHND|9BASARM|aDMG
24	22362 16322	   	196.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6MLV|7FEWX|9BASARM|aASPD
25	22365 53122	   	196.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|46BEXP|56CGEN|6BPWR|7AEFBLL|8MDPS|9BASARM|aASPD
26	22366 21322	   	196.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|48BEXP|5FEWX|6TLV|7DUR|9BASARM|aASPD
27	22366 34322	   	196.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|48BEXP|5FEWX|6DUR|7TLV|9BASARM|aASPD
28	22366 61322	   	196.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|48BEXP|5FEWX|6ERES|7DUR|9BASARM|aASPD
29	22366 63323	   	196.00	ACR|1BASARM|2BEXP|1DMG|1AAC	1DUST|2AAC|3RCR|48BEXP|5FEWX|6ERES|7LHND|9BASARM|aDMG
30	22362 21322	   	195.90	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6TLV|7DUR|9BASARM|aASPD
31	22362 26322	   	195.90	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6TLV|7FEWX|9BASARM|aASPD
32	22362 35322	   	195.90	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6DUR|7TLV|9BASARM|aASPD
33	22362 44323	   	195.90	ACR|1BASARM|2BEXP|1DMG|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6LHND|7ERES|9BASARM|aDMG
34	22362 71322	   	195.90	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6ERES|7DUR|9BASARM|aASPD
35	22362 73323	   	195.90	ACR|1BASARM|2BEXP|1DMG|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6ERES|7LHND|9BASARM|aDMG
36	22362 76322	   	195.90	ACR|1BASARM|2BEXP|1ASPD|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6ERES|7FEWX|9BASARM|aASPD
37	22362 84122	   	195.90	ACR|1BASARM|2BEXP|1ASPD|1AAC	16DUST|2AAC|3RCR|46BEXP|5MBVNT|6BPWR|7TLV|8DUR|9BASARM|aASPD
38	22363 53123	   	195.90	ACR|1BASARM|2BEXP|1DMG|1AAC	1DUST|2AAC|3RCR|46BEXP|56AME|6BPWR|7LEGI|8DUR|9BASARM|aDMG
39	25623 61122	   	195.44	ACR|1BASARM|1BEXP|1AART|1CDMG|1AAC	1DUST|2FEWX|3RCR|4VULN|5AART|6CDMG|7RMIN|8BEXP|9AAC|aBASARM
40	22362 83134	 * 	194.95	ACR|1BASARM|3BEXP|2AAC	167DUST|2aAAC|3RCR|467BEXP|5MBVNT|67BPWR|8MDPS|9BASARM
41	22312 45422	   	194.91	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1AAC	1DUST|2AAC|3RCR|4MLV|5CDMG|6RPLT|7RMIN|8BEXP|9BASARM|aASPD
42	22362 18124	   	194.81	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6MLV|7DMG|8ZMB|9BASARM|aAART
43	22362 28124	   	194.71	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6TLV|7DMG|8ZMB|9BASARM|aAART
44	22362 78124	   	194.71	ACR|1BASARM|1DMG|1AART|1BEXP|1AAC	1DUST|2AAC|3RCR|4BEXP|5MBVNT|6ERES|7DMG|8ZMB|9BASARM|aAART
45	22316 22512	   	194.51	ACR|1BASARM|1ASPD|1DMG|1AAC	1DUST|2AAC|3RCR|4MLV|5VULN|6MDPS|7FEWX|8ASPD|9DMG|aBASARM
46	22346 22512	   	194.51	ACR|1BASARM|1ASPD|1DMG|1AAC	1DUST|2AAC|3RCR|4CGEN|5VULN|6MDPS|7FEWX|8ASPD|9DMG|aBASARM
47	22362 83131	   	194.04	ACR|1BASARM|3BEXP|1AAC	167DUST|2AAC|3RCR|467BEXP|5MBVNT|67BPWR|8MDPS|9BASARM|aVULN
48	25623 43132	 * 	192.82	ACR|1BASARM|2VULN|1DMG|1AART	1DUST|2FEWX|3RCR|46VULN|5AART|7ERES|8DMG|9CGEN|aBASARM
49	25631 13623	   	192.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2FEWX|3RCR|4ERES|5AEMAG|6BEXP|7LWND|8ASPD|9BASARM|aDMG
50	11232 12546	   	191.15	DCR|1BASARM|3BEXP|3VULN|2CDMG	167VULN|2CGEN|3RMIN|479BEXP|57CDMG|7BPWR|8BASARM|aRCR
51	22312 66113	 * 	190.53	ACR|2DMG|1ASPD|2CDMG|1BEXP|1AAC	19DUST|2AAC|3RCR|4MLV|59CDMG|6LWND|7ASPD|89DMG|9BPWR|aBEXP
52	12432 26613	 * 	190.12	1BASARM|2ASPD|2BEXP|3CDMG|2VULN|1DMG|1AAC	19VULN|2AAC|3DMG|49BEXP|568CDMG|79ASPD|9BPWR|aBASARM
53	32342 66321	   	189.81	ACR|1BASARM|2VULN|1BEXP|1AART|1AAC	1FEWX|2AAC|3MSLFST|4RCR|59VULN|6AART|7BEXP|8CGEN|aBASARM
54	22362 11324	   	189.59	ACR|1BASARM|2BEXP|1AART|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6MLV|7DUR|9BASARM|aAART
55	22362 11328	   	189.59	ACR|1BASARM|2BEXP|1CDMG|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6MLV|7DUR|9BASARM|aCDMG
56	22362 16324	   	189.59	ACR|1BASARM|2BEXP|1AART|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6MLV|7FEWX|9BASARM|aAART
57	22362 16328	   	189.59	ACR|1BASARM|2BEXP|1CDMG|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6MLV|7FEWX|9BASARM|aCDMG
58	22362 21324	   	189.49	ACR|1BASARM|2BEXP|1AART|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6TLV|7DUR|9BASARM|aAART
59	22362 21328	   	189.49	ACR|1BASARM|2BEXP|1CDMG|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6TLV|7DUR|9BASARM|aCDMG
60	22362 26324	   	189.49	ACR|1BASARM|2BEXP|1AART|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6TLV|7FEWX|9BASARM|aAART
61	22362 26328	   	189.49	ACR|1BASARM|2BEXP|1CDMG|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6TLV|7FEWX|9BASARM|aCDMG
62	22362 35324	   	189.49	ACR|1BASARM|2BEXP|1AART|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6DUR|7TLV|9BASARM|aAART
63	22362 35328	   	189.49	ACR|1BASARM|2BEXP|1CDMG|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6DUR|7TLV|9BASARM|aCDMG
64	22362 71324	   	189.49	ACR|1BASARM|2BEXP|1AART|1AAC	1DUST|2AAC|3RCR|48BEXP|5MBVNT|6ERES|7DUR|9BASARM|aAART
