0	Index      	 *	Score 	Summary	Detail	
1	35332 24621	 * 	286.27	橙3易伤3伤害3攻速2全技能	19a易伤2技能3技能点46全技能59a攻速79a伤害8核9a序列升级
2	31431 54363	 * 	277.41	橙橙2易伤1伤害1暴击	13易伤2雷电4伤害5暴击6加一7掉矿8a核9喷火对甲
3	31231 13264	   	275.71	橙橙2易伤1攻速1平台	18易伤28雷电3平台4基地爆炸5时间6a核78低血量敌人8序列升级9攻速
4	32131 13264	   	275.71	橙橙2易伤1攻速1平台	18易伤28敌人爆炸3平台4雷电5时间6a核78低血量敌人8序列升级9攻速
5	34131 13264	   	275.71	橙橙2易伤1攻速1平台	18易伤28基地爆炸3平台4雷电5时间6a核78低血量敌人8序列升级9攻速
6	31231 15264	   	275.51	橙橙2易伤1攻速1平台	18易伤28雷电3平台4基地爆炸5时间6a核78挖尘8序列升级9攻速
7	32131 15264	   	275.51	橙橙2易伤1攻速1平台	18易伤28敌人爆炸3平台4雷电5时间6a核78挖尘8序列升级9攻速
8	31233 13264	   	267.31	橙橙2易伤1攻速1平台	18易伤2雷电3平台48基地爆炸5挖青6a核78低血量敌人8序列升级9攻速
9	32133 13264	   	267.31	橙橙2易伤1攻速1平台	18易伤2敌人爆炸3平台48雷电5挖青6a核78低血量敌人8序列升级9攻速
10	34133 13264	   	267.31	橙橙2易伤1攻速1平台	18易伤2基地爆炸3平台48雷电5挖青6a核78低血量敌人8序列升级9攻速
11	31233 15264	   	267.11	橙橙2易伤1攻速1平台	18易伤2雷电3平台48基地爆炸5挖青6a核78挖尘8序列升级9攻速
12	32133 15264	   	267.11	橙橙2易伤1攻速1平台	18易伤2敌人爆炸3平台48雷电5挖青6a核78挖尘8序列升级9攻速
13	36232 33621	 * 	263.80	橙4易伤3伤害3策反	139a易伤2技能点49a伤害59a策反6双倍物品7技能8核9a序列升级
14	35261 22224	   	262.75	橙3易伤3攻速2伤害1平台	138易伤2技能489攻速5赏金邻近6平台78伤害8序列升级a核
15	31334 44613	   	260.87	橙橙1易伤1伤害1攻速1平台	1易伤2雷电3双倍矿4伤害5导弹对毒6加一7攻速8a核9平台
16	35332 24623	   	258.97	橙3易伤2伤害2攻速2全技能	19a易伤2技能3技能点46全技能59攻速79伤害8核9序列升级
