0	Index      	 *	Score 	Summary	Detail	
1	21231 22645	 * 	284.97	橙橙2伤害1易伤2暴击1平台	1寒冰对甲2技能39伤害4易伤57暴击6平台8a核
2	62135 11136	 * 	279.79	橙橙3易伤1暴击	138易伤278敌人爆炸4掉矿5暴击68雷电8序列升级9a核
3	61411 31351	 * 	276.60	紫橙2易伤2矿等2暴击	19易伤2赏金塔37核49矿等5最后敌人6金币生成89暴击9序列升级a时间
4	63121 52423	   	274.24	橙橙3易伤	138易伤2低血量敌人4时间5双倍秒伤6随机矿7金币生成9a核
5	22522 21434	   	269.17	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a时间
6	61411 31353	   	268.30	紫橙2易伤2矿等2暴击	19易伤2赏金塔37核49矿等5最后敌人6金币生成89暴击9序列升级a低血量敌人
7	61411 31352	   	268.20	紫橙2易伤2矿等2暴击	19易伤2赏金塔37核49矿等5最后敌人6金币生成89暴击9序列升级a毒液对毒
8	22522 21435	   	267.81	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a核弹
9	62111 26343	   	265.94	橙橙3易伤	139易伤2敌人爆炸4最后敌人5双倍秒伤6a核7低血量敌人8随机矿
10	63111 52423	   	265.94	橙橙3易伤	138易伤2低血量敌人4最后敌人5双倍秒伤6随机矿7金币生成9a核
11	43322 36141	 * 	261.41	橙2易伤3伤害2矿等1全技能1平台	1核弹2平台39矿等459伤害69易伤7全技能8核9序列升级a等级
12	43322 36143	   	261.41	橙2易伤3伤害2矿等1全技能1平台	1核弹2平台39矿等459伤害69易伤7全技能8核9序列升级a随机矿
13	43322 36142	   	261.31	橙2易伤3伤害2矿等1全技能1平台	1核弹2平台39矿等459伤害69易伤7全技能8核9序列升级a挖尘
14	21331 22645	   	261.18	橙橙2伤害2暴击1平台	1寒冰对甲2技能3时间49伤害57暴击6平台8a核
15	61423 31351	   	260.99	紫橙2易伤2暴击1矿等	19易伤2赏金塔37核49低血量敌人5矿等6金币生成89暴击9序列升级a时间
16	22522 21431	   	260.87	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a基地爆炸
17	22522 21433	   	260.87	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a雷电
18	22522 21436	   	260.87	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a立即金币
19	22522 21432	   	260.77	橙橙1易伤1伤害1攻速1平台	1寒冰对甲2易伤3狙击对黄4双倍秒伤5平台6伤害7攻速89核a挖尘
20	65111 26133	   	258.65	橙橙2易伤2时间	13易伤28时间49最后敌人5双倍秒伤6a核7低血量敌人
21	65121 53123	   	258.65	橙橙2易伤2时间	13易伤24时间5挖尘6低血量敌人7最后敌人8基地爆炸9a核
22	56413 21122	   	257.80	紫橙2易伤2矿等1全技能	1赏金邻近2低血量敌人37核49矿等5等级6a易伤8全技能
23	61413 51122	   	257.80	紫橙2易伤2矿等1全技能	1a易伤2赏金塔37核49矿等5等级6最后敌人8全技能
24	62135 11336	   	257.45	橙橙2易伤1暴击	13易伤278敌人爆炸4掉矿5暴击6雷电9a核
25	61431 31421	 * 	257.09	紫橙3易伤3时间	15a易伤2赏金塔37核48a时间6a基地爆炸9挖青a序列升级
26	61421 51123	   	255.84	紫橙2易伤1矿等1暴击1全技能	15易伤2赏金塔37核4低血量敌人6最后敌人8全技能9矿等a暴击
