0	Index      	 *	Score 	Summary	Detail	
1	51123 22116	 * 	307.01	橙4易伤1等级2伤害2烈焰减费	1567易伤2立即金币37伤害47烈焰减费7序列升级8等级9最后敌人a核
2	32626 23363	   	304.57	橙3易伤1等级2伤害1毒气减费2时间	18伤害28时间3毒气减费4双倍秒伤5挖尘689易伤7核8序列升级a等级
3	36632 63132	 * 	297.26	紫橙2易伤2伤害2攻速1卖塔	1a伤害2技能3卖塔4a攻速59核6时间7随机技能8a易伤a序列升级
4	51113 22116	   	286.95	橙4易伤1等级2伤害	1567易伤2立即金币37伤害4双倍矿7序列升级8等级9最后敌人a核
5	32621 23356	   	286.91	橙2易伤1等级2伤害1毒气减费2时间	18伤害28时间3毒气减费4双倍秒伤5基地爆炸68易伤7核8序列升级9策反a等级
6	32623 23356	   	286.91	橙2易伤1等级2伤害1毒气减费2时间	18伤害28时间3毒气减费4双倍秒伤5最后敌人68易伤7核8序列升级9策反a等级
7	15352 24211	 * 	282.64	橙4易伤2等级	17矿等24金币生成347a易伤47序列升级5平台67等级8核9随机技能
8	15322 24211	   	282.54	橙4易伤2等级	17矿等2金币生成347a易伤5平台67等级7序列升级8核9随机技能
9	15352 24213	   	281.66	橙3易伤2等级1伤害	17矿等24金币生成347易伤47序列升级5平台67等级8核9随机技能a伤害
10	15322 24213	   	281.56	橙3易伤2等级1伤害	17矿等2金币生成347易伤5平台67等级7序列升级8核9随机技能a伤害
11	15322 24214	   	281.56	橙3易伤2等级1烈焰减费	17矿等2金币生成347易伤5平台67等级7序列升级8核9随机技能a烈焰减费
12	15322 24216	   	281.56	橙3易伤2等级1毒气减费	17矿等2金币生成347易伤5平台67等级7序列升级8核9随机技能a毒气减费
13	31422 23344	 * 	281.06	橙2等级2易伤2伤害1暴击	1a伤害2基地爆炸3双倍矿4双倍秒伤5a等级6暴击7技能点8核9a易伤a序列升级
14	31522 23344	   	281.06	橙2等级2易伤2伤害1暴击	1a伤害2基地爆炸3立即金币4双倍秒伤5a等级6暴击7技能点8核9a易伤a序列升级
15	32626 23333	   	279.77	橙2易伤1等级2伤害1毒气减费2时间	18伤害28时间3毒气减费4双倍秒伤5挖尘68易伤7核8序列升级9风暴减费a等级
16	32611 23356	   	277.67	橙2易伤1等级2伤害2毒气减费	18伤害2时间38毒气减费4挖青5双倍秒伤68易伤7核8序列升级9策反a等级
