0	Index      	 *	Score 	Summary	Detail	
1	16222 11615	 * 	321.09	紫橙4易伤1等级	1金币生成28核3基地爆炸467a易伤5立即金币9等级
2	16222 11612	   	300.04	紫橙3易伤1等级	1金币生成28核3基地爆炸467易伤5立即金币9等级a最后敌人
3	16222 11616	   	300.04	紫橙3易伤1等级	1金币生成28核3基地爆炸467易伤5立即金币9等级a敌人爆炸
4	16224 11612	   	300.04	紫橙3易伤1等级	15金币生成28核3基地爆炸467易伤9等级a最后敌人
5	16222 12615	   	300.04	紫橙3易伤1等级	17金币生成28核3基地爆炸46a易伤5立即金币9等级
6	16222 11611	   	299.94	紫橙3易伤1等级	1金币生成28核3基地爆炸467易伤5立即金币9等级a双倍秒伤
7	16222 11613	   	299.94	紫橙3易伤1等级	1金币生成28核3基地爆炸467易伤5立即金币9等级a掉矿
8	16224 11611	   	299.94	紫橙3易伤1等级	15金币生成28核3基地爆炸467易伤9等级a双倍秒伤
9	16224 11613	   	299.94	紫橙3易伤1等级	15金币生成28核3基地爆炸467易伤9等级a掉矿
10	16264 21223	   	299.27	紫橙1等级1易伤1烈焰减费1伤害1攻速	1金币生成29核36基地爆炸4攻速5等级7易伤8烈焰减费a伤害
11	42432 33334	 * 	293.20	橙2等级2易伤1烈焰减费1伤害2随机技能	13随机技能29敌人爆炸4伤害5烈焰减费69易伤7时间89等级9序列升级a核
12	43561 22221	 * 	292.98	橙橙1等级1易伤1烈焰减费1暴击	1随机技能2暴击3烈焰减费4平台5等级6策反7加一8a核9易伤
13	16234 21223	   	292.56	紫橙1等级1易伤1烈焰减费1伤害	1金币生成29核36基地爆炸4策反5等级7易伤8烈焰减费a伤害
14	16366 31223	   	292.56	紫橙1等级1易伤1火球减费1烈焰减费1伤害	1金币生成29核3火球减费4基地爆炸5等级6策反7易伤8烈焰减费a伤害
15	16366 31323	   	292.56	紫橙1等级1易伤1火球减费1伤害	1金币生成29核3火球减费48基地爆炸5等级6策反7易伤a伤害
16	16166 31223	   	292.56	紫橙1等级1易伤1烈焰减费1伤害	1金币生成29核3双倍矿4基地爆炸5等级6策反7易伤8烈焰减费a伤害
