0	Index      	 *	Score 	Summary	Detail	
1	31536 15312	 * 	225.45	紫3伤害2易伤2基地爆炸1攻速	1额外掉落258低血量敌人3核45a伤害58序列升级68基地爆炸78易伤9攻速
2	31536 15311	   	223.45	紫2易伤2伤害2基地爆炸1攻速1暴击	1额外掉落258低血量敌人3核45伤害58序列升级68基地爆炸78易伤9攻速a暴击
3	31533 23326	 * 	214.93	紫2伤害2基地爆炸1攻速1基础对冰1易伤	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a易伤
4	31533 23323	   	211.82	紫2伤害2基地爆炸1攻速1基础对冰1全技能	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a全技能
5	31536 11224	 * 	208.41	紫3伤害2基地爆炸1易伤1全技能	1额外掉落258低血量敌人3核458伤害58序列升级68基地爆炸7双倍矿9全技能a易伤
6	31536 15313	   	207.70	紫2易伤2伤害2基地爆炸1攻速	1额外掉落258低血量敌人3核45伤害58序列升级68基地爆炸78易伤9攻速a狙击对毒
7	31533 34153	 * 	204.19	紫1基础对甲2伤害1基地爆炸1暴击	1额外掉落29低血量敌人3核49伤害5基地爆炸6暴击7挖青89火球减费9序列升级a基础对甲
8	31536 11223	 * 	202.10	紫3伤害2全技能2基地爆炸	1额外掉落258低血量敌人3核458伤害58序列升级68基地爆炸7双倍矿9a全技能
9	31533 35153	 * 	201.54	紫1基础对甲2基地爆炸1伤害1暴击	1额外掉落29低血量敌人3核4伤害59基地爆炸6暴击7时间89火球减费9序列升级a基础对甲
10	31542 31332	 * 	201.35	紫2易伤1基础对甲1伤害1暴击	1额外掉落2低血量敌人3核45易伤6双倍秒伤7暴击8时间9基础对甲a伤害
11	36532 26312	 * 	201.30	紫2易伤2攻速2伤害	1额外掉落28敌人爆炸3核4最后敌人58易伤6立即金币78攻速8序列升级9a伤害
12	35542 31332	   	201.25	紫2易伤1基础对甲1伤害1暴击	1额外掉落2挖尘3核45易伤6双倍秒伤7暴击8时间9基础对甲a伤害
13	35542 32232	   	201.25	紫2易伤1基础对甲1伤害1暴击	1额外掉落2挖尘3核45易伤6双倍秒伤7低血量敌人8暴击9基础对甲a伤害
14	31542 32232	   	201.25	紫2易伤1基础对甲1伤害1暴击	1额外掉落2低血量敌人3核45易伤6双倍秒伤7挖青8暴击9基础对甲a伤害
15	31536 11221	 * 	200.01	紫3伤害3基地爆炸1全技能	1额外掉落258a低血量敌人3核458伤害58a序列升级68a基地爆炸7双倍矿9全技能
16	31535 23416	 * 	199.17	紫2伤害2易伤1攻速1基础对冰	1额外掉落2a低血量敌人3核4a伤害5加一6攻速7基础对冰8a易伤9平台a序列升级
17	31542 16312	   	198.80	紫2易伤2攻速2伤害	1额外掉落28低血量敌人3核45易伤68最后敌人78攻速8序列升级9a伤害
18	31533 23366	   	197.95	紫2基地爆炸1攻速1伤害1基础对冰1易伤	1额外掉落2低血量敌人3核4伤害58基地爆炸6攻速7基础对冰9立即金币a易伤
19	36532 26311	   	197.37	紫2易伤2攻速1伤害1暴击	1额外掉落28敌人爆炸3核4最后敌人58易伤6立即金币78攻速8序列升级9伤害a暴击
20	31533 23321	   	197.17	紫2伤害2基地爆炸1攻速1基础对冰	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a最后敌人
21	31533 23322	   	197.17	紫2伤害2基地爆炸1攻速1基础对冰	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a平台
22	31533 23325	   	197.17	紫2伤害2基地爆炸1攻速1基础对冰	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a随机矿
23	31533 23324	   	197.07	紫2伤害2基地爆炸1攻速1基础对冰	1额外掉落2低血量敌人3核49伤害58基地爆炸6攻速7基础对冰a防空对直升
24	31562 36312	   	196.87	紫3伤害2易伤1攻速	1额外掉落28低血量敌人3核4敌人爆炸58易伤68a伤害7双倍矿8序列升级9攻速
25	36522 36312	   	196.87	紫3伤害2易伤1攻速	1额外掉落28敌人爆炸3核4低血量敌人58易伤68a伤害7双倍矿8序列升级9攻速
26	36532 36312	   	196.87	紫3伤害2易伤1攻速	1额外掉落28敌人爆炸3核4最后敌人58易伤68a伤害7双倍矿8序列升级9攻速
27	31514 35112	 * 	196.82	紫1基础对甲1易伤1伤害1全技能	1额外掉落2低血量敌人3核49时间5全技能6雷电7伤害8易伤a基础对甲
28	31514 35132	   	196.82	紫1基础对甲1易伤1伤害1全技能	1额外掉落29低血量敌人3核4时间5全技能6雷电7伤害8易伤a基础对甲
29	31536 13531	   	196.78	紫3伤害1易伤1攻速1基地爆炸	1额外掉落25低血量敌人3核458伤害5序列升级6基地爆炸7时间9易伤a攻速
30	31536 15231	   	196.78	紫3伤害1易伤1攻速1基地爆炸	1额外掉落259低血量敌人3核459伤害59序列升级6基地爆炸7易伤89挖尘a攻速
31	31531 23356	   	196.34	紫2基地爆炸1攻速1伤害1基础对冰1易伤	1额外掉落2低血量敌人3核4伤害5敌人爆炸6攻速7基础对冰89基地爆炸a易伤
32	31533 23346	   	196.34	紫2基地爆炸1攻速1伤害1基础对冰1易伤	1额外掉落29低血量敌人3核4伤害58基地爆炸6攻速7基础对冰a易伤
33	31533 23356	   	196.34	紫2基地爆炸1攻速1伤害1基础对冰1易伤	19额外掉落2低血量敌人3核4伤害58基地爆炸6攻速7基础对冰a易伤
34	31533 23315	   	196.24	紫2基地爆炸1攻速1伤害1基础对冰1易伤	1额外掉落2低血量敌人3核4伤害58基地爆炸6攻速7基础对冰9掉矿a易伤
35	31533 23336	   	196.24	紫2基地爆炸1攻速1伤害1基础对冰1易伤	1额外掉落2低血量敌人3核4伤害58基地爆炸6攻速7基础对冰9磁铁减费a易伤
36	31531 23361	 * 	195.98	紫2攻速1伤害1基础对冰1基地爆炸1暴击	1额外掉落2低血量敌人3核4伤害5敌人爆炸6a攻速7基础对冰8基地爆炸9暴击
