0	Index      	 *	Score 	Summary	Detail	
1	14326 23122	 * 	291.55	橙橙2等级1易伤1暴击	1赏金塔2烈焰减费3全技能4暴击58等级6随机技能7a核9易伤
2	35256 33222	 * 	287.84	橙橙3易伤3时间1卖塔	127时间357易伤47雷电6赏金塔7序列升级8a核9卖塔
3	53552 23212	 * 	286.23	橙橙2伤害1易伤1等级	18伤害2敌人爆炸3金币生成4雷电5额外掉落6等级79核a易伤
4	14326 23322	   	283.99	橙橙1易伤1等级2随机技能1暴击	1赏金塔2烈焰减费3全技能4暴击5等级68随机技能7a核9易伤
5	53552 23211	 * 	281.31	橙橙3伤害2等级	18a伤害2a敌人爆炸3金币生成4雷电5额外掉落6a等级79核a序列升级
6	53626 12123	 * 	280.94	橙3易伤3伤害2攻速	159伤害2敌人爆炸39攻速459易伤59序列升级6核7双倍秒伤8全技能a时间
7	51626 12123	   	280.84	橙3易伤3伤害2攻速	159伤害2挖尘39攻速459易伤59序列升级6核7双倍秒伤8全技能a时间
8	35124 61115	 * 	280.47	紫橙2易伤1等级1矿等2时间	12时间3加一4a易伤56核7矿等8挖尘9等级
9	35124 61315	   	280.47	紫橙2易伤1等级1矿等2时间	12时间3加一4a易伤56核7矿等8基地爆炸9等级
10	14326 23422	   	277.37	橙橙1易伤1等级1暴击	1赏金塔2烈焰减费3全技能4暴击5等级6随机技能7a核8立即金币9易伤
11	35124 61644	 * 	276.68	紫橙2矿等1易伤1等级2时间	12时间3加一4易伤56核79矿等8最后敌人a等级
12	35124 61117	   	276.58	紫橙2矿等1易伤1等级2时间	12时间3加一4易伤56核7a矿等8挖尘9等级
13	35124 61317	   	276.58	紫橙2矿等1易伤1等级2时间	12时间3加一4易伤56核7a矿等8基地爆炸9等级
14	23131 33445	 * 	274.52	橙3易伤2等级1矿等1暴击	1挖尘29敌人爆炸3暴击4时间59a易伤6矿等7核89等级9序列升级
15	53626 11122	 * 	274.39	橙3易伤2伤害1等级1攻速	15伤害2敌人爆炸3攻速458易伤5序列升级6核7时间9赏金塔a等级
16	51626 11122	   	274.29	橙3易伤2伤害1等级1攻速	15伤害2挖尘3攻速458易伤5序列升级6核7时间9赏金塔a等级
17	53626 11112	   	274.29	橙3易伤2伤害1等级1攻速	15伤害2敌人爆炸3攻速458易伤5序列升级6核7时间9基地爆炸a等级
18	51626 11112	   	274.19	橙3易伤2伤害1等级1攻速	15伤害2挖尘3攻速458易伤5序列升级6核7时间9基地爆炸a等级
19	53623 12124	 * 	272.85	橙2易伤3攻速2伤害1矿等	19伤害2敌人爆炸359攻速49易伤6核7双倍秒伤8全技能9序列升级a矿等
20	51623 12124	   	272.75	橙2易伤3攻速2伤害1矿等	19伤害2挖尘359攻速49易伤6核7双倍秒伤8全技能9序列升级a矿等
21	53626 12121	   	272.64	橙3易伤3伤害2攻速	159伤害2敌人爆炸39攻速459易伤59序列升级6核7双倍秒伤8全技能a最后敌人
22	51626 12121	   	272.54	橙3易伤3伤害2攻速	159伤害2挖尘39攻速459易伤59序列升级6核7双倍秒伤8全技能a最后敌人
23	53626 12122	   	272.54	橙3易伤3伤害2攻速	159伤害2敌人爆炸39攻速459易伤59序列升级6核7双倍秒伤8全技能a烈焰减费
24	51626 12122	   	272.44	橙3易伤3伤害2攻速	159伤害2挖尘39攻速459易伤59序列升级6核7双倍秒伤8全技能a烈焰减费
25	23131 33554	 * 	271.48	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a随机技能
26	15124 23522	   	270.33	橙橙1易伤1等级1暴击	1赏金塔2易伤3暴击4立即金币5全技能6暴雪减费7a核8等级9加一
27	62124 23522	   	270.33	橙橙1易伤1等级1暴击	1暴击2易伤3赏金塔4立即金币5全技能6暴雪减费7a核8等级9加一
28	53623 12126	 * 	270.11	橙3易伤3攻速2伤害	19伤害2敌人爆炸359攻速49a易伤6核7双倍秒伤8全技能9序列升级
29	51623 12126	   	270.01	橙3易伤3攻速2伤害	19伤害2挖尘359攻速49a易伤6核7双倍秒伤8全技能9序列升级
30	35124 61614	   	269.39	紫橙1易伤1等级1矿等1技能2时间	12时间3加一4易伤56核7矿等8最后敌人9等级a技能
31	14315 23142	 * 	268.63	橙橙1等级1矿等1暴击	1赏金塔2烈焰减费3全技能4矿等5暴击6随机技能7a核8等级9金币生成
32	53552 23312	   	268.54	橙橙1易伤1等级1伤害	1伤害2敌人爆炸3金币生成4雷电5额外掉落6等级79核8火球减费a易伤
33	43256 33222	 * 	267.98	橙橙3易伤1卖塔	127敌人爆炸357易伤47雷电6赏金塔7序列升级8a核9卖塔
34	43124 61115	   	265.62	紫橙2易伤1等级1矿等	12敌人爆炸3加一4a易伤56核7矿等8挖尘9等级
35	43124 61315	   	265.62	紫橙2易伤1等级1矿等	12敌人爆炸3加一4a易伤56核7矿等8基地爆炸9等级
36	42312 23312	   	265.37	橙橙1易伤1等级1技能	1敌人爆炸2雷电3技能4金币生成5额外掉落6等级79核8暴雪减费a易伤
37	23131 33551	   	264.55	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a技能点
38	23131 33552	   	264.55	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a金币生成
39	23131 33553	   	264.45	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a基地爆炸
40	23131 33555	   	264.45	橙橙1易伤1矿等1暴击1挖怪	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a挖怪
41	23131 33556	   	264.45	橙橙1易伤1矿等1暴击	1挖尘2敌人爆炸3暴击4时间5易伤6矿等79核8最后敌人a加一
42	53626 12332	   	264.13	橙3易伤3伤害2攻速	159伤害2敌人爆炸38攻速45a易伤5序列升级6核7双倍秒伤
43	51626 12332	   	264.03	橙3易伤3伤害2攻速	159伤害2挖尘38攻速45a易伤5序列升级6核7双倍秒伤
44	66226 13311	   	263.74	橙3易伤2等级1技能1暴击	1暴击2随机技能348易伤57等级6技能9核a随机矿
45	66226 13312	   	263.64	橙3易伤2等级1技能1暴击	1暴击2随机技能348易伤57等级6技能9核a基地爆炸
46	66226 13313	   	263.64	橙3易伤2等级1技能1暴击	1暴击2随机技能348易伤57等级6技能9核a挖尘
47	35124 61263	   	262.13	紫橙2易伤1矿等2时间1暴击	12时间3加一49易伤56核7矿等8平台a暴击
