0	Index      	 *	Score 	Summary	Detail	
1	36112 12543	 * 	281.20	橙橙3等级2攻速2随机技能1核弹	17随机技能2核弹3掉矿457等级67攻速7序列升级8策反9a核
2	15323 32326	 * 	267.48	橙橙1易伤1等级1暴击	1基地爆炸2赏金塔3激光对绿4时间5等级6a核7易伤8暴击9额外掉落
3	15323 36216	   	267.48	橙橙1易伤1等级1暴击	1基地爆炸2赏金塔3激光对绿4时间5等级6a核7额外掉落8暴击9易伤
4	15523 32326	   	267.48	橙橙1易伤1等级1暴击	1基地爆炸2赏金塔3多重对愈4时间5等级6a核7易伤8暴击9额外掉落
5	43431 33343	   	266.11	橙橙1易伤1等级1暴击	1暴击2易伤3平台4掉矿5敌人爆炸6等级7随机技能8暴雪减费9a核
6	43432 33343	   	266.11	橙橙1易伤1等级1暴击	1暴击2易伤3平台4掉矿5最后敌人6等级7随机技能8暴雪减费9a核
7	32615 23333	 * 	266.10	橙橙2矿等2随机技能	18随机技能2金币生成3时间47矿等5全技能6雷电9a核
8	31135 52412	 * 	265.73	橙橙1易伤1伤害1技能	1随机技能2激光对愈3时间4最后敌人5技能6易伤7雷电8伤害9a核
9	52222 15215	 * 	265.58	橙2易伤1等级1矿等1伤害1技能1攻速	1毒气减费2伤害3矿等4攻速59易伤6等级7赏金塔8核a技能
10	34332 54112	   	265.09	橙橙1易伤1伤害1攻速	1随机技能2雷电3攻速4敌人爆炸5时间6伤害7易伤8基础对愈9a核
11	52222 14315	   	263.94	橙2易伤1等级1矿等1伤害1攻速	1毒气减费2伤害3矿等4攻速59易伤6等级7全技能8随机技能a核
12	63161 14211	 * 	262.98	紫橙2矿等1易伤1等级	1掉矿26矿等3赏金塔4金币生成5a核7等级8低血量敌人9易伤
13	63261 14211	   	262.98	紫橙2矿等1易伤1等级	1掉矿26矿等3赏金邻近4金币生成5a核7等级8低血量敌人9易伤
14	12131 14111	   	262.88	紫橙2矿等1易伤1等级	1基地爆炸2烈焰减费3赏金塔46矿等5a核7等级8敌人爆炸9易伤
15	12131 14211	   	262.88	紫橙2矿等1易伤1等级	1基地爆炸2烈焰减费3赏金塔46矿等5a核7等级8低血量敌人9易伤
16	12231 14111	   	262.88	紫橙2矿等1易伤1等级	1基地爆炸2烈焰减费3赏金邻近46矿等5a核7等级8敌人爆炸9易伤
17	12231 14211	   	262.88	紫橙2矿等1易伤1等级	1基地爆炸2烈焰减费3赏金邻近46矿等5a核7等级8低血量敌人9易伤
18	15131 14111	   	262.88	紫橙2矿等1易伤1等级	13基地爆炸2赏金塔46矿等5a核7等级8敌人爆炸9易伤
19	15131 14211	   	262.88	紫橙2矿等1易伤1等级	13基地爆炸2赏金塔46矿等5a核7等级8低血量敌人9易伤
20	63161 14111	   	262.88	紫橙2矿等1易伤1等级	1掉矿26矿等3赏金塔4金币生成5a核7等级8基地爆炸9易伤
21	63261 14111	   	262.88	紫橙2矿等1易伤1等级	1掉矿26矿等3赏金邻近4金币生成5a核7等级8基地爆炸9易伤
22	52122 63623	 * 	262.59	橙2矿等1易伤1等级1伤害1技能1暴击	1毒气减费2伤害3易伤4雷电5暴击68矿等7等级9技能a核
23	52222 15213	   	262.34	橙2易伤1等级1矿等1伤害1攻速1暴击	1毒气减费2伤害3矿等4攻速59易伤6等级7赏金塔8核a暴击
24	32615 23233	   	259.48	橙橙2矿等	1随机技能28金币生成3时间47矿等5全技能6雷电9a核
25	52113 62134	   	258.69	橙橙1易伤1伤害1技能	1毒气减费2伤害3易伤4风暴减费5技能6随机矿7a核8全技能9金币生成
26	23266 41212	 * 	258.37	橙橙1易伤1矿等1攻速	13金币生成2赏金邻近4矿等5赏金塔6a核7易伤8攻速9毒液对黄
27	44213 63133	 * 	257.37	橙2等级1易伤1矿等1伤害2暴击1技能	15暴击2雷电3技能4易伤6矿等79等级8伤害a核
28	34331 54112	   	256.68	橙橙1易伤1伤害1攻速	1随机技能2雷电3攻速4敌人爆炸5基地爆炸6伤害7易伤8基础对愈9a核
29	52222 26224	 * 	256.06	橙2易伤2矿等1伤害1攻速1暴击	1毒气减费2伤害37矿等4攻速5a易伤6敌人爆炸8暴击9核
30	52222 15214	   	255.63	橙2易伤1等级1矿等1伤害1攻速	1毒气减费2伤害3矿等4攻速59易伤6等级7赏金塔8核a随机技能
31	43125 14363	   	255.57	橙橙1易伤1矿等1暴击	1暴击2易伤3寒冰对黄4加农对甲5加一6a核7矿等8敌人爆炸9赏金邻近
32	36112 24343	 * 	254.50	橙橙2等级1伤害1核弹	1随机技能2核弹3掉矿45等级6双倍秒伤7策反8伤害9a核
33	13632 51611	   	253.83	橙橙1易伤1等级	1基地爆炸2敌人爆炸3时间4等级5低血量敌人6技能点7挖尘8a核9易伤
34	33412 23224	   	252.56	橙2易伤1等级1矿等1技能1攻速	1随机技能2随机矿35易伤4矿等6技能7等级8赏金塔9核a攻速
35	33416 36211	 * 	251.79	橙3矿等2易伤2随机技能	17随机技能2随机矿37易伤467矿等5平台7序列升级8核9散射对甲a全技能
36	33416 36233	   	251.79	橙3矿等2易伤2随机技能	17随机技能2随机矿37易伤467矿等5平台7序列升级8核9低血量敌人a时间
37	33416 36223	   	251.69	橙3矿等2易伤2随机技能	17随机技能2随机矿37易伤467矿等5平台7序列升级8核9挖青a时间
