0	Index      	 *	Score 	Summary	Detail	
1	32663 51221	 * 	285.72	橙橙2易伤1伤害1攻速	1寒冰对冰2a易伤3攻速4双倍秒伤5时间6加一79核8伤害
2	41142 13613	 * 	283.05	紫橙3易伤2攻速1伤害1卖塔	19核2赏金塔357易伤4卖塔6伤害8a攻速
3	42362 13313	 * 	279.61	紫橙4易伤1攻速1平台	19核2348易伤5赏金塔6平台7立即金币a攻速
4	42362 12253	 * 	274.92	紫橙3易伤1伤害1平台1卖塔	19核234易伤5赏金塔6平台7卖塔8时间a伤害
5	42362 13314	   	274.26	紫橙4易伤1平台	19核2348易伤5赏金塔6平台7立即金币a时间
6	36223 43143	 * 	273.21	橙橙2伤害1易伤1平台	1寒冰对冰2a伤害3双倍秒伤4易伤5时间69核7喷火对愈8平台
7	36223 51621	   	271.82	橙橙2易伤1伤害1策反	1寒冰对冰2伤害3双倍秒伤4a易伤5时间6加一79核8策反
8	41142 13611	 * 	270.60	紫橙3易伤1伤害1攻速1卖塔	19核2赏金塔357易伤4卖塔6伤害8攻速a雷电
9	41142 13612	 * 	270.60	紫橙3易伤1伤害1攻速1卖塔	19核2赏金塔357易伤4卖塔6伤害8攻速a最后敌人
10	46133 22521	 * 	270.56	紫橙2易伤1伤害1攻速1暴击	18核2散射对甲3暴击4伤害5技能69易伤7时间a攻速
11	42316 26122	 * 	267.36	紫橙2易伤2矿等1全技能1平台	19核23易伤4额外掉落5平台6加农对毒78矿等a全技能
12	42362 12353	 * 	266.51	紫橙3易伤1伤害1平台1卖塔	19核234易伤5赏金塔6平台7卖塔8挖青a伤害
13	42362 13311	   	265.96	紫橙4易伤1平台	19核2348易伤5赏金塔6平台7立即金币a雷电
14	42362 13312	   	265.96	紫橙4易伤1平台	19核2348易伤5赏金塔6平台7立即金币a最后敌人
15	42362 13315	   	265.96	紫橙4易伤1平台	19核2348易伤5赏金塔6平台7立即金币a敌人爆炸
16	42362 13316	   	265.86	紫橙4易伤1平台	19核2348易伤5赏金塔6平台7立即金币a双倍秒伤
17	42363 12413	   	264.19	紫橙3易伤1攻速1暴击1策反	19核234易伤5策反6赏金邻近7技能8暴击a攻速
18	32243 62153	 * 	263.86	橙橙2易伤3时间	1寒冰对冰25易伤3赏金邻近457时间5序列升级6a核8等级9低血量敌人
19	32343 62153	   	263.86	橙橙2易伤3时间	1寒冰对冰25易伤3赏金塔457时间5序列升级6a核8等级9低血量敌人
20	32243 62253	   	263.76	橙橙2易伤3时间	1寒冰对冰25易伤3赏金邻近457时间5序列升级6a核8挖青9随机矿
21	32243 62353	   	263.76	橙橙2易伤3时间	1寒冰对冰25易伤3赏金邻近457时间5序列升级6a核8掉矿9低血量敌人
22	32243 62363	   	263.76	橙橙2易伤3时间	1寒冰对冰25易伤3赏金邻近457时间5序列升级6a核8掉矿9激光对冰
23	32343 62253	   	263.76	橙橙2易伤3时间	1寒冰对冰25易伤3赏金塔457时间5序列升级6a核8挖青9随机矿
24	32343 62353	   	263.76	橙橙2易伤3时间	1寒冰对冰25易伤3赏金塔457时间5序列升级6a核8掉矿9低血量敌人
25	32343 62363	   	263.76	橙橙2易伤3时间	1寒冰对冰25易伤3赏金塔457时间5序列升级6a核8掉矿9激光对冰
26	42321 61613	   	262.15	紫橙2易伤1伤害1矿等1平台	19核23易伤4最后敌人5等级6平台7挖尘8矿等a伤害
27	42322 62212	   	261.85	紫橙3易伤2时间1平台	19核23a易伤4最后敌人58a基地爆炸6a时间7平台a序列升级
28	23235 32552	   	260.82	橙橙1易伤1伤害1暴击1全技能1策反	1赏金塔2策反3全技能4暴击5赏金邻近6伤害7敌人爆炸89核a易伤
29	23235 61252	   	260.82	橙橙1易伤1伤害1暴击1全技能1策反	1赏金塔2策反3全技能4暴击5赏金邻近6基地爆炸7伤害89核a易伤
30	23235 21252	   	260.72	橙橙1易伤1伤害1暴击1全技能1策反	1赏金塔2策反3全技能4暴击5赏金邻近6挖尘7伤害89核a易伤
31	23235 31252	   	260.72	橙橙1易伤1伤害1暴击1全技能1策反	1赏金塔2策反3全技能4暴击5赏金邻近6伤害7挖青89核a易伤
32	23235 35252	   	260.72	橙橙1易伤1伤害1暴击1全技能1策反	1赏金塔2策反3全技能4暴击5赏金邻近6伤害7挖尘89核a易伤
33	32663 51222	   	259.51	橙橙1易伤1伤害1攻速	1寒冰对冰2易伤3攻速4双倍秒伤5时间6加一79核8伤害a等级
34	32663 51223	   	259.51	橙橙1易伤1伤害1攻速	1寒冰对冰2易伤3攻速4双倍秒伤5时间6加一79核8伤害a低血量敌人
35	24254 12148	   	259.41	橙橙1易伤1伤害1攻速	1赏金塔2加一3挖尘4掉矿5伤害6攻速7时间89核a易伤
36	32663 51224	   	259.41	橙橙1易伤1伤害1攻速	1寒冰对冰2易伤3攻速4双倍秒伤5时间6加一79核8伤害a散射对甲
37	42316 26121	   	257.60	紫橙2易伤2矿等1平台	19核23易伤4额外掉落5平台6加农对毒78矿等a双倍秒伤
38	42316 26123	   	257.60	紫橙2易伤2矿等1平台	19核23易伤4额外掉落5平台6加农对毒78矿等a技能点
39	42322 53512	 * 	257.19	紫橙3易伤2暴击	19核23a易伤4a最后敌人5基地爆炸6加一7低血量敌人8a暴击a序列升级
40	42332 53512	   	256.99	紫橙3易伤2暴击	19核23a易伤4a挖尘5基地爆炸6加一7低血量敌人8a暴击a序列升级
41	46133 22522	   	256.81	紫橙2易伤1伤害1暴击1挖怪	18核2散射对甲3暴击4伤害5技能69易伤7时间a挖怪
42	46133 22523	   	256.81	紫橙2易伤1伤害1暴击	18核2散射对甲3暴击4伤害5技能69易伤7时间a机枪对壮
43	46133 22533	   	256.81	紫橙2易伤1伤害1暴击	18核2散射对甲3暴击4伤害5技能6a易伤7时间9挖尘
44	13234 11123	   	255.72	橙橙1易伤1伤害1全技能	1时间2赏金塔3等级4赏金邻近5易伤6伤害7全技能8低血量敌人9a核
45	13234 11223	   	255.72	橙橙1易伤1伤害1全技能	1时间2赏金塔3等级4赏金邻近5易伤6伤害7全技能8基地爆炸9a核
46	22234 11123	   	255.72	橙橙1易伤1伤害1全技能	1赏金塔2时间3等级4赏金邻近5易伤6伤害7全技能8低血量敌人9a核
47	22234 11223	   	255.72	橙橙1易伤1伤害1全技能	1赏金塔2时间3等级4赏金邻近5易伤6伤害7全技能8基地爆炸9a核
48	63234 11323	   	255.72	橙橙1易伤1伤害1全技能	1基地爆炸2赏金塔3等级4赏金邻近5易伤6伤害7全技能8时间9a核
