0	Index      	 *	Score 	Summary	Detail	
1	23323 65333	 * 	290.16	橙橙2易伤2攻速1伤害	1低血量敌人24攻速34易伤4序列升级5金币生成69核78敌人爆炸a伤害
2	23323 65332	   	278.41	橙橙2易伤2攻速	1低血量敌人24攻速34易伤4序列升级5金币生成69核78敌人爆炸a时间
3	23363 65333	   	277.61	橙橙2易伤1伤害1攻速	1低血量敌人2攻速34易伤5金币生成69核78敌人爆炸a伤害
4	12121 32341	 * 	274.34	橙橙3易伤	1赏金塔2时间356易伤46最后敌人6序列升级7技能8基础对甲9a核
5	12132 32341	   	274.34	橙橙3易伤	1赏金塔2时间346易伤56基地爆炸6序列升级7技能8基础对甲9a核
6	12651 32341	   	274.34	橙橙3易伤	1赏金塔2时间36最后敌人456易伤6序列升级7技能8基础对甲9a核
7	12121 12341	   	274.24	橙橙3易伤	1赏金塔2时间356易伤4最后敌人7技能8基础对甲9a核
8	12132 12341	   	274.24	橙橙3易伤	1赏金塔2时间346易伤5基地爆炸7技能8基础对甲9a核
9	12133 13341	   	274.24	橙橙3易伤	1赏金塔2时间345易伤6技能7基地爆炸8基础对甲9a核
10	12651 12341	   	274.24	橙橙3易伤	1赏金塔2时间3最后敌人456易伤7技能8基础对甲9a核
11	12133 15341	   	274.14	橙橙3易伤	1赏金塔2时间345易伤6技能7挖青8基础对甲9a核
12	12133 42341	   	274.14	橙橙3易伤	1赏金塔2时间345易伤6挖尘7技能8基础对甲9a核
13	12161 12341	   	274.14	橙橙3易伤	1赏金塔2时间356易伤4挖尘7技能8基础对甲9a核
14	12161 32341	   	274.14	橙橙3易伤	1赏金塔2时间356易伤46挖尘6序列升级7技能8基础对甲9a核
15	12133 53341	   	274.00	橙橙3易伤1策反	1赏金塔2时间345易伤6策反7基地爆炸8基础对甲9a核
16	12133 55341	   	273.90	橙橙3易伤1策反	1赏金塔2时间345易伤6策反7挖青8基础对甲9a核
17	34333 12126	 * 	272.31	橙4易伤3伤害3策反	18a策反2赏金塔3时间48a伤害568a易伤7核8a序列升级9双倍矿
18	34333 12166	   	272.31	橙4易伤3伤害3策反	18a策反2赏金塔3时间48a伤害568a易伤7核8a序列升级9立即金币
19	12133 61165	 * 	271.45	橙5易伤2伤害3时间	1赏金塔269时间34579易伤89伤害9序列升级a核
20	14252 84142	   	270.89	橙橙2易伤1矿等1全技能	1赏金塔2加农对壮3矿等4加一5全技能67核8立即金币9a易伤
21	15152 84142	   	270.89	橙橙2易伤1矿等1全技能	1赏金塔2矿等3加农对甲4加一5全技能67核8立即金币9a易伤
22	23323 65331	   	270.10	橙橙2易伤2攻速	1低血量敌人24攻速34易伤4序列升级5金币生成69核78敌人爆炸a额外掉落
23	23323 65335	   	270.10	橙橙2易伤2攻速	1低血量敌人24攻速34易伤4序列升级5金币生成69核78敌人爆炸a立即金币
24	23323 65336	   	270.00	橙橙2易伤2攻速1卖塔	1低血量敌人24攻速34易伤4序列升级5金币生成69核78敌人爆炸a卖塔
25	15313 12341	   	269.73	橙橙2易伤1矿等	1赏金塔2矿等3时间4金币生成56易伤7技能8寒冰对冰9a核
26	15323 16341	   	269.49	橙橙2易伤1矿等1策反	1赏金塔2矿等3时间4策反56易伤7金币生成8寒冰对冰9a核
27	15323 11341	   	269.29	橙橙2易伤1矿等1策反	1赏金塔2矿等3时间4策反56易伤7掉矿8狙击对毒9a核
28	34333 32146	   	268.57	橙3易伤2伤害1矿等3策反1攻速	168策反2赏金塔3时间48伤害568易伤68序列升级7核9攻速a矿等
29	23363 65332	   	265.85	橙橙2易伤1攻速	1低血量敌人2攻速34易伤5金币生成69核78敌人爆炸a时间
30	14252 84141	   	264.75	橙橙1易伤1伤害1矿等1全技能	1赏金塔2加农对壮3矿等4加一5全技能67核8立即金币9易伤a伤害
31	15152 84141	   	264.75	橙橙1易伤1伤害1矿等1全技能	1赏金塔2矿等3加农对甲4加一5全技能67核8立即金币9易伤a伤害
32	34633 12126	   	263.90	橙4易伤3伤害3策反	18a策反2赏金塔3挖尘48a伤害568a易伤7核8a序列升级9双倍矿
33	15623 11341	   	260.88	橙橙2易伤1矿等1策反	1赏金塔2矿等3挖尘4策反56易伤7掉矿8狙击对毒9a核
