0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11114 33535	4	 * 	285.59	橙5易伤2伤害1攻速1全技能	1a低血量敌人2攻速3479a易伤5全技能6a伤害8核a序列升级
2	25222 33422	4	 * 	276.12	橙4易伤2伤害2时间	1随机矿29伤害3459易伤6额外掉落7赏金邻近89时间9序列升级a核
3	51112 72724	8	   	272.34	橙4易伤2伤害1时间1攻速	18挖尘2攻速3468易伤5加一78伤害8序列升级9核a时间
4	11124 33535	3	   	266.05	橙4易伤2伤害1攻速1全技能	14a低血量敌人2攻速379a易伤5全技能6a伤害8核a序列升级
5	11134 33535	3	   	266.05	橙4易伤2伤害1攻速1全技能	1a低血量敌人2攻速379a易伤4立即金币5全技能6a伤害8核a序列升级
6	51112 72721	8	   	265.75	橙4易伤2伤害1攻速1全技能	18挖尘2攻速3468易伤5加一78伤害8序列升级9核a全技能
7	21113 15611	3	 * 	265.25	橙4易伤2伤害3雷电	12随机矿359雷电4579易伤59序列升级69伤害8加一a核
8	23113 15611	3	   	265.25	橙4易伤2伤害3雷电	1随机矿2双倍矿359雷电4579易伤59序列升级69伤害8加一a核
9	12521 15812	10	   	264.63	橙5易伤2伤害	1低血量敌人23468易伤5加一7a伤害9核
10	12522 13614	7	   	263.39	橙5易伤1伤害1时间	1低血量敌人23469易伤5时间7最后敌人8核a伤害
11	12522 21614	5	   	263.39	橙5易伤1伤害1时间	1低血量敌人23479易伤5时间6敌人爆炸8核a伤害
12	12523 23151	10	   	263.35	橙4易伤1等级1时间1暴击1全技能	1低血量敌人2348易伤5暴击6等级7全技能9核a时间
13	12523 23154	9	   	263.35	橙4易伤1等级1时间1暴击1全技能	1低血量敌人2348易伤5暴击6等级7全技能9核a时间
14	12521 15813	9	   	263.29	橙5易伤1伤害1时间	1低血量敌人23468易伤5加一7伤害9核a时间
15	36132 13531	1	   	263.24	橙3易伤2伤害2时间1全技能	1a金币生成2立即金币379易伤4全技能5a伤害6a时间8核a序列升级
16	46132 13531	1	   	263.24	橙3易伤2伤害2时间1全技能	1a矿等2立即金币379易伤4全技能5a伤害6a时间8核a序列升级
17	51131 31165	5	   	263.06	橙4易伤1伤害1时间1攻速	1挖尘2攻速3679易伤4雷电5时间8伤害a核
18	12522 35253	4	   	261.44	橙4易伤2伤害1时间	1低血量敌人2345易伤6额外掉落7a伤害8核9时间
19	12532 35253	3	   	261.44	橙4易伤2伤害1时间	1低血量敌人2345易伤6额外掉落7a伤害8核9时间
20	31111 14431	10	 * 	261.04	橙4易伤3伤害	19金币生成2最后敌人3469易伤5随机矿789伤害9序列升级a核
21	31111 14434	9	   	261.04	橙4易伤3伤害	19金币生成2最后敌人3469易伤5随机矿789伤害9序列升级a核
22	41111 14431	10	   	261.04	橙4易伤3伤害	19矿等2最后敌人3469易伤5随机矿789伤害9序列升级a核
23	12523 23153	7	   	260.77	橙3易伤1伤害1等级1时间1暴击1全技能	1低血量敌人234易伤5暴击6等级7全技能8时间9核a伤害
24	11115 51611	5	   	260.70	橙4易伤1等级1时间1攻速1全技能	1低血量敌人2攻速3479易伤5时间6等级8核a全技能
25	12521 15811	10	   	260.69	橙5易伤1伤害1暴击	1低血量敌人23468易伤5加一7伤害9核a暴击
26	12522 14116	7	   	260.10	橙4易伤1伤害1等级1时间	1低血量敌人2346易伤5时间7伤害8最后敌人9等级a核
27	12522 14216	8	   	260.10	橙4易伤1伤害1等级1时间	1低血量敌人2346易伤5时间7伤害8最后敌人9等级a核
28	12522 14216	7	   	260.10	橙4易伤1伤害1等级1时间	1低血量敌人2346易伤5时间7伤害8敌人爆炸9等级a核
29	12522 14116	8	   	260.00	橙4易伤1伤害1时间1等级	1低血量敌人2346易伤5时间7伤害8挖尘9等级a核
30	22563 33143	1	   	259.86	橙4易伤1伤害1等级1时间1卖塔	1随机矿2469易伤3卖塔5时间7等级8核a伤害
31	25234 11611	10	 * 	259.62	橙3易伤3伤害2攻速	1随机矿268伤害378易伤48攻速5立即金币8序列升级9低血量敌人a核
32	25234 11631	10	   	259.62	橙3易伤3伤害2攻速	1随机矿268伤害378易伤48攻速5立即金币8序列升级9最后敌人a核
33	25161 23363	6	 * 	258.86	橙3易伤2伤害2暴击1等级	1随机矿24伤害34暴击4序列升级57a易伤6等级8基地爆炸9核
34	12522 16226	6	   	258.34	橙4易伤2时间1伤害	1低血量敌人2346易伤57时间8核9掉矿a伤害
35	51131 31145	5	   	258.01	橙3易伤2伤害1时间1攻速	1挖尘2攻速367易伤4雷电5时间89伤害a核
36	12522 13616	7	 * 	257.91	橙5易伤2时间	1低血量敌人23469易伤5a时间7最后敌人8核
37	12522 21616	5	   	257.91	橙5易伤2时间	1低血量敌人23479易伤5a时间6敌人爆炸8核
38	12523 12135	7	   	257.40	橙4易伤1伤害1等级1暴击	1低血量敌人2347易伤5暴击6挖尘8核9伤害a等级
39	12523 22512	6	   	257.40	橙4易伤1伤害1等级1暴击	1低血量敌人2348易伤5暴击6等级7赏金邻近9伤害a核
40	52524 32112	3	   	257.30	橙4易伤1伤害1等级1暴击	1挖尘2357易伤4赏金塔6等级8暴击9伤害a核
41	22116 33263	5	   	256.98	橙5易伤1时间1暴击	1随机矿2基地爆炸3467a易伤5暴击8时间9核
42	26116 33263	5	   	256.98	橙5易伤1时间1暴击	1随机矿2敌人爆炸3467a易伤5暴击8时间9核
43	12523 12146	7	   	256.88	橙5易伤1时间1暴击	1低血量敌人23479易伤5暴击6挖尘8核a时间
44	12523 12242	10	   	256.88	橙5易伤1时间1暴击	1低血量敌人23478易伤5暴击6挖尘9核a时间
45	12523 12246	9	   	256.88	橙5易伤1时间1暴击	1低血量敌人23478易伤5暴击6挖尘9核a时间
46	12523 12266	8	   	256.88	橙5易伤1时间1暴击	1低血量敌人23478易伤5暴击6挖尘9核a时间
47	11112 73746	9	   	256.29	橙4易伤2伤害1攻速	18低血量敌人2攻速3468易伤5加一78伤害8序列升级9最后敌人a核
48	11112 73716	9	   	256.19	橙4易伤2伤害1攻速	18低血量敌人2攻速3468易伤5加一78伤害8序列升级9挖尘a核
49	11112 73716	8	   	256.19	橙4易伤2伤害1攻速	18低血量敌人2攻速3468易伤5加一78伤害8序列升级9挖青a核
50	51112 72722	8	   	256.09	橙4易伤2伤害1攻速	18挖尘2攻速3468易伤5加一78伤害8序列升级9核a矿等
51	51112 72723	8	   	256.09	橙4易伤2伤害1攻速	18挖尘2攻速3468易伤5加一78伤害8序列升级9核a金币生成
