0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42222 42313	4	 * 	309.09	橙5易伤3时间2伤害	13478易伤23金币生成37序列升级57伤害679时间a核
2	61226 32612	4	 * 	303.30	橙4易伤3伤害3暴击1等级	138伤害2348易伤38序列升级578暴击6赏金邻近9等级a核
3	61222 21235	5	 * 	302.98	橙4易伤3伤害2时间1攻速	13a伤害234a易伤3a序列升级5平台6攻速7矿等8a时间9核
4	61222 26235	5	   	302.88	橙4易伤3伤害2时间1攻速	13a伤害234a易伤3a序列升级5平台6攻速7掉矿8a时间9核
5	61222 32416	9	   	301.95	橙4易伤3伤害1等级1暴击1攻速	136伤害2346易伤36序列升级5平台7暴击8攻速9等级a核
6	61222 32643	7	 * 	300.55	橙5易伤3伤害2暴击	136伤害2346a易伤36序列升级5平台78暴击9核
7	61222 31616	10	   	296.83	橙5易伤3伤害1等级	136伤害23467易伤36序列升级5平台8等级9基地爆炸a核
8	61222 31626	10	   	296.83	橙5易伤3伤害1等级	136伤害23467易伤36序列升级5平台8等级9最后敌人a核
9	61222 31366	10	   	296.73	橙5易伤3伤害1时间	136伤害23467易伤36序列升级5平台8掉矿9时间a核
10	61222 31112	8	   	294.23	橙5易伤3伤害1暴击	136伤害23467易伤36序列升级5平台8敌人爆炸9暴击a核
11	61222 31212	8	   	294.23	橙5易伤3伤害1暴击	136伤害23467易伤36序列升级5平台8低血量敌人9暴击a核
12	61222 31512	7	   	294.23	橙5易伤3伤害1暴击	136伤害23467易伤36序列升级5平台8低血量敌人9暴击a核
13	61222 32162	7	   	294.23	橙5易伤3伤害1暴击	136伤害23469易伤36序列升级5平台7暴击8基地爆炸a核
14	61222 32562	8	   	294.23	橙5易伤3伤害1暴击	136伤害23469易伤36序列升级5平台7暴击8最后敌人a核
15	61222 35162	6	   	294.23	橙5易伤3伤害1暴击	136伤害23469易伤36序列升级5平台7暴击8基地爆炸a核
16	61222 32462	7	   	294.13	橙5易伤3伤害1暴击	136伤害23469易伤36序列升级5平台7暴击8挖尘a核
17	61222 32325	9	   	292.66	橙4易伤3伤害1暴击	136伤害2346易伤36序列升级5平台7暴击8全技能9核a雷电
18	61211 43335	8	   	292.11	橙4易伤3伤害2等级1攻速	13a伤害236a易伤3a序列升级4攻速5低血量敌人7a等级8平台9核
19	61213 43335	8	   	292.11	橙4易伤3伤害2等级1攻速	13a伤害236a易伤3a序列升级4攻速5最后敌人7a等级8平台9核
20	61222 31116	10	   	291.59	橙5易伤3伤害1攻速	136伤害23467易伤36序列升级5平台8敌人爆炸9攻速a核
21	61222 31216	10	   	291.59	橙5易伤3伤害1攻速	136伤害23467易伤36序列升级5平台8低血量敌人9攻速a核
22	61222 33562	7	   	290.94	橙4易伤3伤害1时间1暴击	136伤害2346易伤36序列升级5平台7额外掉落8时间9暴击a核
23	61221 23215	10	   	288.79	橙4易伤2伤害1等级1时间1攻速	13伤害2349易伤3序列升级5最后敌人6时间7攻速8等级a核
24	61221 34335	8	   	287.35	橙4易伤3伤害3暴击	138伤害234a易伤38a序列升级58a最后敌人68a暴击7立即金币9核
25	61224 51222	10	   	286.00	橙4易伤2伤害1等级1时间	13伤害2346易伤3序列升级5掉矿7等级8核9时间a雷电
26	61222 32426	8	   	285.70	橙4易伤3伤害1暴击1攻速	136伤害2346易伤36序列升级5平台7暴击8攻速9金币生成a核
27	61222 34622	6	   	285.60	橙4易伤3伤害1时间	136伤害2346易伤36序列升级5平台7策反8雷电9时间a核
28	61222 32316	9	   	284.36	橙4易伤3伤害1暴击	136伤害2346易伤36序列升级5平台7暴击8全技能9策反a核
29	61222 32321	10	   	284.36	橙4易伤3伤害1暴击	136伤害2346易伤36序列升级5平台7暴击8全技能9核a敌人爆炸
30	61222 32321	9	   	284.36	橙4易伤3伤害1暴击	136伤害2346易伤36序列升级5平台7暴击8全技能9核a敌人爆炸
31	61222 32322	10	   	284.36	橙4易伤3伤害1暴击	136伤害2346易伤36序列升级5平台7暴击8全技能9核a低血量敌人
32	61222 32324	10	   	284.36	橙4易伤3伤害1暴击	136伤害2346易伤36序列升级5平台7暴击8全技能9核a基地爆炸
33	61222 32326	9	   	284.36	橙4易伤3伤害1暴击	136伤害2346易伤36序列升级5平台7暴击8全技能9核a策反
34	61222 32322	9	   	284.26	橙4易伤3伤害1暴击	136伤害2346易伤36序列升级5平台7暴击8全技能9核a赏金邻近
35	61222 32323	10	   	284.26	橙4易伤3伤害1暴击	136伤害2346易伤36序列升级5平台7暴击8全技能9核a掉矿
36	61222 32323	9	   	284.26	橙4易伤3伤害1暴击	136伤害2346易伤36序列升级5平台7暴击8全技能9核a赏金塔
37	61222 32326	10	   	284.26	橙4易伤3伤害1暴击	136伤害2346易伤36序列升级5平台7暴击8全技能9核a挖尘
38	61435 33222	9	   	284.24	橙3易伤3时间2伤害2全技能	17伤害257易伤379时间4额外掉落68全技能7序列升级a核
39	43212 66331	2	 * 	283.50	橙3易伤3时间3攻速1暴击	189易伤249敌人爆炸348时间489序列升级5全技能689攻速7核a暴击
40	61221 23141	5	   	283.50	橙4易伤2伤害1等级1暴击	13伤害2349易伤3序列升级5最后敌人6等级7雷电8核a暴击
41	61223 23141	5	   	283.50	橙4易伤2伤害1等级1暴击	13伤害2349易伤3序列升级5低血量敌人6等级7雷电8核a暴击
42	61225 23141	4	   	283.50	橙4易伤2伤害1等级1暴击	13伤害2349易伤3序列升级5低血量敌人6等级7雷电8核a暴击
43	61242 23141	4	   	283.50	橙4易伤2伤害1等级1暴击	13伤害2359易伤3序列升级4低血量敌人6等级7雷电8核a暴击
44	61222 43141	4	   	283.40	橙4易伤2伤害1时间1暴击	13伤害2349易伤3序列升级5掉矿6时间7雷电8核a暴击
45	61221 31212	3	   	282.89	橙3易伤3伤害2时间1暴击	137伤害237易伤37序列升级4赏金塔5平台67时间8最后敌人9暴击a核
46	61221 31512	3	   	282.89	橙3易伤3伤害2时间1暴击	137伤害237易伤37序列升级4赏金塔5平台67时间8敌人爆炸9暴击a核
47	61255 31212	3	   	282.89	橙3易伤3伤害2时间1暴击	137伤害237易伤37序列升级4平台5赏金邻近67时间8最后敌人9暴击a核
48	61122 36125	8	 * 	282.66	橙3易伤3伤害3时间	189伤害28a易伤3基地爆炸4a最后敌人5额外掉落6核78a时间8a序列升级
49	61216 16231	4	 * 	282.26	橙4易伤3伤害2攻速	137伤害239a易伤37序列升级47攻速5赏金邻近67敌人爆炸8核
50	63125 31227	1	   	282.22	橙3易伤3伤害3时间1卖塔	178伤害2基地爆炸3卖塔478易伤5赏金邻近678时间78序列升级9加一a核
51	61216 15231	8	   	282.16	橙4易伤3伤害2攻速	136伤害2379易伤3序列升级48攻速5双倍矿a核
52	61125 31227	1	   	282.12	橙3易伤3伤害3时间1卖塔	178伤害2挖尘3卖塔478易伤5赏金邻近678时间78序列升级9加一a核
53	61242 24434	3	   	281.71	橙3易伤3伤害1等级1时间1攻速	134伤害23a易伤3序列升级5加一6核7时间8攻速9等级
