0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32121 26166	3	 * 	329.86	橙4易伤3伤害3时间1等级	1589易伤2雷电389伤害4基地爆炸6等级789时间89序列升级a核
2	32131 26166	3	   	329.86	橙4易伤3伤害3时间1等级	1489易伤2雷电389伤害5敌人爆炸6等级789时间89序列升级a核
3	32132 16166	3	   	329.86	橙4易伤3伤害3时间1等级	1489易伤2雷电389伤害5等级6敌人爆炸789时间89序列升级a核
4	32111 16166	5	   	313.61	橙4易伤3伤害3时间	1589易伤2雷电389伤害4金币生成6敌人爆炸789时间89序列升级a核
5	32111 36166	6	   	313.61	橙4易伤3伤害3时间	1589易伤2雷电389伤害4金币生成6最后敌人789时间89序列升级a核
6	32121 36166	3	   	313.51	橙4易伤3伤害3时间	1589易伤2雷电389伤害4基地爆炸6掉矿789时间89序列升级a核
7	32131 36166	3	   	313.51	橙4易伤3伤害3时间	1489易伤2雷电389伤害5敌人爆炸6掉矿789时间89序列升级a核
8	32132 11136	4	 * 	303.97	橙5易伤2伤害2时间	15789易伤2雷电36伤害45时间5序列升级a核
9	23346 13326	3	 * 	302.80	橙4易伤3时间3攻速2暴击	17a攻速24策反347时间47a序列升级567a易伤8核9a暴击
10	23335 13326	4	   	302.70	橙4易伤3时间3攻速2暴击	17a攻速2策反357时间467a易伤7a序列升级8核9a暴击
