0	Index      	 *	Score 	Summary	Detail	
1	24212 21624	 * 	277.03	DCR|DCR|2VULN|2DUR|1CDMG	1DUST|2LIT|34VULN|5aDUR|6CDMG|7BEXP|89RCR
2	31623 11166	 * 	277.00	DCR|DCR|1VULN|2MLV|1CDMG|1AART	1RMIN|29MLV|3BEXP|4AART|5VULN|6aRCR|7AAC|8CDMG
3	24212 21621	   	270.48	DCR|DCR|2VULN|1CDMG	1DUST|2LIT|34VULN|5DUR|6CDMG|7BEXP|89RCR|aTBNT
4	24212 21622	   	270.48	DCR|DCR|2VULN|1CDMG	1DUST|2LIT|34VULN|5DUR|6CDMG|7BEXP|89RCR|aBBNT
5	24215 23621	   	270.48	DCR|DCR|2VULN|1CDMG	1DUST|2LIT|34VULN|5LWND|6CDMG|7DUR|89RCR|aTBNT
6	24215 23622	   	270.48	DCR|DCR|2VULN|1CDMG	1DUST|2LIT|34VULN|5LWND|6CDMG|7DUR|89RCR|aBBNT
7	24212 21623	   	270.38	DCR|DCR|2VULN|1CDMG	1DUST|2LIT|34VULN|5DUR|6CDMG|7BEXP|89RCR|aMGNSTR
8	24212 21625	   	270.38	DCR|DCR|2VULN|1CDMG	1DUST|2LIT|34VULN|5DUR|6CDMG|7BEXP|89RCR|aAME
9	24212 21626	   	270.38	DCR|DCR|2VULN|1CDMG	1DUST|2LIT|34VULN|5DUR|6CDMG|7BEXP|89RCR|aMSLTOX
10	24215 23623	   	270.38	DCR|DCR|2VULN|1CDMG	1DUST|2LIT|34VULN|5LWND|6CDMG|7DUR|89RCR|aMGNSTR
11	24215 21621	   	262.18	DCR|DCR|2VULN|1CDMG	1DUST|2LIT|34VULN|5LWND|6CDMG|7BEXP|89RCR|aTBNT
12	24215 21622	   	262.18	DCR|DCR|2VULN|1CDMG	1DUST|2LIT|34VULN|5LWND|6CDMG|7BEXP|89RCR|aBBNT
13	24215 21623	   	262.08	DCR|DCR|2VULN|1CDMG	1DUST|2LIT|34VULN|5LWND|6CDMG|7BEXP|89RCR|aMGNSTR
14	31623 11146	   	261.39	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1RMIN|2MLV|39BEXP|4AART|5VULN|6aRCR|7AAC|8CDMG
15	46113 12161	 * 	258.38	DCR|DCR|1VULN|1DMG|1AART	1BEXP|2DUR|3DMG|4CGEN|5AART|6aRCR|7TSLARM|8MDPS|9VULN
16	31332 25313	 * 	251.01	DCR|3VULN|3MLV|2CDMG	1RMIN|278MLV|3ERES|468VULN|58CDMG|8BPWR|9LWND|aRCR
17	31332 25333	   	251.01	DCR|3VULN|3MLV|2CDMG	1RMIN|278MLV|3ERES|468VULN|58CDMG|8BPWR|9FEWX|aRCR
18	22113 12161	   	249.97	DCR|DCR|1VULN|1DMG|1AART	1DUST|2BEXP|3DMG|4CGEN|5AART|6aRCR|7TSLARM|8MDPS|9VULN
19	22163 35333	 * 	249.35	ACR|DCR|2VULN|1DMG|1AART	1DUST|27BEXP|3DMG|4BBNT|59RCR|6aVULN|8AART
20	24231 23624	   	248.96	DCR|DCR|1VULN|2DUR|1CDMG	1DUST|25LIT|3VULN|4LWND|6CDMG|7aDUR|89RCR
