0	Index      	 *	Score 	Summary	Detail	
1	12422 23166	 * 	277.94	DCR|3VULN|2DMG|2MLV|1CDMG|1AART	159VULN|2CDMG|3AART|4AAC|69MLV|7MDPS|89DMG|9BPWR|aRCR
2	12213 78248	 * 	271.93	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2CDMG|3DUR|4MBVNT|5AART|6AME|7aRCR|8AIRHEA|9DMG
3	16261 15231	 * 	271.64	DCR|DCR|3VULN|1ZMB	125VULN|3ERES|4ZMB|6RCVC|7aRCR|8SPLARM|9TBNT
4	12512 55331	 * 	271.49	DCR|DCR|2VULN|1CDMG|1RPLT|1SELL	17VULN|2CDMG|3MBVNT|4RPLT|5MDPS|6SELL|8aRCR|9CGEN
5	12115 16814	 * 	270.38	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6DMSP|78RCR|aDUR
6	12115 36814	   	270.38	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6RCVC|78RCR|aDUR
7	12117 16814	   	270.38	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6DMSP|78RCR|aDUR
8	12117 36814	   	270.38	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6RCVC|78RCR|aDUR
9	12543 16814	   	270.38	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6DMSP|78RCR|aDUR
10	12543 36814	   	270.38	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6RCVC|78RCR|aDUR
11	12543 46814	   	270.28	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|56DUST|78RCR|aDUR
12	55124 13243	 * 	263.25	DCR|DCR|1VULN|2MLV|1RPLT	1BBNT|2aMLV|3VULN|4MBVNT|5CGEN|69RCR|7RPLT|8TBNT
13	55123 13243	   	263.15	DCR|DCR|1VULN|2MLV|1RPLT	1BBNT|2aMLV|3VULN|4MBVNT|5AME|69RCR|7RPLT|8TBNT
14	55127 13243	   	263.15	DCR|DCR|1VULN|2MLV|1RPLT	1BBNT|2aMLV|3VULN|4MBVNT|5ERES|69RCR|7RPLT|8TBNT
15	53135 24121	   	262.27	DCR|DCR|1VULN|1DMG|1CDMG	1BBNT|2DMG|3VULN|4DUST|5MDPS|6aRCR|7MBVNT|8CDMG|9DUR
16	32163 51331	   	262.18	DCR|DCR|2VULN|1CDMG	1LEGI|2LHND|3BELT|47VULN|5CDMG|6LWND|8FEWX|9aRCR
17	12115 16813	   	262.08	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6DMSP|78RCR|aRMIN
18	12115 16822	   	262.08	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6DMSP|78RCR|9FRZARM
19	12115 36813	   	262.08	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6RCVC|78RCR|aRMIN
20	12115 36822	   	262.08	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6RCVC|78RCR|9FRZARM
21	12117 16813	   	262.08	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6DMSP|78RCR|aRMIN
22	12117 16822	   	262.08	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3FEWX|4MBVNT|5BASICY|6DMSP|78RCR|9FRZARM
23	12117 36813	   	262.08	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5BASICY|6RCVC|78RCR|aRMIN
24	12117 36822	   	262.08	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3FEWX|4MBVNT|5BASICY|6RCVC|78RCR|9FRZARM
25	12543 16813	   	262.08	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6DMSP|78RCR|aRMIN
26	12543 16822	   	262.08	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3MBVNT|4FLTARM|5DUST|6DMSP|78RCR|9FRZARM
27	12543 36813	   	262.08	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3MBVNT|4FLTARM|5DUST|6RCVC|78RCR|aRMIN
28	12543 36822	   	262.08	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3MBVNT|4FLTARM|5DUST|6RCVC|78RCR|9FRZARM
29	16231 53131	   	262.08	DCR|DCR|2VULN|1CDMG	12VULN|3ERES|4BELT|5LHND|6CDMG|7MDPS|8CGEN|9aRCR
30	16234 53131	   	262.08	DCR|DCR|2VULN|1CDMG	12VULN|3ERES|4BELT|5LWND|6CDMG|7MDPS|8CGEN|9aRCR
31	16431 53131	   	262.08	DCR|DCR|2VULN|1CDMG	12VULN|3AME|4BELT|5LHND|6CDMG|7MDPS|8CGEN|9aRCR
32	32163 31131	   	262.08	DCR|DCR|2VULN|1CDMG	1LEGI|2LHND|3BELT|47VULN|5CDMG|6FEWX|8DUST|9aRCR
33	32163 51131	   	262.08	DCR|DCR|2VULN|1CDMG	1LEGI|2LHND|3BELT|47VULN|5CDMG|6LWND|8DUST|9aRCR
34	12115 16811	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6DMSP|78RCR|aERES
35	12115 16812	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6DMSP|78RCR|aSNITOX
36	12115 16831	   	261.98	DCR|DCR|2VULN|1CDMG	1aVULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6DMSP|78RCR|9DUST
37	12115 36811	   	261.98	DCR|DCR|2VULN|1CDMG	19VULN|2CDMG|3FEWX|4MBVNT|5SNIFST|6RCVC|78RCR|aERES
