0	Index      	 *	Score 	Summary	Detail	
1	52333 12424	 * 	299.87	DCR|DCR|2VULN|1DMG|1MLV|1ASPD	1DMG|28VULN|3ASPD|4BBNT|5AAC|69RCR|7TBNT|aMLV
2	52333 11462	   	295.99	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG	1DMG|2aVULN|3ASPD|4BBNT|5AAC|69RCR|7TLV|8CDMG
3	51111 33263	   	295.89	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG	1DMG|2LIT|3CDMG|4BASICY|5ASPD|6LHND|78VULN|9aRCR
4	51141 33263	   	295.89	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG	1DMG|2LIT|3CDMG|4ASPD|5CANTOX|6LHND|78VULN|9aRCR
5	52333 12423	   	290.65	DCR|DCR|2VULN|1DMG|1ASPD	1DMG|28VULN|3ASPD|4BBNT|5AAC|69RCR|7TBNT|aDUR
6	13214 21414	   	289.56	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2CDMG|3MDPS|4DMG|5AART|68RCR|7AIRHEA|9MLV|aDUR
7	12232 55412	   	287.77	DCR|DCR|2VULN|1MLV|1CDMG|1ZMB	15VULN|2DUR|3CDMG|4ERES|6ZMB|7CGEN|8aRCR|9MLV
8	13312 63366	 * 	286.02	DCR|DCR|2VULN|2CDMG|1MLV	15VULN|27CDMG|38LWND|4AME|6MLV|9aRCR
9	13332 63366	   	286.02	DCR|DCR|2VULN|2CDMG|1MLV	15VULN|27CDMG|38LWND|4ERES|6MLV|9aRCR
10	52333 12324	 * 	284.25	DCR|DCR|1VULN|2ASPD|1DMG|1MLV	1DMG|2VULN|38ASPD|4BBNT|5AAC|69RCR|7TBNT|aMLV
11	52333 12421	   	282.34	DCR|DCR|2VULN|1DMG|1ASPD	1DMG|28VULN|3ASPD|4BBNT|5AAC|69RCR|7TBNT|aFEWX
12	52333 12425	   	282.34	DCR|DCR|2VULN|1DMG|1ASPD	1DMG|28VULN|3ASPD|4BBNT|5AAC|69RCR|7TBNT|aTLV
13	15211 14235	   	282.34	DCR|DCR|2VULN|1DMG|1ASPD	13VULN|2ASPD|4DMG|5CGEN|6BELT|7FEWX|8aRCR|9LIT
14	15211 16135	   	282.34	DCR|DCR|2VULN|1DMG|1ASPD	13VULN|2ASPD|4DMG|5CGEN|6BELT|7LIT|8aRCR|9BEXP
15	52333 12422	   	282.24	DCR|DCR|2VULN|1DMG|1ASPD	1DMG|28VULN|3ASPD|4BBNT|5AAC|69RCR|7TBNT|aMBVNT
16	52333 12426	   	282.24	DCR|DCR|2VULN|1DMG|1ASPD	1DMG|28VULN|3ASPD|4BBNT|5AAC|69RCR|7TBNT|aDUST
17	43112 33263	   	282.00	DCR|DCR|2VULN|1DMG|1ASPD|1SELL	1LIT|2LHND|3SNITOX|48VULN|5ASPD|6DMG|7SELL|9aRCR
18	13214 21411	   	281.26	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2CDMG|3MDPS|4DMG|5AART|68RCR|7AIRHEA|9MLV|aFEWX
19	13214 21412	   	281.26	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2CDMG|3MDPS|4DMG|5AART|68RCR|7AIRHEA|9MLV|aTLV
20	13214 21413	   	281.26	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2CDMG|3MDPS|4DMG|5AART|68RCR|7AIRHEA|9MLV|aBEXP
21	13214 21415	   	281.26	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2CDMG|3MDPS|4DMG|5AART|68RCR|7AIRHEA|9MLV|aTBNT
22	13214 21416	   	281.26	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1VULN|2CDMG|3MDPS|4DMG|5AART|68RCR|7AIRHEA|9MLV|aDMSP
23	13312 61366	   	279.71	DCR|DCR|2VULN|1MLV|1CDMG	15VULN|2CDMG|38LWND|4AME|6MLV|7RCVC|9aRCR
24	13332 61366	   	279.71	DCR|DCR|2VULN|1MLV|1CDMG	15VULN|2CDMG|38LWND|4ERES|6MLV|7RCVC|9aRCR
25	13312 62366	   	279.61	DCR|DCR|2VULN|1MLV|1CDMG	15VULN|2CDMG|38LWND|4AME|6MLV|7AELOIC|9aRCR
26	13332 62366	   	279.61	DCR|DCR|2VULN|1MLV|1CDMG	15VULN|2CDMG|38LWND|4ERES|6MLV|7AELOIC|9aRCR
27	13332 55412	   	279.46	DCR|DCR|2VULN|1MLV|1CDMG|1ZMB	15VULN|2CDMG|3LWND|4ERES|6ZMB|7CGEN|8aRCR|9MLV
28	16232 53412	   	279.36	DCR|DCR|2VULN|1MLV|1CDMG|1ZMB	15VULN|2DUST|3CDMG|4ERES|6ZMB|7CGEN|8aRCR|9MLV
29	52214 62221	 * 	278.26	DCR|3VULN|3MLV|2DMG	14DMG|23aVULN|5RPLT|679MLV|8RCR
30	52633 12423	   	276.75	DCR|DCR|2VULN|1DMG|1ZMB	1DMG|28VULN|3ZMB|4BBNT|5AAC|69RCR|7TBNT|aDUR
31	52333 11461	   	276.22	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1DMG|2VULN|3ASPD|4BBNT|5AAC|69RCR|7TLV|8CDMG|aDUR
32	52333 12323	   	275.02	DCR|DCR|1VULN|2ASPD|1DMG	1DMG|2VULN|38ASPD|4BBNT|5AAC|69RCR|7TBNT|aDUR
33	15212 14214	 * 	274.79	DCR|3VULN|2DMG|2ASPD|1MLV	137VULN|27ASPD|47DMG|5RPLT|6TBNT|7BPWR|8AME|9RCR|aMLV
34	15635 12323	   	274.78	DCR|DCR|1VULN|2ASPD|1DMG|1ZMB	1VULN|28ASPD|3ZMB|4BBNT|5DMG|69RCR|7TBNT|aDUR
35	12343 12818	   	274.37	DCR|DCR|2VULN|1MLV	19VULN|2DUR|3LWND|4MBVNT|57CGEN|68RCR|aMLV
36	13214 21462	   	272.03	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3MDPS|4DMG|5AART|68RCR|7AIRHEA|9DUR|aLWND
37	13214 21463	   	272.03	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3MDPS|4DMG|5AART|68RCR|7AIRHEA|9DUR|aBBNT
38	13214 21434	   	271.93	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3MDPS|4DMG|5AART|68RCR|7AIRHEA|9ERES|aDUR
39	13214 21452	   	271.93	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3MDPS|4DMG|5AART|68RCR|7AIRHEA|9VENICY|aDUR
40	13214 21461	   	271.93	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2CDMG|3MDPS|4DMG|5AART|68RCR|7AIRHEA|9DUR|aLSRREG
41	16623 24321	   	271.74	DCR|DCR|2VULN|1CDMG	13VULN|236DUST|3BPWR|4FEWX|5CDMG|79RCR|8RPLT|aRCVC
42	16623 24322	   	271.74	DCR|DCR|2VULN|1CDMG	13VULN|236DUST|3BPWR|4FEWX|5CDMG|79RCR|8RPLT|aCGEN
43	16623 24323	   	271.74	DCR|DCR|2VULN|1CDMG	13VULN|236DUST|3BPWR|4FEWX|5CDMG|79RCR|8RPLT|aLWND
44	13214 23166	 * 	271.26	DCR|4VULN|2DMG|2CDMG	179aVULN|27CDMG|3MDPS|47DMG|5AART|6RCR|7BPWR|8FRZICY
45	15212 14413	   	271.00	DCR|3VULN|2DMG|2ASPD|1CDMG	137VULN|27ASPD|47DMG|5RPLT|6TBNT|7BPWR|8TLV|9RCR|aCDMG
