0	Index      	 *	Score 	Summary	Detail	
1	21551 63111	 * 	281.73	DCR|DCR|2VULN|1DMG|1AART	1AAC|2AART|3DMG|4SPLJET|5aVULN|67RCR|8DUR|9DUST
2	21551 63131	   	273.16	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|8DUR|9MLV|aLIT
3	21551 63132	   	273.16	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|8DUR|9MLV|aCGEN
4	21551 63133	   	273.16	DCR|DCR|1VULN|1DMG|1MLV|1AART	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|8DUR|9MLV|aFEWX
5	21551 63123	   	271.83	DCR|DCR|1VULN|1DMG|2DUR|1RPLT|1AART	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|89DUR|aRPLT
6	61325 23214	 * 	268.31	ACR|DCR|3VULN|1MLV|1ASPD	134VULN|2CGEN|5aRCR|6ASPD|7BBNT|8MLV|9TBNT
7	62633 42228	 * 	264.29	DCR|DCR|2MLV|1VULN|1CDMG	1VULN|2LWND|3AAC|49MLV|5MBVNT|6SPLJET|7aRCR|8CDMG
8	41412 22163	   	262.53	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1DMSP|2RMIN|3ASPD|4CGEN|5VULN|6MLV|7LSRICY|8CDMG|9aRCR
9	21551 63121	   	262.07	DCR|DCR|1VULN|1DMG|2DUR|1AART	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|89DUR|aAELOIC
10	21551 63122	   	262.07	DCR|DCR|1VULN|1DMG|2DUR|1AART	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|89DUR|aDUST
11	22451 63111	   	261.52	DCR|DCR|2VULN|1AART|1ZMB	1AAC|2FRZARM|3ZMB|4AART|5aVULN|67RCR|8DUR|9DUST
12	63126 33152	 * 	258.61	DCR|3VULN|3MLV|3DUR|1CDMG	179VULN|278DUR|3LIT|4CDMG|567MLV|7BPWR|aRCR
13	33236 12534	 * 	257.62	DCR|DCR|1VULN|3DUR|1DMG	129DUR|3LHND|4DMG|5RMIN|6VULN|7aRCR|8TLV
14	33426 32334	   	257.62	DCR|DCR|1VULN|3DUR|1DMG	129DUR|3DMG|4VULN|5RMIN|6LWND|7aRCR|8TLV
15	33433 12334	   	257.62	DCR|DCR|1VULN|1DMG|3DUR	129DUR|3DMG|4LWND|5CGEN|6VULN|7aRCR|8TLV
16	33436 12334	   	257.62	DCR|DCR|1VULN|3DUR|1DMG	129DUR|3DMG|4LWND|5RMIN|6VULN|7aRCR|8TLV
17	33232 42534	   	257.52	DCR|DCR|1VULN|3DUR|1DMG	129DUR|3LHND|4DMG|5VULN|6AME|7aRCR|8TLV
18	33232 52534	   	257.52	DCR|DCR|1VULN|1DMG|3DUR	129DUR|3LHND|4DMG|5VULN|6CGEN|7aRCR|8AME
19	33413 12534	   	257.42	DCR|DCR|1VULN|3DUR|1DMG	129DUR|3DMG|4DUST|5CGEN|6VULN|7aRCR|8AME
20	33423 32534	   	257.42	DCR|DCR|1VULN|1DMG|3DUR	129DUR|3DMG|4VULN|5CGEN|6LEGI|7aRCR|8AME
21	21551 63312	   	256.88	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|8CGEN|9AIRARM|aRPLT
22	21551 63212	   	256.78	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|8ERES|9AIRARM|aRPLT
23	34533 24223	   	255.72	DCR|DCR|1VULN|1DMG|1AART	1DUR|2BELT|3VULN|4LHND|59LWND|6aRCR|7AART|8DMG
24	64233 24223	   	255.72	DCR|DCR|1VULN|1DMG|1AART	1VULN|2BELT|3DUR|4LHND|59LWND|6aRCR|7AART|8DMG
25	21551 63323	   	255.62	DCR|DCR|1VULN|1DMG|1AART	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|8CGEN|9BELT|aDUR
26	21551 63112	   	255.52	DCR|DCR|1VULN|1DMG|1AART	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|8DUR|9DUST|aLWND
27	21551 63113	   	255.52	DCR|DCR|1VULN|1DMG|1AART	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|8DUR|9DUST|aLIT
28	21551 63223	   	255.52	DCR|DCR|1VULN|1DMG|1AART	1AAC|2AART|3DMG|4SPLJET|5VULN|67RCR|8ERES|9BELT|aDUR
29	33425 41212	 * 	254.56	DCR|4VULN|2DMG|3DUR	125DUR|3aDMG|467aVULN|8aLHND|9RCR|aBPWR
30	22451 63131	   	252.95	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1AAC|2FRZARM|3ZMB|4AART|5VULN|67RCR|8DUR|9MLV|aLIT
31	22451 63132	   	252.95	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1AAC|2FRZARM|3ZMB|4AART|5VULN|67RCR|8DUR|9MLV|aCGEN
32	22451 63133	   	252.95	DCR|DCR|1VULN|1MLV|1AART|1ZMB	1AAC|2FRZARM|3ZMB|4AART|5VULN|67RCR|8DUR|9MLV|aFEWX
33	33232 52315	   	252.61	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3LHND|4DMG|5VULN|6CGEN|7aRCR|8BEXP|9FEWX
34	33236 12315	   	252.61	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3LHND|4DMG|5RMIN|6VULN|7aRCR|8BEXP|9FEWX
35	33421 52315	   	252.61	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3DMG|4VULN|5LHND|6CGEN|7aRCR|8BEXP|9FEWX
36	33233 42325	   	252.61	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3LHND|4DMG|5FEWX|6TLV|7aRCR|8BEXP|9VULN
37	33233 52325	   	252.61	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3LHND|4DMG|5FEWX|6CGEN|7aRCR|8BEXP|9VULN
