0	Index      	 *	Score 	Summary	Detail	
1	13261 22251	 * 	280.33	ACR|DCR|3DMG|1VULN|2ASPD|1RPLT|2ZMB	1RPLT|29ZMB|3MBVNT|49ASPD|56RCR|789DMG|9BPWR|aVULN
2	13221 22353	 * 	272.42	ACR|DCR|3VULN|2CDMG|1RPLT|2ZMB	1RPLT|29ZMB|3MBVNT|4AAC|56RCR|79aVULN|89CDMG|9BPWR
3	32252 26223	 * 	272.09	DCR|DCR|3VULN	1BBNT|2ERES|35aVULN|45BEXP|5BPWR|6RCVC|78RCR|9LHND
4	32252 26233	   	272.09	DCR|DCR|3VULN	1BBNT|2ERES|35aVULN|45BEXP|5BPWR|6RCVC|78RCR|9LWND
5	13432 63115	 * 	268.17	DCR|DCR|2DMG|1MLV|1AART|1RPLT|1ZMB	1RPLT|2ZMB|3RMIN|4MLV|56DMG|7aRCR|8AART|9DUR
6	32252 26242	   	266.16	DCR|DCR|2VULN|1MLV	1BBNT|2ERES|35VULN|45BEXP|5BPWR|6RCVC|78RCR|9RMIN|aMLV
7	32252 26262	   	266.06	DCR|DCR|2VULN|1MLV	1BBNT|2ERES|35VULN|45BEXP|5BPWR|6RCVC|78RCR|9AME|aMLV
8	32533 24234	   	265.28	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1BBNT|2ERES|3RCVC|4VULN|5ASPD|6aRCR|7TBNT|8MLV|9CDMG
9	32216 24234	   	265.18	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1BBNT|25ERES|3VULN|4ASPD|6aRCR|7TBNT|8MLV|9CDMG
10	14382 41446	   	264.88	DCR|DCR|1VULN|2AART|1MLV|1RPLT	1RPLT|2MBVNT|3MLV|46ERES|59AART|7VULN|8aRCR
11	25232 63115	 * 	264.43	DCR|DCR|2DMG|1ASPD|1AART|1RPLT	1RMIN|26DMG|3ASPD|4AME|5RPLT|7aRCR|8AART|9DUR
12	32363 31422	 * 	263.08	DCR|DCR|2DMG|3DUR|2CDMG	1BBNT|247ERES|34CDMG|47BPWR|579DUR|67DMG|8aRCR
13	13261 22171	 * 	262.75	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8LWND|9aVULN
14	13261 22471	 * 	262.75	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8FEWX|9aVULN
15	13261 22671	 * 	262.75	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8LHND|9aVULN
16	13261 22727	 * 	260.51	ACR|DCR|1VULN|1DMG|1MLV|1ASPD|1RPLT|1ZMB	1RPLT|2ZMB|3MBVNT|4ASPD|56RCR|7DMG|8MLV|9VULN|aDUR
17	13221 22123	 * 	257.70	ACR|DCR|3VULN|2RPLT|1ZMB	18RPLT|2ZMB|3MBVNT|4AAC|56RCR|79aVULN
18	52122 21524	   	256.06	DCR|DCR|1VULN|1ASPD|1CDMG	1LHND|2DUR|3LWND|4VULN|5DUST|6aRCR|7ASPD|8CDMG|9TBNT
19	52322 21524	   	256.06	DCR|DCR|1VULN|1ASPD|1CDMG	1LHND|2DUR|3FEWX|4VULN|5DUST|6aRCR|7ASPD|8CDMG|9TBNT
20	14316 42181	   	255.95	DCR|DCR|1VULN|1MLV|1RPLT	1RPLT|2MBVNT|3MLV|4VULN|5DUR|6LWND|7aRCR|8CGEN|9BELT
21	13261 22254	 * 	255.04	ACR|DCR|3DMG|2ASPD|1AART|1RPLT|2ZMB	1RPLT|29ZMB|3MBVNT|49ASPD|56RCR|789DMG|9BPWR|aAART
22	13221 22356	 * 	255.00	ACR|DCR|2VULN|3CDMG|1RPLT|2ZMB	1RPLT|29ZMB|3MBVNT|4AAC|56RCR|79VULN|89aCDMG|9BPWR
23	13221 22122	 * 	254.30	ACR|DCR|2VULN|1DMG|2RPLT|1ZMB	18RPLT|2ZMB|3MBVNT|4AAC|56RCR|79VULN|aDMG
24	26355 22123	 * 	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1RMIN|2VULN|3ASPD|4TBNT|5DUST|69RCR|7LIT|8CGEN|aDMG
25	32265 22123	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2ERES|3VULN|4DMG|5DUST|69RCR|7LIT|8CGEN|aASPD
26	32265 22523	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2ERES|3VULN|4DMG|5DUST|69RCR|7LIT|8TLV|aASPD
27	33665 22123	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2VULN|3ERES|4DMG|5DUST|69RCR|7LIT|8CGEN|aASPD
28	32215 22123	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2ERES|3VULN|4ASPD|5DUST|69RCR|7LIT|8CGEN|aDMG
29	32215 22523	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2ERES|3VULN|4ASPD|5DUST|69RCR|7LIT|8TLV|aDMG
30	33615 22123	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2VULN|3ERES|4ASPD|5DUST|69RCR|7LIT|8CGEN|aDMG
31	33615 22523	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2VULN|3ERES|4ASPD|5DUST|69RCR|7LIT|8TLV|aDMG
32	32432 36523	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1BBNT|2ERES|3ASPD|4TLV|5DUST|69RCR|7LIT|8VULN|aDMG
33	56143 33223	 * 	253.59	DCR|DCR|1VULN|2MLV	1LHND|2FEWX|35LWND|4DUST|68RCR|79MLV|aVULN
34	56142 33223	   	253.49	DCR|DCR|1VULN|2MLV	1LHND|2FEWX|3LWND|45DUST|68RCR|79MLV|aVULN
35	14342 53426	   	252.72	DCR|DCR|2MLV|2DUR|1AART|1RPLT	1RPLT|2MBVNT|39MLV|4AME|5AART|67DUR|8aRCR
36	14622 63131	 * 	252.41	ACR|DCR|2DMG|1VULN|1ASPD|1RPLT	1RPLT|2MBVNT|37RCR|4aDMG|5MDPS|6ASPD|8BBNT|9VULN
