0	Index      	 *	Score 	Summary	Detail	
1	41131 26343	 * 	286.61	DCR|DCR|2DMG|1VULN|2RPLT|1ASPD	1aRPLT|2CGEN|35DMG|4ASPD|6VULN|7ERES|89RCR
2	41131 26341	   	281.41	DCR|DCR|2DMG|1VULN|1ASPD|1RPLT	1RPLT|2CGEN|35DMG|4ASPD|6VULN|7ERES|89RCR|aLIT
3	41131 26342	   	281.41	DCR|DCR|2DMG|1VULN|1ASPD|1RPLT	1RPLT|2CGEN|35DMG|4ASPD|6VULN|7ERES|89RCR|aBELT
4	42211 13326	   	281.26	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1RPLT|2MLV|3VENFST|4VULN|5BEXP|6DMG|7aRCR|8CDMG|9DLOT
5	42215 13326	   	281.26	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1RPLT|2MLV|3VENFST|4VULN|5LWND|6DMG|7aRCR|8CDMG|9DLOT
6	42212 13326	   	281.16	DCR|DCR|1VULN|1DMG|1MLV|1CDMG|1RPLT	1RPLT|2MLV|3VENFST|4VULN|5DUST|6DMG|7aRCR|8CDMG|9DLOT
7	21244 17353	   	271.89	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT|1SELL	1RCVC|2ASPD|3DMG|4MBVNT|5SELL|6DUR|79RCR|8VULN|aRPLT
8	42121 43343	   	269.29	DCR|DCR|2DMG|1MLV|2RPLT|1ASPD	1aRPLT|2MLV|35DMG|4CGEN|6BEXP|7ASPD|89RCR
9	42121 63343	   	269.29	DCR|DCR|2DMG|1MLV|2RPLT|1ASPD	1aRPLT|2MLV|35DMG|4CGEN|6FEWX|7ASPD|89RCR
10	42121 13343	   	269.19	DCR|DCR|2DMG|1MLV|2RPLT|1ASPD	1aRPLT|2MLV|35DMG|4CGEN|6DUST|7ASPD|89RCR
11	43241 12343	   	269.02	DCR|DCR|1VULN|1DMG|2RPLT|1ASPD	1aRPLT|2AELOIC|3VULN|4ASPD|5DMG|67LHND|89RCR
12	12312 35541	   	267.56	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1ZMB|2RMIN|3DMSP|4DMG|5MLV|6VULN|79RCR|8RPLT|aLIT
13	12312 35542	   	267.56	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1ZMB|2RMIN|3DMSP|4DMG|5MLV|6VULN|79RCR|8RPLT|aBELT
14	22313 35541	   	267.56	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1RCVC|2TLV|3MLV|4DMG|5ZMB|6VULN|79RCR|8RPLT|aLIT
15	22313 35542	   	267.56	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1RCVC|2TLV|3MLV|4DMG|5ZMB|6VULN|79RCR|8RPLT|aBELT
16	12312 35543	   	267.46	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1ZMB|2RMIN|3DMSP|4DMG|5MLV|6VULN|79RCR|8RPLT|aMBVNT
17	22313 35543	   	267.46	DCR|DCR|1VULN|1DMG|1MLV|1RPLT|1ZMB	1RCVC|2TLV|3MLV|4DMG|5ZMB|6VULN|79RCR|8RPLT|aMBVNT
18	42121 43341	   	264.09	DCR|DCR|2DMG|1MLV|1ASPD|1RPLT	1RPLT|2MLV|35DMG|4CGEN|6BEXP|7ASPD|89RCR|aLIT
19	42121 43342	   	264.09	DCR|DCR|2DMG|1MLV|1ASPD|1RPLT	1RPLT|2MLV|35DMG|4CGEN|6BEXP|7ASPD|89RCR|aBELT
20	42121 63341	   	264.09	DCR|DCR|2DMG|1MLV|1ASPD|1RPLT	1RPLT|2MLV|35DMG|4CGEN|6FEWX|7ASPD|89RCR|aLIT
