0	Index      	 *	Score 	Summary	Detail	
1	33363 61314	 * 	284.64	DCR|DCR|1VULN|2ASPD|1MLV|1CDMG|1AART	1BBNT|2aASPD|3VULN|4CDMG|5LIT|6MLV|79RCR|8AART
2	11311 83288	 * 	283.27	DCR|DCR|3VULN|1MLV	1ERES|239VULN|4MBVNT|5MLV|6LHND|7aRCR|8BLAICY
3	11311 83388	   	283.27	DCR|DCR|3VULN|1MLV	1ERES|239VULN|4MBVNT|5MLV|6LHND|7aRCR|8FRZFST
4	31112 54422	   	276.77	DCR|DCR|2VULN|1ASPD|1AART|1RPLT	1BBNT|2RPLT|38VULN|4ASPD|5AART|6BELT|7aRCR|9SPLARM
5	11314 42746	   	274.14	DCR|DCR|3VULN	1ERES|236VULN|4MBVNT|5TBNT|7aRCR|8BEXP|9DUR
6	33363 61313	   	272.19	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART	1BBNT|2ASPD|3VULN|4CDMG|5LIT|6MLV|79RCR|8AART|aBEXP
7	33363 61311	   	272.09	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART	1BBNT|2ASPD|3VULN|4CDMG|5LIT|6MLV|79RCR|8AART|aDUST
8	33363 61312	   	272.09	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART|1ZMB	1BBNT|2ASPD|3VULN|4CDMG|5LIT|6MLV|79RCR|8AART|aZMB
9	33363 61315	   	272.09	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1AART	1BBNT|2ASPD|3VULN|4CDMG|5LIT|6MLV|79RCR|8AART|aERES
10	11311 63228	   	269.43	DCR|DCR|2VULN|1MLV	1ERES|23VULN|4MBVNT|5MLV|6DUR|7aRCR|8BLAICY|9LWND
11	11311 63328	   	269.43	DCR|DCR|2VULN|1MLV	1ERES|23VULN|4MBVNT|5MLV|6DUR|7aRCR|8FRZFST|9LWND
12	11311 63828	   	269.43	DCR|DCR|2VULN|1MLV	1ERES|23VULN|4MBVNT|5MLV|6DUR|7aRCR|8BASHEA|9LWND
13	11311 83258	   	269.43	DCR|DCR|2VULN|1MLV	1ERES|23VULN|4MBVNT|5MLV|6LHND|7aRCR|8BLAICY|9DUR
14	11311 83358	   	269.43	DCR|DCR|2VULN|1MLV	1ERES|23VULN|4MBVNT|5MLV|6LHND|7aRCR|8FRZFST|9DUR
15	11352 34311	   	268.21	DCR|DCR|2VULN|2DUR|1AART	1ERES|23VULN|4MDPS|5FEWX|6AART|7aDUR|89RCR
16	11354 42311	   	268.21	DCR|DCR|2VULN|2DUR|1AART	1ERES|23VULN|4MDPS|5AART|6aDUR|7BEXP|89RCR
17	11355 11311	 * 	267.59	DCR|4VULN|3DMG|1MLV	19ERES|2379VULN|4MDPS|569DMG|8RCR|9BPWR|aMLV
18	64316 42226	   	265.94	DCR|DCR|3VULN	1MBVNT|2TBNT|356VULN|4CGEN|7aRCR|8LHND|9BEXP
19	11314 42226	   	265.84	DCR|DCR|3VULN	1ERES|236VULN|4MBVNT|5TBNT|7aRCR|8LHND|9BEXP
20	11318 72226	   	265.84	DCR|DCR|3VULN	1ERES|235VULN|4MBVNT|6TBNT|7aRCR|8LHND|9BEXP
21	11313 83288	   	265.64	DCR|DCR|3VULN	1ERES|239VULN|4MBVNT|5LHND|6AME|7aRCR|8BLAICY
22	11313 83388	   	265.64	DCR|DCR|3VULN	1ERES|239VULN|4MBVNT|5LHND|6AME|7aRCR|8FRZFST
