0	Index      	 *	Score 	Summary	Detail	
1	15323 53316	 * 	271.84	DCR|DCR|2VULN|1CDMG|1RPLT	1FLTHEA|26VULN|3AME|4LIT|5RMIN|7RPLT|8aRCR|9CDMG
2	15235 22114	 * 	271.75	DCR|DCR|2DMG|1VULN|1ASPD	1FLTHEA|2VULN|3FRZFST|4LHND|5aDMG|6CGEN|79RCR|8ASPD
3	51211 25221	   	265.38	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2MLV|3FEWX|4BBNT|5LWND|6VULN|79RCR|8DMSP|aASPD
4	51162 12623	 * 	264.46	ACR|DCR|2VULN|1MLV|1ASPD|1CDMG	1CDMG|2MLV|3RMIN|48RCR|5LIT|6MDPS|7aVULN|9ASPD
5	31412 33513	   	262.57	DCR|DCR|1VULN|1DMG|1ASPD	1BEXP|2BBNT|3VULN|4DUR|5ASPD|6TLV|7FRZARM|8aRCR|9DMG
6	34412 33513	   	262.57	DCR|DCR|1VULN|1DMG|1ASPD	1BEXP|2TBNT|3VULN|4DUR|5ASPD|6TLV|7FRZARM|8aRCR|9DMG
7	15235 22115	   	262.47	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3FRZFST|4LHND|5DMG|6CGEN|79RCR|8ASPD|aDUR
8	15133 62214	   	262.27	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3ERES|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aDMG
9	15213 62214	   	262.27	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3FRZFST|4AME|5DUR|6ASPD|79RCR|8NUKE|aDMG
10	15223 62214	   	262.27	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3FRZFST|4ERES|5DUR|6ASPD|79RCR|8NUKE|aDMG
11	15333 62214	   	262.27	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3AME|4SPLREG|5DUR|6ASPD|79RCR|8NUKE|aDMG
12	54223 23613	   	261.69	DCR|DCR|2VULN|1CDMG|2SELL	1CDMG|25VULN|37SELL|4LEGI|69RCR|8CGEN|aAAC
13	54223 23611	   	261.59	DCR|DCR|2VULN|1CDMG|2SELL	1CDMG|25VULN|37SELL|4LEGI|69RCR|8CGEN|aMDPS
14	54223 23612	   	261.59	DCR|DCR|2VULN|1CDMG|2SELL	1CDMG|25VULN|37SELL|4LEGI|69RCR|8CGEN|aAIRARM
15	15243 62211	   	259.84	DCR|DCR|1VULN|1MLV|1ASPD	1FLTHEA|2VULN|3FRZFST|4MLV|5DUR|6ASPD|79RCR|8NUKE|aFEWX
16	15243 62212	   	259.84	DCR|DCR|1VULN|1MLV|1ASPD	1FLTHEA|2VULN|3FRZFST|4MLV|5DUR|6ASPD|79RCR|8NUKE|aBBNT
17	15243 62213	   	259.74	DCR|DCR|1VULN|1MLV|1ASPD	1FLTHEA|2VULN|3FRZFST|4MLV|5DUR|6ASPD|79RCR|8NUKE|aDUST
18	54323 34348	 * 	259.73	DCR|DCR|1VULN|2CDMG|1AART|1RPLT	15CDMG|2VULN|3LIT|4TBNT|6MBVNT|7aRCR|8RPLT|9AART
19	12631 62513	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1FLTHEA|2BEXP|3DUST|4MLV|5NUKE|6VULN|7BBNT|8aRCR|9DMG
20	33225 33513	   	257.90	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1BEXP|2MLV|3ZMB|4TBNT|5VULN|6LHND|7FRZARM|8aRCR|9DMG
21	33225 63513	   	257.90	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1BEXP|2MLV|3ZMB|4TBNT|5VULN|6LWND|7FRZARM|8aRCR|9DMG
22	33265 33513	   	257.90	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1BEXP|2MLV|3ZMB|4BBNT|5VULN|6LHND|7FRZARM|8aRCR|9DMG
23	33225 53513	   	257.80	DCR|DCR|1VULN|1DMG|1MLV|1ZMB	1BEXP|2MLV|3ZMB|4TBNT|5VULN|6DUST|7FRZARM|8aRCR|9DMG
24	15235 22111	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3FRZFST|4LHND|5DMG|6CGEN|79RCR|8ASPD|aFEWX
25	15235 22112	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3FRZFST|4LHND|5DMG|6CGEN|79RCR|8ASPD|aBBNT
26	15635 22111	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1FLTHEA|2VULN|3DUST|4SNIFST|5DMG|6CGEN|79RCR|8ASPD|aFEWX
