0	Index      	 *	Score 	Summary	Detail	
1	44122 14321	 * 	298.97	DCR|3VULN|3MLV|2TLV	13aBASICY|234VULN|3aBPWR|57aMLV|6aTLV|8RCR|9MBVNT
2	33336 62312	 * 	292.96	DCR|DCR|1VULN|1TLV|2ASPD|1CDMG	16ASPD|2RMIN|3BEXP|4VULN|5CDMG|7FEWX|8aRCR|9TLV
3	33336 63312	   	292.86	DCR|DCR|1VULN|1TLV|2ASPD|1CDMG	16ASPD|2RMIN|3BEXP|4VULN|5CDMG|7DUST|8aRCR|9TLV
4	31432 53162	 * 	292.55	DCR|DCR|1VULN|1MLV|1DMG|1ASPD|1CDMG	1ASPD|28CGEN|3MDPS|4MLV|5DMG|6aRCR|7VULN|9CDMG
5	41212 31453	 * 	291.87	DCR|DCR|2MLV|1VULN|1AAC	1BASICY|2DUR|3AAC|4MDPS|58MLV|69RCR|7VULN|aLWND
6	41212 31451	   	291.77	DCR|DCR|2MLV|1VULN|1AAC	1BASICY|2DUR|3AAC|4MDPS|58MLV|69RCR|7VULN|aLSRHEA
7	41212 31452	   	291.77	DCR|DCR|2MLV|1VULN|1AAC	1BASICY|2DUR|3AAC|4MDPS|58MLV|69RCR|7VULN|aDUST
8	62133 24711	 * 	289.51	DCR|4VULN|3MLV|1ASPD	178LIT|2789VULN|3ASPD|4LHND|578MLV|6MBVNT|78BPWR|aRCR
9	44212 31253	 * 	287.36	DCR|DCR|2VULN|1MLV|1AAC	1BASICY|27VULN|3AAC|4MDPS|5MLV|69RCR|8BEXP|aLWND
10	44212 31251	   	287.26	DCR|DCR|2VULN|1MLV|1AAC	1BASICY|27VULN|3AAC|4MDPS|5MLV|69RCR|8BEXP|aLSRHEA
11	44212 31252	   	287.26	DCR|DCR|2VULN|1MLV|1AAC	1BASICY|27VULN|3AAC|4MDPS|5MLV|69RCR|8BEXP|aDUST
12	41242 33512	   	286.10	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1BASICY|2DUR|3AAC|4MSLREG|5AART|6ASPD|78RCR|9DMG|aVULN
13	41252 33512	   	286.10	DCR|DCR|1VULN|1DMG|1AAC|1ASPD	1BASICY|2DUR|3AAC|4MULARM|5AART|6ASPD|78RCR|9DMG|aVULN
14	13352 33312	 * 	285.33	DCR|DCR|1VULN|1TLV|2CDMG|1AAC	1FEWX|26CDMG|3BEXP|4VULN|5RMIN|7AAC|8aRCR|9TLV
15	23436 22312	   	285.33	DCR|DCR|1VULN|1TLV|2CDMG|1AAC	1BEXP|2RMIN|3AAC|4VULN|56CDMG|7FEWX|8aRCR|9TLV
16	23436 23312	   	285.23	DCR|DCR|1VULN|1TLV|2CDMG|1AAC	1BEXP|2RMIN|3AAC|4VULN|56CDMG|7DUST|8aRCR|9TLV
17	33336 22312	   	284.69	DCR|DCR|1VULN|1TLV|2CDMG|1ASPD	1ASPD|2RMIN|3BEXP|4VULN|56CDMG|7FEWX|8aRCR|9TLV
18	33336 23312	   	284.59	DCR|DCR|1VULN|1TLV|2CDMG|1ASPD	1ASPD|2RMIN|3BEXP|4VULN|56CDMG|7DUST|8aRCR|9TLV
19	42166 33112	 * 	284.45	DCR|3VULN|2TLV|2AAC|1MLV	1aBASICY|2BELT|3MLV|49aVULN|58AAC|6RCR|7aTLV|aBPWR
20	15212 31453	   	283.57	DCR|DCR|2MLV|1VULN|1AAC	1FEWX|2MSLFST|3AAC|4MDPS|58MLV|69RCR|7VULN|aLWND
21	25212 31453	   	283.47	DCR|DCR|2MLV|1VULN|1AAC	1BEXP|2MSLFST|3AAC|4MDPS|58MLV|69RCR|7VULN|aLWND
22	15212 31451	   	283.47	DCR|DCR|2MLV|1VULN|1AAC	1FEWX|2MSLFST|3AAC|4MDPS|58MLV|69RCR|7VULN|aLSRHEA
23	15212 31452	   	283.47	DCR|DCR|2MLV|1VULN|1AAC	1FEWX|2MSLFST|3AAC|4MDPS|58MLV|69RCR|7VULN|aDUST
24	25212 31451	   	283.37	DCR|DCR|2MLV|1VULN|1AAC	1BEXP|2MSLFST|3AAC|4MDPS|58MLV|69RCR|7VULN|aLSRHEA
25	25212 31452	   	283.37	DCR|DCR|2MLV|1VULN|1AAC	1BEXP|2MSLFST|3AAC|4MDPS|58MLV|69RCR|7VULN|aDUST
26	33345 31312	   	279.07	DCR|DCR|1VULN|1TLV|2ASPD|1SELL	16ASPD|2RMIN|3BEXP|4FEWX|5SELL|7VULN|8aRCR|9TLV
27	13352 63312	   	279.02	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1FEWX|2CDMG|3BEXP|4VULN|5RMIN|6RCVC|7AAC|8aRCR|9TLV
28	23436 12312	   	278.92	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1BEXP|2RMIN|3AAC|4VULN|5CDMG|6AEFBLL|7FEWX|8aRCR|9TLV
29	23436 13312	   	278.82	DCR|DCR|1VULN|1TLV|1AAC|1CDMG	1BEXP|2RMIN|3AAC|4VULN|5CDMG|6AEFBLL|7DUST|8aRCR|9TLV
30	13512 63212	   	278.48	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1FEWX|2CDMG|34CGEN|5LHND|6aRCR|7ASPD|8VULN|9TLV
31	13522 63212	   	278.48	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1FEWX|2CDMG|3CGEN|4RCVC|5LHND|6aRCR|7ASPD|8VULN|9TLV
32	13552 63212	   	278.38	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1FEWX|2CDMG|3CGEN|4AEFRZ|5LHND|6aRCR|7ASPD|8VULN|9TLV
33	13563 63212	   	278.38	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1FEWX|2CDMG|3CGEN|4ERES|5RMIN|6aRCR|7ASPD|8VULN|9TLV
34	33336 12312	   	278.28	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1ASPD|2RMIN|3BEXP|4VULN|5CDMG|6AEFBLL|7FEWX|8aRCR|9TLV
35	33336 13312	   	278.18	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1ASPD|2RMIN|3BEXP|4VULN|5CDMG|6AEFBLL|7DUST|8aRCR|9TLV
