0	Index      	 *	Score 	Summary	Detail	
1	21213 33251	 * 	307.45	DCR|DCR|2VULN|1TLV|1MLV	1TLV|29VULN|3RAT|4MLV|5LIT|6LHND|7aRCR|8BBNT
2	22232 23564	 * 	299.33	DCR|2VULN|3TLV|2MLV|2DMG	135TLV|2TBNT|3aBPWR|4BBNT|6RCR|7aVULN|8aDMG|9aMLV
3	11522 11454	 * 	298.20	DCR|3VULN|2MLV|1TLV|2ASPD	127VULN|37ASPD|4MBVNT|57MLV|6MDPS|7BPWR|8TLV|9RAT|aRCR
4	22632 53413	 * 	292.28	DCR|3VULN|3MLV|1TLV	1TLV|2TBNT|368MLV|49aVULN|5DUR|7RCR
5	21213 13241	   	289.55	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6DUR|7aRCR|8BBNT|9DMSP
6	21213 13251	   	289.55	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6DUR|7aRCR|8BBNT|9RCVC
7	21213 13361	   	289.55	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6DUR|7aRCR|8RCVC|9TBNT
8	21213 13121	   	289.45	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6DUR|7aRCR|8MDPS|9LWND
9	21213 13131	   	289.45	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6DUR|7aRCR|8MDPS|9LHND
10	21213 13141	   	289.35	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6DUR|7aRCR|8MDPS|9BEXP
11	22631 53413	   	283.97	DCR|3VULN|3MLV|1TLV	1TLV|2TBNT|368MLV|49aVULN|5FEWX|7RCR
12	21422 31538	   	282.52	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RCVC|4MBVNT|5MLV|6DUR|7BELT|8aRCR|9BBNT
13	21622 31538	   	282.42	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3AEFRZ|4MBVNT|5MLV|6DUR|7BELT|8aRCR|9BBNT
14	21213 33361	   	281.25	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6LHND|7aRCR|8RCVC|9TBNT
15	21213 43241	   	281.25	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6FEWX|7aRCR|8BBNT|9DMSP
16	21213 43361	   	281.25	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6FEWX|7aRCR|8RCVC|9TBNT
17	21213 33121	   	281.15	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6LHND|7aRCR|8MDPS|9LWND
18	21213 43121	   	281.15	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6FEWX|7aRCR|8MDPS|9LWND
19	21213 43131	   	281.15	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6FEWX|7aRCR|8MDPS|9LHND
20	21213 53241	   	281.15	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6DUST|7aRCR|8BBNT|9DMSP
21	21213 53361	   	281.15	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6DUST|7aRCR|8RCVC|9TBNT
22	21213 33131	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6LHND|7aRCR|8MDPS|9LEGI
23	21213 33141	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6LHND|7aRCR|8MDPS|9BEXP
24	21213 43141	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6FEWX|7aRCR|8MDPS|9BEXP
25	21213 53121	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6DUST|7aRCR|8MDPS|9LWND
26	21213 53131	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6DUST|7aRCR|8MDPS|9LHND
27	21213 53221	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|69DUST|7aRCR|8BBNT
28	21213 53141	   	280.95	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2VULN|3RAT|4MLV|5LIT|6DUST|7aRCR|8MDPS|9BEXP
29	31152 11653	 * 	280.49	DCR|3VULN|2MLV|2AAC|1DMG	17FEWX|247VULN|3aAAC|57MLV|6MDPS|7BPWR|8RCR|9DMG
30	11521 15338	   	279.33	DCR|3VULN|2MLV|2ASPD|1DMG	12aVULN|3aASPD|4MBVNT|5TBNT|6RCR|7DMG|8CGEN|9aMLV|aBPWR
31	21243 33251	   	278.86	DCR|DCR|2VULN|1TLV	1TLV|29VULN|3RAT|4CGEN|5LIT|6LHND|7aRCR|8BBNT
32	11161 44311	 * 	278.48	DCR|DCR|3VULN	12aVULN|3RCVC|4AART|5DUR|6FEWX|79RCR|8MSLREG
33	21366 27431	   	277.66	DCR|2VULN|2MLV|2TLV|1AAC	18TLV|28VULN|3RPLT|4DUST|5MBVNT|6DUR|78MLV|8BPWR|9RCR|aAAC
