0	Index      	 *	Score 	Summary	Detail	
1	62124 11325	 * 	280.88	DCR|DCR|2VULN|1DMG|1ASPD	1RMIN|24LIT|37VULN|5BELT|6ASPD|8DMG|9aRCR
2	12131 16562	 * 	276.75	DCR|DCR|1VULN|1TLV|1DMG	1TLV|2BEXP|3DMG|4BBNT|5TBNT|6DUR|7AEFRZ|89RCR|aVULN
3	41141 23523	 * 	276.10	DCR|DCR|2TLV|1VULN|2RAT	16RAT|2MDPS|3FEWX|49TLV|5VULN|7aRCR|8BEXP
4	41241 23523	   	276.10	DCR|DCR|2TLV|1VULN|2RAT	16RAT|2MDPS|3LHND|49TLV|5VULN|7aRCR|8BEXP
5	45211 23523	   	276.10	DCR|DCR|2TLV|1VULN|2RAT	16RAT|2FEWX|39TLV|4MDPS|5VULN|7aRCR|8BEXP
6	16421 23253	 * 	271.80	DCR|4VULN|2TLV|1AAC	18TLV|2678VULN|3LHND|4DUR|58LIT|8BPWR|9AAC|aRCR
7	16421 23234	   	271.16	DCR|4VULN|2TLV|1ASPD	18TLV|2678VULN|3LHND|4DUR|58LIT|8BPWR|9RCR|aASPD
8	11332 13554	   	270.43	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2LIT|3LWND|4MDPS|5TBNT|6aRCR|7VULN|8CDMG|9DUR
9	41241 33523	   	269.49	DCR|DCR|2TLV|1VULN	1RAT|2MDPS|3LHND|49TLV|5VULN|6RCVC|7aRCR|8BEXP
10	16312 63333	 * 	268.39	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1TLV|27VULN|3AAC|4DMG|5DUR|6FEWX|8AART|9RCR|aMLV
11	12312 43333	   	268.29	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1TLV|2BEXP|3AAC|4DMG|5DUR|67VULN|8AART|9RCR|aMLV
12	13314 43333	   	268.29	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1TLV|2DUR|3AAC|4DMG|5BEXP|67VULN|8AART|9RCR|aMLV
13	14312 43333	   	268.29	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1TLV|2DUST|3AAC|4DMG|5DUR|67VULN|8AART|9RCR|aMLV
14	16312 63336	 * 	265.65	DCR|3VULN|1TLV|1DMG|1AAC	1TLV|27aVULN|3AAC|4DMG|5DUR|6FEWX|8AART|9RCR
15	12312 43336	   	265.55	DCR|3VULN|1TLV|1DMG|1AAC	1TLV|2BEXP|3AAC|4DMG|5DUR|67aVULN|8AART|9RCR
16	13314 43336	   	265.55	DCR|3VULN|1TLV|1DMG|1AAC	1TLV|2DUR|3AAC|4DMG|5BEXP|67aVULN|8AART|9RCR
17	14312 43336	   	265.55	DCR|3VULN|1TLV|1DMG|1AAC	1TLV|2DUST|3AAC|4DMG|5DUR|67aVULN|8AART|9RCR
18	53242 53232	 * 	265.27	DCR|4VULN|1TLV|1MLV	1LWND|2RAT|3TLV|469aVULN|5AETHUN|7RCR|8MLV
19	13153 43336	   	265.01	DCR|3VULN|1TLV|1DMG|1ASPD	1TLV|2DUR|3DMG|4FEWX|5ASPD|67aVULN|8AART|9RCR
20	16123 63336	   	265.01	DCR|3VULN|1TLV|1DMG|1ASPD	1TLV|27aVULN|3DMG|4DUR|5ASPD|6FEWX|8AART|9RCR
21	12123 43336	   	264.91	DCR|3VULN|1TLV|1DMG|1ASPD	1TLV|2BEXP|3DMG|4DUR|5ASPD|67aVULN|8AART|9RCR
22	14123 43336	   	264.91	DCR|3VULN|1TLV|1DMG|1ASPD	1TLV|2DUST|3DMG|4DUR|5ASPD|67aVULN|8AART|9RCR
23	53221 33353	   	263.72	DCR|DCR|1VULN|1TLV	1LWND|2RAT|3TLV|4RMIN|5DUST|6CGEN|7aRCR|8DUR|9VULN
24	53231 13153	   	263.72	DCR|DCR|1VULN|1TLV	1LWND|2RAT|3TLV|4DUR|5LHND|6DUST|7aRCR|8DMSP|9VULN
25	53231 23463	   	263.72	DCR|DCR|1VULN|1TLV	16LWND|2RAT|3TLV|4DUR|5LHND|7aRCR|8VULN|9DUST
26	53231 33463	   	263.72	DCR|DCR|1VULN|1TLV	1LWND|2RAT|3TLV|4DUR|56LHND|7aRCR|8VULN|9DUST
27	53252 33253	   	263.62	DCR|DCR|1VULN|1TLV	1LWND|2RAT|3TLV|4CGEN|5ERES|6DUR|7aRCR|8DUST|9VULN
28	16431 23234	   	262.86	DCR|4VULN|2TLV|1ASPD	18TLV|2678VULN|3LHND|4LWND|58LIT|8BPWR|9RCR|aASPD
29	11332 13564	   	262.13	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2LIT|3LWND|4MDPS|5TBNT|6aRCR|7VULN|8CDMG|9FEWX
30	11126 63352	   	262.03	DCR|DCR|1VULN|1TLV|2RAT	1TLV|24LIT|3VULN|5ZMB|6aRCR|78RAT|9ERES
31	11332 13514	   	262.03	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2LIT|3LWND|4MDPS|5TBNT|6aRCR|7VULN|8CDMG|9LEGI
32	11332 13544	   	262.03	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2LIT|3LWND|4MDPS|5TBNT|6aRCR|7VULN|8CDMG|9DUST
33	41141 23623	   	261.93	DCR|DCR|1VULN|1TLV|2RAT	16RAT|2MDPS|38FEWX|4TLV|5VULN|7aRCR|9BEXP
34	45211 23623	   	261.93	DCR|DCR|1VULN|1TLV|2RAT	16RAT|28FEWX|3TLV|4MDPS|5VULN|7aRCR|9BEXP
35	53211 23513	   	261.93	DCR|DCR|1VULN|1TLV|2RAT	19LWND|26RAT|3TLV|4MDPS|5VULN|7aRCR|8BEXP
36	13353 43336	   	261.84	DCR|3VULN|1TLV|1AAC|1ASPD	1TLV|2DUR|3AAC|4FEWX|5ASPD|67aVULN|8AART|9RCR
37	12631 45224	   	261.83	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2BEXP|3ERES|4AEPOI|5CDMG|6VULN|7aRCR|8TBNT|9MBVNT
38	16631 25224	   	261.83	DCR|DCR|1VULN|1TLV|1CDMG	1TLV|2VULN|3ERES|4AEBURN|5CDMG|6BEXP|7aRCR|8TBNT|9MBVNT
39	53211 23523	   	261.83	DCR|DCR|1VULN|1TLV|2RAT	1LWND|26RAT|3TLV|4MDPS|5VULN|7aRCR|89BEXP
40	13323 43336	   	261.74	DCR|3VULN|1TLV|1AAC|1ASPD	1TLV|2DUR|3AAC|4DUST|5ASPD|67aVULN|8AART|9RCR
41	16331 42241	 * 	261.61	DCR|2VULN|2TLV|1DMG|1AAC|1CDMG	17TLV|26VULN|3AAC|4AEBURN|5CDMG|8DMG|9DUR|aRCR
42	34311 32161	 * 	261.44	DCR|2MLV|1VULN|1TLV|1DMG|1AAC|1CDMG	1DMSP|2AAC|3VULN|4DMG|5CDMG|68MLV|7TLV|9ERES|aRCR
43	36212 15151	 * 	261.17	DCR|2MLV|2DMG|1VULN|2ASPD|1CDMG	1DMSP|28ASPD|3VULN|48DMG|5TBNT|68MLV|7RMIN|8BPWR|9CDMG|aRCR
44	12161 45122	   	260.96	DCR|2VULN|2TLV|1DMG|1ASPD|1CDMG	14TLV|2BEXP|3DMG|5CDMG|6aVULN|7RCR|8ASPD|9DUR
45	11142 23235	 * 	259.85	ACR|4VULN|2MLV|2TLV	1aTLV|2LIT|379aVULN|4RCR|5MDPS|6TBNT|8aMLV|aBPWR
46	12312 56336	 * 	259.68	DCR|2VULN|2DMG|1TLV|1AAC	1TLV|2BEXP|3AAC|46DMG|5DUR|7aVULN|8AART|9RCR
47	53242 53231	 * 	259.30	DCR|3VULN|2TLV|1MLV	1LWND|2RAT|3aTLV|469VULN|5AETHUN|7RCR|8MLV
48	12123 56336	   	259.03	DCR|2VULN|2DMG|1TLV|1ASPD	1TLV|2BEXP|36DMG|4DUR|5ASPD|7aVULN|8AART|9RCR
49	16312 63332	   	258.44	DCR|2VULN|1TLV|1DMG|1AAC|1ASPD	1TLV|27VULN|3AAC|4DMG|5DUR|6FEWX|8AART|9RCR|aASPD
50	16133 13132	   	258.44	DCR|2VULN|1TLV|1MLV|1DMG	1TLV|25VULN|3DMG|4TBNT|6MLV|7RAT|8DUR|9AART|aRCR
51	12312 43332	   	258.34	DCR|2VULN|1TLV|1DMG|1AAC|1ASPD	1TLV|2BEXP|3AAC|4DMG|5DUR|67VULN|8AART|9RCR|aASPD
52	13314 43332	   	258.34	DCR|2VULN|1TLV|1DMG|1AAC|1ASPD	1TLV|2DUR|3AAC|4DMG|5BEXP|67VULN|8AART|9RCR|aASPD
53	14312 43332	   	258.34	DCR|2VULN|1TLV|1DMG|1AAC|1ASPD	1TLV|2DUST|3AAC|4DMG|5DUR|67VULN|8AART|9RCR|aASPD
54	13441 23253	   	258.20	DCR|3VULN|2TLV|1AAC|2DUR	18TLV|28DUR|3LWND|467VULN|58LIT|8BPWR|9AAC|aRCR
55	31311 53353	 * 	257.83	DCR|DCR|1VULN|1MLV	1DMSP|2RAT|3BEXP|4MLV|5LWND|6DUR|7aRCR|8FEWX|9VULN
56	42311 53353	   	257.83	DCR|DCR|1VULN|1MLV	1RAT|2RCVC|3BEXP|4MLV|5LWND|6DUR|7aRCR|8FEWX|9VULN
57	12312 56333	 * 	257.80	DCR|2DMG|1VULN|1TLV|1MLV|1AAC	1TLV|2BEXP|3AAC|46DMG|5DUR|7VULN|8AART|9RCR|aMLV
58	13314 56333	   	257.80	DCR|2DMG|1VULN|1TLV|1MLV|1AAC	1TLV|2DUR|3AAC|46DMG|5BEXP|7VULN|8AART|9RCR|aMLV
59	14312 56333	   	257.80	DCR|2DMG|1VULN|1TLV|1MLV|1AAC	1TLV|2DUST|3AAC|46DMG|5DUR|7VULN|8AART|9RCR|aMLV
