0	Index      	 *	Score 	Summary	Detail	
1	31242 25236	 * 	279.22	橙4易伤3等级1技能1暴击	18最后敌人2678易伤3技能4赏金邻近568等级68序列升级9暴击a核
2	31322 54115	 * 	275.62	橙橙3易伤1暴击	1最后敌人245易伤3暴击6赏金塔7金币生成8a核9赏金邻近
3	31322 55115	   	275.52	橙橙3易伤1暴击	1最后敌人245易伤3暴击6赏金塔7掉矿8a核9赏金邻近
4	54331 11243	 * 	270.42	橙2易伤2矿等1等级1技能	15矿等2挖尘3技能点45易伤5序列升级6时间7随机技能8核9等级a技能
5	53534 33322	 * 	268.73	橙3易伤2矿等1等级	19矿等2时间39挖尘489易伤5赏金塔6立即金币7核9序列升级a等级
6	54131 21531	   	268.63	橙3易伤2矿等1等级	15矿等28挖尘3金币生成457易伤5序列升级6等级9核a时间
7	31322 12242	 * 	268.33	橙3易伤1等级1矿等1伤害1暴击	1最后敌人245易伤3暴击6伤害7等级8赏金邻近9矿等a核
8	61322 12242	   	268.23	橙3易伤1等级1矿等1伤害1暴击	1基地爆炸245易伤3暴击6伤害7等级8赏金邻近9矿等a核
9	54131 11224	   	261.84	橙2易伤2矿等1等级	15矿等2挖尘3金币生成45易伤5序列升级6时间7随机技能8核9全技能a等级
10	54331 11224	   	261.84	橙2易伤2矿等1等级	15矿等2挖尘3技能点45易伤5序列升级6时间7随机技能8核9全技能a等级
11	54131 23632	 * 	261.83	橙3矿等2易伤1等级	158矿等2挖尘3金币生成45易伤5序列升级6等级7敌人爆炸9核a赏金塔
12	54131 23633	   	261.83	橙3矿等2易伤1等级	158矿等2挖尘3金币生成45易伤5序列升级6等级7敌人爆炸9核a最后敌人
13	54131 23631	   	261.73	橙3矿等2易伤1等级	158矿等2挖尘3金币生成45易伤5序列升级6等级7敌人爆炸9核a基地爆炸
14	54131 21133	   	260.33	橙3易伤2矿等1等级	15矿等2挖尘3金币生成457易伤5序列升级6等级8基础对冰9技能点a核
15	54131 21532	   	260.33	橙3易伤2矿等1等级	15矿等28挖尘3金币生成457易伤5序列升级6等级9核a最后敌人
16	54131 21533	   	260.23	橙3易伤2矿等1等级	15矿等28挖尘3金币生成457易伤5序列升级6等级9核a毒液对黄
17	54131 11241	   	260.08	橙2易伤2矿等1等级2时间	15矿等2挖尘3金币生成45易伤5序列升级6a时间7随机技能8核9等级
18	54331 11241	   	260.08	橙2易伤2矿等1等级2时间	15矿等2挖尘3技能点45易伤5序列升级6a时间7随机技能8核9等级
19	31433 21551	   	255.21	橙3易伤1等级1矿等1暴击	1最后敌人28a易伤3等级4随机技能5雷电6暴击7矿等9核
20	54131 11242	   	253.53	橙2易伤2矿等1等级	15矿等2挖尘3金币生成45易伤5序列升级6时间7随机技能8核9等级a技能点
21	54331 11242	   	253.53	橙2易伤2矿等1等级	15矿等2挖尘3a技能点45易伤5序列升级6时间7随机技能8核9等级
22	31512 43115	   	253.48	橙橙2易伤1暴击	1最后敌人24易伤3赏金邻近5金币生成6暴击7双倍矿8a核9赏金塔
23	31312 54115	   	253.48	橙橙2易伤1暴击	1最后敌人25易伤3暴击4立即金币6赏金塔7金币生成8a核9赏金邻近
24	31332 54115	   	253.48	橙橙2易伤1暴击	1最后敌人25易伤3暴击4双倍矿6赏金塔7金币生成8a核9赏金邻近
25	54131 11243	   	253.43	橙2易伤2矿等1等级1挖怪	15矿等2挖尘3金币生成45易伤5序列升级6时间7随机技能8核9等级a挖怪
26	31312 55115	   	253.38	橙橙2易伤1暴击	1最后敌人25易伤3暴击4立即金币6赏金塔7掉矿8a核9赏金邻近
27	31332 55115	   	253.38	橙橙2易伤1暴击	1最后敌人25易伤3暴击4双倍矿6赏金塔7掉矿8a核9赏金邻近
28	54131 22222	   	251.84	橙2易伤2矿等1等级1暴击	15矿等2挖尘3金币生成45易伤5序列升级6等级7暴击8最后敌人9双倍秒伤a核
29	54131 22251	   	251.84	橙2易伤2矿等1等级1暴击	15矿等2挖尘3金币生成45易伤5序列升级6等级7暴击8最后敌人9散射对绿a核
30	54131 22622	   	251.74	橙2易伤2矿等1等级1暴击	15矿等2挖尘3金币生成45易伤5序列升级6等级7暴击8基地爆炸9双倍秒伤a核
31	61623 21153	 * 	251.65	橙2易伤2等级1矿等1技能	1基地爆炸2a易伤3毒液对黄49等级5时间6矿等7核8技能
32	53532 11322	 * 	250.86	紫4易伤2矿等1等级	19矿等2时间39挖尘4789易伤5核6赏金邻近9序列升级a等级
33	31112 62426	   	250.29	橙3易伤2矿等1暴击	1最后敌人246易伤3雷电5暴击79矿等8时间a核
34	31323 62426	   	250.29	橙3易伤2矿等1暴击	1最后敌人246易伤3暴击5雷电79矿等8时间a核
35	32234 27744	 * 	250.20	橙橙1易伤1伤害	1最后敌人2全技能3低血量敌人4时间5加一6a核7伤害8平台9易伤
36	54131 11222	 * 	249.81	橙2易伤2矿等1伤害	15矿等2挖尘3金币生成45易伤5序列升级6时间7随机技能8核9全技能a伤害
37	54331 11222	   	249.81	橙2易伤2矿等1伤害	15矿等2挖尘3技能点45易伤5序列升级6时间7随机技能8核9全技能a伤害
