0	Index      	 *	Score 	Summary	Detail	
1	13113 53611	 * 	309.11	橙4易伤2矿等2等级	17等级2全技能3掉矿47矿等567a易伤7序列升级8随机技能9核
2	14352 12335	 * 	298.43	橙2易伤3等级2矿等1伤害1技能	149等级2加一3技能59易伤6掉矿7伤害89矿等9序列升级a核
3	14443 48641	 * 	292.21	橙橙1易伤1等级1技能1攻速1暴击	1等级2加一3毒气减费4暴击5多重对愈6攻速7a核8技能9易伤
4	13113 53613	   	289.94	橙3易伤2矿等2等级	17等级2全技能3掉矿47矿等567易伤7序列升级8随机技能9核a赏金塔
5	13113 53614	   	289.94	橙3易伤2矿等2等级	17等级2全技能3掉矿47矿等567易伤7序列升级8随机技能9核a低血量敌人
6	13113 53616	   	289.94	橙3易伤2矿等2等级	17等级2全技能3掉矿47矿等567易伤7序列升级8随机技能9核a敌人爆炸
7	13113 53612	   	289.84	橙3易伤2矿等2等级1挖怪	17等级2全技能3掉矿47矿等567易伤7序列升级8随机技能9核a挖怪
8	13113 53615	   	289.84	橙3易伤2矿等2等级	17等级2全技能3掉矿47矿等567易伤7序列升级8随机技能9核a基地爆炸
9	12362 74348	 * 	289.68	橙橙3攻速1等级1易伤	1等级239攻速4易伤5加一6金币生成7平台8a核
10	14635 44333	 * 	289.45	橙橙1等级1易伤1矿等	1等级2加一3易伤4矿等5雷电68核7策反9时间a随机技能
11	14635 43333	   	289.35	橙橙1等级1易伤1矿等	1等级2加一3易伤4矿等5雷电68核7核弹9时间a随机技能
12	14635 44334	   	289.07	橙橙1等级1易伤1矿等2时间	1等级2加一3易伤4矿等5雷电68核7策反9a时间
13	14635 43334	   	288.97	橙橙1等级1易伤1矿等2时间	1等级2加一3易伤4矿等5雷电68核7核弹9a时间
14	14635 44313	   	287.86	橙橙1等级1易伤1矿等1暴击	1等级2加一3易伤4矿等5雷电68核7策反9赏金塔a暴击
15	14635 43313	   	287.76	橙橙1等级1易伤1矿等1暴击	1等级2加一3易伤4矿等5雷电68核7核弹9赏金塔a暴击
16	11345 31622	 * 	286.44	橙3易伤2等级2伤害1矿等	16等级2立即金币3矿等49伤害56a易伤6序列升级7基地爆炸8核
17	14425 43214	   	285.81	橙橙1等级1矿等1伤害1技能	1等级2加一3毒气减费4核弹5技能6a核7随机技能8矿等9伤害
18	14475 43214	   	285.81	橙橙1等级1矿等1伤害1技能	1等级2加一3毒气减费4伤害5技能6a核7随机技能8矿等9核弹
19	13526 12162	 * 	285.17	橙3矿等2等级2攻速1伤害1卖塔	19等级2全技能3时间49攻速589矿等6卖塔7核9序列升级a伤害
20	11364 31621	   	284.90	橙2易伤2矿等1等级1伤害1技能	1等级2立即金币36矿等46易伤5技能6序列升级7基地爆炸8核9伤害a核弹
21	11364 31623	   	283.55	橙2易伤2矿等1等级1伤害1技能	1等级2立即金币36矿等46易伤5技能6序列升级7基地爆炸8核9伤害a全技能
22	13113 53516	   	282.91	橙3易伤2矿等2等级	17等级2全技能3掉矿47矿等567易伤7序列升级8雷电9双倍秒伤a核
23	14612 12122	   	282.66	橙3易伤2矿等2等级1卖塔	1a等级2加一35a易伤4全技能6卖塔7核8a矿等9双倍秒伤a序列升级
24	14635 44331	   	282.52	橙橙1等级1易伤1矿等	1等级2加一3易伤4矿等5雷电68核7策反9时间a敌人爆炸
25	14635 44324	   	282.52	橙橙1等级1易伤1矿等	1等级2加一3易伤4矿等5雷电68核7策反9最后敌人a时间
26	14635 43324	   	282.42	橙橙1等级1易伤1矿等	1等级2加一3易伤4矿等5雷电68核7核弹9最后敌人a时间
27	14635 44332	   	282.42	橙橙1等级1易伤1矿等1卖塔	1等级2加一3易伤4矿等5雷电68核7策反9时间a卖塔
28	13214 53362	   	282.42	橙橙1等级1易伤1矿等	1等级2全技能3策反4矿等5双倍物品6a核7爆破对壮8易伤9最后敌人
29	14635 43331	   	282.42	橙橙1等级1易伤1矿等	1等级2加一3易伤4矿等5雷电68核7核弹9时间a敌人爆炸
30	13623 15523	   	282.38	橙3易伤2矿等1等级1暴击	1等级2全技能3额外掉落458易伤69矿等7暴击a核
31	13214 53532	   	282.32	橙橙1易伤1等级1矿等	1等级2全技能3策反4矿等5双倍物品6a核7爆破对壮8雷电减费9易伤
32	14211 33663	   	282.32	橙橙1易伤1等级1矿等	1等级2加一3雷电减费4全技能5掉矿6易伤7金币生成8a核9矿等
33	14635 43332	   	282.32	橙橙1等级1易伤1矿等1卖塔	1等级2加一3易伤4矿等5雷电68核7核弹9时间a卖塔
34	13526 12163	 * 	282.00	橙3矿等2等级2攻速1技能1卖塔	19等级2全技能3时间49攻速589矿等6卖塔7核9序列升级a技能
35	14635 44323	   	281.15	橙橙1等级1易伤1矿等	1等级2加一3易伤4矿等5雷电68核7策反9最后敌人a随机技能
36	14635 44344	   	281.15	橙橙1等级1易伤1矿等	1等级2加一3易伤4矿等5雷电68核7策反9敌人爆炸a随机技能
37	14635 43323	   	281.05	橙橙1等级1易伤1矿等	1等级2加一3易伤4矿等5雷电68核7核弹9最后敌人a随机技能
38	14635 43344	   	281.05	橙橙1等级1易伤1矿等	1等级2加一3易伤4矿等5雷电68核7核弹9敌人爆炸a随机技能
39	12323 54352	 * 	280.49	橙橙2等级2攻速1暴击	15等级23攻速4暴击6全技能7基地爆炸8a核9寒冰对冰
40	12364 32326	 * 	280.17	橙2易伤1等级2攻速1矿等1伤害1技能	1等级23攻速4a易伤5技能6激光对冰7伤害8矿等9核
41	15264 72441	 * 	279.77	橙橙2伤害1等级1矿等	1等级2赏金塔3加一46伤害5双倍矿7a核8平台9矿等
