0	Index      	 *	Score 	Summary	Detail	
1	31134 65213	 * 	306.65	DCR|DCR|2VULN|1TLV|1LIT	1FEWX|2aVULN|3TLV|4LIT|5DUR|6MULHEA|78RCR|9LHND
2	42243 12341	 * 	304.97	DCR|DCR|2TLV|1VULN|1MLV|1CDMG	1CGEN|2MLV|37TLV|4GSSFST|5SNIFST|68RCR|9CDMG|aVULN
3	53135 24123	 * 	299.41	DCR|2VULN|2TLV|2LIT|2MLV	19VULN|2FEWX|39TLV|4aLIT|5CGEN|69MLV|7MBVNT|8RCR|9BPWR
4	52135 24123	   	299.31	DCR|2VULN|2TLV|2LIT|2MLV	19VULN|2DUST|39TLV|4aLIT|5CGEN|69MLV|7MBVNT|8RCR|9BPWR
5	31134 65221	   	294.00	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1FEWX|2VULN|3TLV|4LIT|5DUR|6MULHEA|78RCR|9AME|aCDMG
6	52133 11615	 * 	288.40	DCR|4VULN|2LIT|1TLV|1ASPD	1567VULN|2DUST|3TLV|48LIT|9ASPD|aRCR
7	31134 65212	   	288.22	DCR|DCR|1TLV|1LIT|1VULN|2DUR	1FEWX|2VULN|3TLV|4LIT|5aDUR|6MULHEA|78RCR|9LHND
8	51235 24144	 * 	285.99	DCR|3VULN|2TLV|2LIT	12aVULN|3aTLV|4FEWX|5LHND|6aLIT|7MBVNT|8RCR|9BBNT|aBPWR
9	33433 15251	   	284.43	DCR|DCR|1TLV|1LIT|1VULN|1CDMG	1FEWX|2CGEN|3CANTOX|4LHND|5LIT|6VULN|78RCR|9TLV|aCDMG
10	31136 53521	 * 	281.77	DCR|3VULN|3LIT|1TLV	1FEWX|267VULN|3TLV|49aLIT|5AART|8RCR
11	51213 23521	   	281.77	DCR|3VULN|3LIT|1TLV	127VULN|3TLV|4AART|5FEWX|69aLIT|8RCR
12	31134 65211	   	280.45	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2VULN|3TLV|4LIT|5DUR|6MULHEA|78RCR|9aLHND
13	31134 65232	   	280.45	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2VULN|3TLV|4LIT|5DUR|6MULHEA|78RCR|9RCVC|aLHND
14	31134 65223	   	280.34	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2VULN|3TLV|4LIT|5DUR|6MULHEA|78RCR|9AME|aCGEN
15	31134 65222	   	280.24	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2VULN|3TLV|4LIT|5DUR|6MULHEA|78RCR|9AME|aERES
16	31134 65233	   	280.20	DCR|DCR|1TLV|1LIT|1VULN|1SELL	1FEWX|2VULN|3TLV|4LIT|5DUR|6MULHEA|78RCR|9RCVC|aSELL
17	53135 24122	   	279.10	DCR|2VULN|2TLV|2MLV|1LIT	19VULN|2FEWX|39TLV|4LIT|5CGEN|69MLV|7MBVNT|8RCR|9BPWR|aRMIN
18	52135 24122	   	279.00	DCR|2VULN|2TLV|2MLV|1LIT	19VULN|2DUST|39TLV|4LIT|5CGEN|69MLV|7MBVNT|8RCR|9BPWR|aRMIN
19	53135 24121	   	279.00	DCR|2VULN|2TLV|2MLV|1LIT	19VULN|2FEWX|39TLV|4LIT|5CGEN|69MLV|7MBVNT|8RCR|9BPWR|aMDPS
20	53135 24124	   	279.00	DCR|2VULN|2TLV|2MLV|1LIT	19VULN|2FEWX|39TLV|4LIT|5CGEN|69MLV|7MBVNT|8RCR|9BPWR|aTSLHEL
21	52135 24121	   	278.90	DCR|2VULN|2TLV|2MLV|1LIT	19VULN|2DUST|39TLV|4LIT|5CGEN|69MLV|7MBVNT|8RCR|9BPWR|aMDPS
22	52135 24124	   	278.90	DCR|2VULN|2TLV|2MLV|1LIT	19VULN|2DUST|39TLV|4LIT|5CGEN|69MLV|7MBVNT|8RCR|9BPWR|aTSLHEL
23	51213 23553	   	277.64	DCR|3VULN|2LIT|1TLV|1ASPD	127VULN|3TLV|4AART|5FEWX|6aLIT|8RCR|9ASPD
