0	Index      	 *	Score 	Summary	Detail	
1	32512 52353	 * 	316.84	DCR|2VULN|2TLV|2LIT|2MLV|2DUR	18MLV|26VULN|38LIT|4CANARM|59DUR|78TLV|8BPWR|aRCR
2	32512 52363	   	309.07	DCR|2VULN|2TLV|2LIT|2MLV	18MLV|26VULN|38LIT|4CANARM|5DUR|78TLV|8BPWR|9FEWX|aRCR
3	32511 52353	   	309.07	DCR|2VULN|2TLV|2LIT|2MLV	18MLV|26VULN|38LIT|4CANARM|5FEWX|78TLV|8BPWR|9DUR|aRCR
4	32512 52333	   	308.97	DCR|2VULN|2TLV|2LIT|2MLV	18MLV|26VULN|38LIT|4CANARM|5DUR|78TLV|8BPWR|9DUST|aRCR
5	32512 52343	   	308.97	DCR|2VULN|2TLV|2LIT|2MLV	18MLV|26VULN|38LIT|4CANARM|5DUR|78TLV|8BPWR|9AEFBLL|aRCR
6	35221 15622	 * 	308.19	DCR|DCR|2LIT|1TLV|1MLV|1DMG|1ASPD	1MLV|2CRUSTR|3DMG|4TLV|5ASPD|6LHND|7aRCR|89LIT
7	31221 15622	   	308.09	DCR|DCR|2LIT|1TLV|1MLV|1DMG|1ASPD	1MLV|2GSSFST|3DMG|4TLV|5ASPD|6LHND|7aRCR|89LIT
8	31221 65622	   	308.09	DCR|DCR|2LIT|1TLV|1MLV|1DMG|1ASPD	1MLV|2GSSFST|3DMG|4TLV|5ASPD|6LWND|7aRCR|89LIT
9	34221 15622	   	308.09	DCR|DCR|2LIT|1TLV|1MLV|1DMG|1ASPD	1MLV|2GSSTOX|3DMG|4TLV|5ASPD|6LHND|7aRCR|89LIT
10	35221 35622	   	308.09	DCR|DCR|2LIT|1TLV|1MLV|1DMG|1ASPD	1MLV|2CRUSTR|3DMG|4TLV|5ASPD|6DUST|7aRCR|89LIT
11	31221 35622	   	307.99	DCR|DCR|2LIT|1TLV|1MLV|1DMG|1ASPD	1MLV|2GSSFST|3DMG|4TLV|5ASPD|6DUST|7aRCR|89LIT
12	34221 35622	   	307.99	DCR|DCR|2LIT|1TLV|1MLV|1DMG|1ASPD	1MLV|2GSSTOX|3DMG|4TLV|5ASPD|6DUST|7aRCR|89LIT
13	32451 13326	 * 	305.93	DCR|4VULN|3MLV|2TLV	135MLV|2689VULN|4TBNT|78TLV|8BPWR|aRCR
14	63744 61212	 * 	305.59	DCR|3VULN|3TLV|2LIT|1DMG	1MBVNT|27LIT|367TLV|4RCVC|567VULN|67BPWR|8DUR|9DMG|aRCR
15	63744 61332	 * 	304.69	DCR|4VULN|3TLV|2LIT	1MBVNT|27LIT|367TLV|4RCVC|5679VULN|67BPWR|8BBNT|aRCR
16	32542 51221	 * 	304.59	DCR|3LIT|3MLV|2VULN|3DMG|1CDMG	167MLV|28VULN|378LIT|467DMG|5AAC|678BPWR|9CDMG|aRCR
17	63322 24463	 * 	301.64	DCR|3VULN|2LIT|2DMG|1TLV	1MBVNT|27LIT|3FLTARM|47DMG|5AART|678VULN|7BPWR|9RCR|aTLV
18	35221 15163	 * 	301.45	DCR|DCR|2TLV|1MLV|1DMG|1ASPD	1MLV|2CRUSTR|3DMG|49TLV|5ASPD|6LHND|7aRCR|8RPLT
19	31221 15163	   	301.35	DCR|DCR|2TLV|1MLV|1DMG|1ASPD	1MLV|2GSSFST|3DMG|49TLV|5ASPD|6LHND|7aRCR|8RPLT
20	31221 65153	   	301.35	DCR|DCR|2TLV|1MLV|1DMG|1ASPD	1MLV|2GSSFST|3DMG|49TLV|5ASPD|6LWND|7aRCR|8RPLT
21	34221 15163	   	301.35	DCR|DCR|2TLV|1MLV|1DMG|1ASPD	1MLV|2GSSTOX|3DMG|49TLV|5ASPD|6LHND|7aRCR|8RPLT
22	35221 35153	   	301.35	DCR|DCR|2TLV|1MLV|1DMG|1ASPD	1MLV|2CRUSTR|3DMG|49TLV|5ASPD|6DUST|7aRCR|8RPLT
23	31221 35153	   	301.25	DCR|DCR|2TLV|1MLV|1DMG|1ASPD	1MLV|2GSSFST|3DMG|49TLV|5ASPD|6DUST|7aRCR|8RPLT
24	34221 35153	   	301.25	DCR|DCR|2TLV|1MLV|1DMG|1ASPD	1MLV|2GSSTOX|3DMG|49TLV|5ASPD|6DUST|7aRCR|8RPLT
25	63712 22431	 * 	300.94	DCR|4VULN|3LIT|1TLV	1MBVNT|279LIT|3TLV|479BASHEA|5AART|6789VULN|79BPWR|aRCR
26	63744 61444	   	300.59	DCR|4VULN|3TLV|2LIT	1MBVNT|27LIT|367TLV|4RCVC|5678VULN|67BPWR|9RCR|aTBNT
27	32511 52343	   	299.31	DCR|2VULN|2TLV|2LIT|2MLV	18MLV|26VULN|38LIT|4CANARM|5FEWX|78TLV|8BPWR|9AEFBLL|aRCR
28	63744 61441	   	295.03	DCR|4VULN|3TLV|2LIT	1MBVNT|27LIT|367TLV|4RCVC|5678VULN|67BPWR|9RCR|aZMB
29	63744 61443	   	295.03	DCR|4VULN|3TLV|2LIT	1MBVNT|27LIT|367TLV|4RCVC|5678VULN|67BPWR|9RCR|aDMSP
30	43423 14132	 * 	293.85	DCR|3VULN|2LIT|2MLV|1TLV	179VULN|2AME|39MLV|4CGEN|5TLV|69LIT|8RCR|9BPWR|aBBNT
31	15221 15622	   	292.82	DCR|DCR|2LIT|1TLV|1DMG|1ASPD	1CGEN|2CRUSTR|3DMG|4TLV|5ASPD|6LHND|7aRCR|89LIT
32	11221 15622	   	292.72	DCR|DCR|2LIT|1TLV|1DMG|1ASPD	1CGEN|2GSSFST|3DMG|4TLV|5ASPD|6LHND|7aRCR|89LIT
33	11221 65622	   	292.72	DCR|DCR|2LIT|1TLV|1DMG|1ASPD	1CGEN|2GSSFST|3DMG|4TLV|5ASPD|6LWND|7aRCR|89LIT
34	14221 15622	   	292.72	DCR|DCR|2LIT|1TLV|1DMG|1ASPD	1CGEN|2GSSTOX|3DMG|4TLV|5ASPD|6LHND|7aRCR|89LIT
35	15221 35622	   	292.72	DCR|DCR|2LIT|1TLV|1DMG|1ASPD	1CGEN|2CRUSTR|3DMG|4TLV|5ASPD|6DUST|7aRCR|89LIT
36	11221 35622	   	292.62	DCR|DCR|2LIT|1TLV|1DMG|1ASPD	1CGEN|2GSSFST|3DMG|4TLV|5ASPD|6DUST|7aRCR|89LIT
37	14221 35622	   	292.62	DCR|DCR|2LIT|1TLV|1DMG|1ASPD	1CGEN|2GSSTOX|3DMG|4TLV|5ASPD|6DUST|7aRCR|89LIT
38	32512 42353	   	290.64	DCR|2TLV|2LIT|2MLV|1VULN|2DUR	18MLV|2VULN|38LIT|4CANARM|59DUR|6RCVC|78TLV|8BPWR|aRCR
39	32612 51321	 * 	288.84	DCR|3LIT|3MLV|2VULN|3ASPD|1CDMG	167MLV|28VULN|378ASPD|467LIT|5AAC|678BPWR|9CDMG|aRCR
40	35221 23753	 * 	287.78	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1ASPD	1MLV|2CRUSTR|3DMG|4TLV|5ASPD|6DMSP|7MBVNT|89RCR|aVULN
41	31221 23753	   	287.68	DCR|DCR|1TLV|1VULN|1MLV|1DMG|1ASPD	1MLV|2GSSFST|3DMG|4TLV|5ASPD|6DMSP|7MBVNT|89RCR|aVULN
42	31221 35662	   	287.68	DCR|DCR|1TLV|1LIT|1MLV|1DMG|1ASPD	1MLV|2GSSFST|3DMG|4TLV|5ASPD|6DUST|7aRCR|8LIT|9RCVC
