0	Index      	 *	Score 	Summary	Detail	
1	36623 51213	 * 	248.68	紫3伤害2攻速1易伤2基地爆炸1基础对冰1技能	17基地爆炸27a伤害3易伤4雷电5核67攻速7序列升级8技能9基础对冰
2	33411 36433	 * 	242.66	紫2易伤3基地爆炸2攻速3暴击1全技能	139基地爆炸238暴击39序列升级4核5敌人爆炸69攻速79易伤a全技能
3	33411 31153	 * 	237.10	紫1基础对甲2攻速2基地爆炸2暴击1全技能	13基地爆炸23暴击3序列升级4核5敌人爆炸6a攻速7核弹8全技能9基础对甲
4	33416 31153	   	237.10	紫1基础对甲2攻速2基地爆炸2暴击1全技能	13基地爆炸23暴击3序列升级4核5最后敌人6a攻速7核弹8全技能9基础对甲
5	36623 51211	   	232.03	紫2攻速2伤害1易伤2基地爆炸1基础对冰1技能	17基地爆炸27伤害3易伤4雷电5核67攻速7序列升级8技能9基础对冰a时间
6	36623 51212	   	232.03	紫2攻速2伤害1易伤2基地爆炸1基础对冰1技能	17基地爆炸27伤害3易伤4雷电5核67攻速7序列升级8技能9基础对冰a金币生成
7	36623 51311	 * 	231.33	紫3攻速3基地爆炸2伤害1易伤1卖塔	179基地爆炸27伤害3易伤4雷电5核67a攻速7序列升级8卖塔
8	36623 51312	 * 	231.33	紫3伤害3基地爆炸2攻速1易伤1卖塔	179基地爆炸27a伤害3易伤4雷电5核67攻速7序列升级8卖塔
9	33411 32225	 * 	225.41	紫3攻速2伤害2基地爆炸2暴击	13基地爆炸23暴击3序列升级4核5敌人爆炸679攻速8a伤害
10	33416 32225	   	225.41	紫3攻速2伤害2基地爆炸2暴击	13基地爆炸23暴击3序列升级4核5最后敌人679攻速8a伤害
11	33413 24335	 * 	224.52	紫2基地爆炸1易伤1攻速1伤害1基础对冰2暴击1技能	13基地爆炸23暴击3序列升级4核5立即金币6技能7易伤8基础对冰9攻速a伤害
12	33411 36431	   	224.01	紫2易伤3基地爆炸2攻速3暴击	139基地爆炸238暴击39序列升级4核5敌人爆炸69攻速79易伤a金币生成
13	33411 36432	   	224.01	紫2易伤3基地爆炸2攻速3暴击	139基地爆炸238暴击39序列升级4核5敌人爆炸69攻速79易伤a额外掉落
14	12534 31111	 * 	223.17	紫2攻速2基地爆炸1易伤1伤害1全技能1暴击	13攻速2随机矿4核5a基地爆炸6易伤7暴击8全技能9伤害
