0	Index      	 *	Score 	Summary	Detail	
1	31422 16321	 * 	249.60	紫1基础对甲3基地爆炸2攻速2伤害	18a基地爆炸26攻速38金币生成4核58伤害7立即金币8序列升级9基础对甲
2	31422 16326	   	246.64	紫1基础对甲2攻速2伤害2基地爆炸1技能	18基地爆炸26攻速38金币生成4核58伤害7立即金币8序列升级9基础对甲a技能
3	31422 16322	   	238.23	紫1基础对甲2攻速2伤害2基地爆炸	18基地爆炸26攻速38金币生成4核58伤害7立即金币8序列升级9基础对甲a挖尘
4	31422 16323	   	238.23	紫1基础对甲2攻速2伤害2基地爆炸	18基地爆炸26攻速38金币生成4核58伤害7立即金币8序列升级9基础对甲a掉矿
5	31422 16325	   	238.23	紫1基础对甲2攻速2伤害2基地爆炸	18基地爆炸26攻速38金币生成4核58伤害7立即金币8序列升级9基础对甲a核弹
6	61422 16323	 * 	225.50	紫3攻速1基础对甲2伤害	18低血量敌人26a攻速38金币生成4核58伤害7立即金币8序列升级9基础对甲
7	51422 16323	   	225.30	紫3攻速1基础对甲2伤害	18挖尘26a攻速38金币生成4核58伤害7立即金币8序列升级9基础对甲
8	15522 16223	   	225.30	紫3攻速1基础对甲2伤害	1最后敌人26金币生成35伤害4核78a攻速9基础对甲
9	61422 16321	   	223.50	紫1基础对甲2攻速2伤害1基地爆炸	18低血量敌人26攻速38金币生成4核58伤害7立即金币8序列升级9基础对甲a基地爆炸
10	51422 16321	   	223.30	紫1基础对甲2攻速2伤害1基地爆炸	18挖尘26攻速38金币生成4核58伤害7立即金币8序列升级9基础对甲a基地爆炸
11	15522 16221	   	223.30	紫1基础对甲2攻速2伤害1基地爆炸	1最后敌人26金币生成35伤害4核78攻速9基础对甲a基地爆炸
12	31426 21335	 * 	221.12	紫3基地爆炸2攻速2伤害2易伤	16a基地爆炸2a攻速35金币生成4核79易伤8a伤害a序列升级
13	31421 16325	   	220.75	紫1基础对甲2攻速2基地爆炸1伤害	18基地爆炸26攻速38金币生成4核58策反7立即金币8序列升级9基础对甲a伤害
14	31426 13325	   	220.65	紫1基础对甲2攻速2基地爆炸1伤害	18基地爆炸28攻速3568金币生成4核7核弹8序列升级9基础对甲a伤害
15	31426 23225	   	220.45	紫1基础对甲2攻速2基地爆炸1伤害	16基地爆炸28攻速35金币生成4核7核弹9基础对甲a伤害
16	11422 31366	   	220.45	紫1基础对甲2攻速2基地爆炸1伤害	1最后敌人2a攻速3金币生成4核5伤害6a防空对甲7双倍秒伤8基础对甲9a基地爆炸a序列升级
17	31422 16135	 * 	219.85	紫3攻速3易伤2基地爆炸1伤害	1a基地爆炸26a攻速3金币生成4核5伤害7立即金币89a易伤a序列升级
