0	Index      	 *	Score 	Summary	Detail	
1	11311 66116	 * 	290.31	橙橙4易伤1伤害	1导弹对黄2最后敌人3579易伤4伤害6a核8双倍物品
2	11311 63116	 * 	288.73	橙橙3易伤2伤害	1导弹对黄2最后敌人359易伤47伤害6a核8双倍物品
3	11311 66136	   	288.73	橙橙3易伤2伤害	1导弹对黄2最后敌人357易伤49伤害6a核8双倍物品
4	53133 62163	 * 	281.45	橙橙2易伤1喷火对甲1等级	1立即金币2等级3随机技能4金币生成5双倍秒伤68易伤79核a喷火对甲
5	36261 32234	   	280.53	橙橙3易伤1矿等1全技能	156易伤2全技能3雷电4金币生成7a核8矿等9随机技能
6	36255 32233	   	280.43	橙橙3易伤1矿等1全技能	146易伤2全技能3雷电5随机矿7a核8矿等9掉矿
7	36515 32233	   	280.43	橙橙3易伤1矿等1全技能	136易伤2全技能4雷电5随机矿7a核8矿等9掉矿
8	33264 13432	   	271.95	橙橙2易伤1矿等1全技能1暴击	18易伤2暴击3全技能4矿等5敌人爆炸6a核7头目9掉矿
9	11311 63166	   	266.59	橙橙2易伤2伤害	1导弹对黄29最后敌人35易伤47伤害6a核8双倍物品
10	11314 63116	   	266.49	橙橙2易伤2伤害	1导弹对黄2最后敌人39易伤47伤害5暴雪减费6a核8双倍物品
11	36261 32334	   	264.83	橙橙3易伤1全技能	156易伤2全技能3雷电4金币生成7a核8技能点9随机技能
12	36255 32333	   	264.73	橙橙3易伤1全技能	146易伤2全技能3雷电5随机矿7a核8技能点9掉矿
13	36515 32333	   	264.73	橙橙3易伤1全技能	136易伤2全技能4雷电5随机矿7a核8技能点9掉矿
