0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11211 32526	10	 * 	274.72	DCR|2VULN|3DUR|2DMG|2CDMG|2LIT	1aLIT|25aDUR|36DMG|48VULN|7RCR|9aCDMG|aBPWR
2	12211 36146	10	 * 	265.47	DCR|3VULN|3DUR|3LIT|1TLV	189LIT|25FEWX|389VULN|4LHND|6TLV|789DUR|89BPWR|aRCR
3	12212 31146	10	   	265.47	DCR|3VULN|3DUR|3LIT|1TLV	189LIT|2FEWX|389VULN|47LHND|5TLV|689DUR|89BPWR|aRCR
4	13222 33465	1	 * 	264.76	DCR|3VULN|2DMG|1DUR|2LIT|1ASPD	1aLIT|2TBNT|36aVULN|4RMIN|5DUR|7ASPD|8aDMG|9RCR|aBPWR
5	11211 32522	10	   	264.68	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LIT|25DUR|36DMG|48VULN|7RCR|9CDMG|aTLV
6	11211 32625	9	   	264.68	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LIT|25DUR|36DMG|4aVULN|7RCR|8CDMG|9TLV
7	11233 15613	4	 * 	264.18	DCR|3VULN|3DUR|1DMG|2LIT	19LIT|269DUR|3DMG|4BEXP|569VULN|69BPWR|7RMIN|8RPLT|aRCR
8	11253 15613	4	   	264.18	DCR|3VULN|3DUR|1DMG|2LIT	19LIT|269DUR|3DMG|4FEWX|569VULN|69BPWR|7RMIN|8RPLT|aRCR
9	11211 32525	9	 * 	264.09	DCR|2VULN|3DMG|2DUR|1CDMG	1LIT|25DUR|36aDMG|48VULN|7RCR|9CDMG
10	11223 15613	4	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	19LIT|269DUR|3DMG|4DUST|569VULN|69BPWR|7RMIN|8RPLT|aRCR
11	11211 32333	7	 * 	263.66	DCR|2VULN|3DMG|3DUR	1LIT|259DUR|368DMG|4aVULN|7RCR
12	11161 52633	4	 * 	262.93	DCR|4VULN|2DUR|1TLV	1LIT|23DUR|4589VULN|6MLV|7RCR|aTLV
13	11243 34411	6	 * 	262.29	DCR|2VULN|3DMG|2DUR|3LIT	19aLIT|24DUR|349DMG|49BPWR|5RMIN|6RPLT|79VULN|8RCR
14	11211 32533	9	 * 	261.69	DCR|3VULN|2DMG|2DUR	1LIT|25DUR|36DMG|48aVULN|7RCR|9RPLT
15	11211 32621	8	   	261.66	DCR|2VULN|3DUR|2DMG|1CDMG	1LIT|259DUR|36DMG|4aVULN|7RCR|8CDMG
16	11211 32513	9	   	261.44	DCR|2VULN|3DMG|2DUR|1ASPD	1LIT|25DUR|36aDMG|48VULN|7RCR|9ASPD
17	33841 26317	1	 * 	260.94	DCR|4VULN|3DMG	148ZMB|2MBVNT|348DMG|48BPWR|589aVULN|6BBNT|7RCR
18	11211 32655	9	   	259.43	DCR|2VULN|2DMG|2DUR|1CDMG|1ASPD	1LIT|25DUR|36DMG|4aVULN|7RCR|8CDMG|9ASPD
19	11211 32515	9	   	259.01	DCR|2VULN|3DUR|2DMG|1ASPD	1LIT|25aDUR|36DMG|48VULN|7RCR|9ASPD
20	11211 32516	10	   	259.01	DCR|2VULN|3DUR|2DMG|1ASPD	1LIT|25aDUR|36DMG|48VULN|7RCR|9ASPD
21	21355 11423	10	 * 	258.78	DCR|3VULN|3DUR|2TLV|1NUKE|1AART	17LWND|24TLV|347DUR|47BPWR|579VULN|6NUKE|8AART|aRCR
22	13163 21616	1	 * 	258.27	DCR|3VULN|3DMG|3LIT	19aLIT|2TBNT|3CGEN|49aVULN|5LWND|6RCR|7ERES|89aDMG|9aBPWR
23	21532 26143	10	   	257.63	DCR|3VULN|3DUR|2TLV	189LWND|24TLV|389VULN|5LIT|6LHND|789DUR|89BPWR|aRCR
24	13236 32526	10	 * 	257.47	DCR|3VULN|2DMG|2CDMG|2LIT	1aLIT|2RCVC|36DMG|48aVULN|5LEGI|7RCR|9aCDMG|aBPWR
25	11243 34413	6	   	257.28	DCR|2VULN|3DMG|2DUR|2LIT	19LIT|24DUR|349DMG|49BPWR|5RMIN|6RPLT|79VULN|8RCR|aFEWX
26	11223 14513	4	   	257.23	DCR|3VULN|3DUR|1DMG	1LIT|268DUR|3DMG|4DUST|56aVULN|6BPWR|7TBNT|9RCR
27	11113 16312	2	   	257.08	DCR|2VULN|3DMG|2DUR|2LIT	19LIT|26DUR|378DMG|4LWND|56VULN|6BPWR|aRCR
28	11213 16312	3	   	257.08	DCR|2VULN|3DMG|2DUR|2LIT	19LIT|26DUR|378DMG|4LWND|56VULN|6BPWR|aRCR
29	11233 16312	4	   	257.08	DCR|2VULN|3DMG|2DUR|2LIT	19LIT|26DUR|378DMG|4BEXP|56VULN|6BPWR|aRCR
30	11243 34412	6	   	257.04	DCR|2VULN|3DMG|2DUR|2LIT|1SELL	19LIT|24DUR|349DMG|49BPWR|5RMIN|6RPLT|79VULN|8RCR|aSELL
31	11123 16332	2	   	256.98	DCR|2VULN|3DMG|2DUR|2LIT	16LIT|29DUR|378DMG|4LEGI|56VULN|6BPWR|aRCR
32	11211 32125	8	   	256.98	DCR|2VULN|3DMG|2DUR|2LIT	1aLIT|25DUR|36aDMG|4aVULN|7RCR|8LEGI|9TBNT|aBPWR
33	11211 32314	7	   	256.98	DCR|2VULN|3DMG|2DUR|2LIT	19LIT|25DUR|368DMG|4aVULN|7RCR
34	11215 16332	5	   	256.98	DCR|2VULN|3DMG|2DUR|2LIT	16LIT|29DUR|378DMG|46VULN|5LEGI|6BPWR|aRCR
35	11223 16312	4	   	256.98	DCR|2VULN|3DMG|2DUR|2LIT	19LIT|26DUR|378DMG|4DUST|56VULN|6BPWR|aRCR
36	11223 16332	3	   	256.98	DCR|2VULN|3DMG|2DUR|2LIT	16LIT|29DUR|378DMG|4LEGI|56VULN|6BPWR|aRCR
37	41361 31523	10	   	254.87	DCR|3VULN|3DUR|1TLV|1AART	18DUST|2TLV|3AART|489VULN|568DUR|7RMIN|8BPWR|aRCR
38	12153 51511	10	 * 	254.76	DCR|4VULN|3LIT|1DUR|1ASPD	156LIT|2FEWX|3DUR|457aVULN|5BPWR|8ASPD|9RCR
39	33841 26337	1	   	254.55	DCR|3VULN|3DMG|1DUR	148ZMB|2MBVNT|348DMG|48BPWR|58aVULN|6BBNT|7RCR|9DUR
40	33831 26331	1	   	254.45	DCR|3VULN|3DMG|1DUR	18ZMB|2MBVNT|348DMG|58aVULN|6BBNT|7RCR|8BPWR|9DUR
41	21522 26143	10	   	253.91	DCR|3VULN|3DUR|1TLV	189LWND|2TLV|389VULN|4RCVC|5LIT|6LHND|789DUR|89BPWR|aRCR
42	11213 65412	7	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT	19LIT|2DUR|39DMG|479VULN|5RMIN|6RPLT|8RCR|9BPWR|aZMB
43	11213 65413	7	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT	19LIT|2DUR|39DMG|479VULN|5RMIN|6RPLT|8RCR|9BPWR|aLHND
44	11223 13151	10	   	253.75	DCR|3VULN|2DMG|1DUR|2LIT	19LIT|2DUR|39DMG|4DUST|5RMIN|6LHND|7RCR|89aVULN|9BPWR
45	13163 26336	1	   	253.75	DCR|3VULN|2DMG|1TLV|2LIT	1aLIT|2TBNT|3CGEN|48aVULN|5LWND|6RCR|7TLV|9aDMG|aBPWR
46	11161 52315	4	   	253.51	DCR|3VULN|3DUR|1TLV	1LIT|238DUR|45aVULN|6MLV|7RCR|9TLV
47	31246 26111	10	   	253.28	DCR|3VULN|2DMG|2DUR	1ZMB|2ERES|35DUR|46DMG|789VULN|aRCR
48	11161 24512	4	   	253.23	DCR|4VULN|2DUR|2LIT	17LIT|23DUR|456aVULN|8RCR|9LWND
49	21552 33161	5	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1LWND|2TLV|359VULN|4LHND|6DMG|7aDUR|8RCR
50	11243 14313	5	 * 	251.92	DCR|3DMG|3DUR|1VULN|2ASPD	1LIT|246DUR|346DMG|46BPWR|5RMIN|7RCR|89ASPD|aVULN
51	15231 32526	10	 * 	251.22	DCR|2VULN|3DMG|3LIT|2CDMG	12aLIT|36aDMG|48VULN|5DUST|7RCR|9aCDMG|aBPWR
52	15232 32526	10	   	251.06	DCR|3VULN|2DMG|2LIT|1CDMG	12LIT|36DMG|48aVULN|5FEWX|7RCR|9CDMG
53	11133 63323	2	   	251.03	DCR|2VULN|2DMG|2DUR|1TLV	1LIT|27DUR|36DMG|45VULN|8RCR|9RCVC|aTLV
54	11211 32523	8	   	251.03	DCR|2VULN|2DMG|2DUR|1TLV	1LIT|25DUR|36DMG|48VULN|7RCR|9RCVC|aTLV
55	11211 32536	10	   	251.03	DCR|2VULN|2DMG|2DUR|1TLV	1LIT|25DUR|36DMG|48VULN|7RCR|9RPLT|aTLV
56	11211 32623	7	   	251.03	DCR|2VULN|2DMG|2DUR|1TLV	1LIT|25DUR|36DMG|48VULN|7RCR|9RCVC|aTLV
57	11213 63323	4	   	251.03	DCR|2VULN|2DMG|2DUR|1TLV	1LIT|27DUR|36DMG|45VULN|8RCR|9RCVC|aTLV
58	11233 63323	3	   	251.03	DCR|2VULN|2DMG|2DUR|1TLV	1LIT|27DUR|36DMG|45VULN|8RCR|9RCVC|aTLV
59	21412 32543	10	 * 	251.02	DCR|3VULN|2DMG|2TLV	19LWND|29TLV|36DMG|4RMIN|5LIT|7RCR|89aVULN|9BPWR
60	11161 52351	4	   	250.92	DCR|3VULN|3DUR|1CDMG	1LIT|238DUR|45aVULN|6MLV|7RCR|9CDMG
