0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61241 24113	8	 * 	279.10	DCR|4VULN|2DUR|1DMG|1ASPD|1AART	1ASPD|2aDUR|3459VULN|6DMG|7AART|8RCR
2	61252 16233	1	 * 	278.12	DCR|5VULN|2ASPD|1DMG|1AART	14ASPD|2AART|34589VULN|4BPWR|6RCR|7DMSP|aDMG
3	61241 42111	5	 * 	277.75	DCR|4VULN|2DUR|2ASPD|1AART	18ASPD|28DUR|3458VULN|6RMIN|7AART|8BPWR|9LIT|aRCR
4	61241 62111	6	   	277.75	DCR|4VULN|2DUR|2ASPD|1AART	18ASPD|28DUR|3458VULN|6RMIN|7AART|8BPWR|9LIT|aRCR
5	61252 16231	1	   	274.30	DCR|5VULN|2ASPD|1DUR|1AART	14ASPD|2AART|34589VULN|4BPWR|6RCR|7DMSP|aDUR
6	61241 31141	5	   	274.30	DCR|5VULN|1DMG|1DUR|1ASPD	1ASPD|2DUR|3458aVULN|6BBNT|7DMG|9RCR
7	61241 24121	9	   	271.78	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD|1AART	1ASPD|2DUR|345VULN|6DMG|7AART|8RCR|9TLV|aCDMG
8	61241 22522	9	   	271.35	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1ASPD|2aDUR|345VULN|6DMG|7LIT|8TLV|9RCR
9	61241 24123	8	 * 	269.69	DCR|3VULN|3DUR|1DMG|1ASPD|1AART	1ASPD|29aDUR|345VULN|6DMG|7AART|8RCR
10	61523 63333	2	 * 	269.63	DCR|2VULN|3DUR|3CDMG|2ASPD|1DMG	18ASPD|249DUR|348CDMG|48BPWR|5CGEN|6DMG|78VULN|aRCR
11	61523 63333	3	   	269.63	DCR|2VULN|3DUR|3CDMG|2ASPD|1DMG	18ASPD|249DUR|348CDMG|48BPWR|5CGEN|6DMG|78VULN|aRCR
12	61241 62133	8	 * 	269.58	DCR|4VULN|3ASPD|1DUR|2LIT	19aASPD|2DUR|3459VULN|6RMIN|79LIT|8RCR|9BPWR
13	61252 14313	1	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	14ASPD|2AART|3459VULN|4BPWR|6RCR|7aDUR|8CGEN
14	61252 16232	1	 * 	267.57	DCR|5VULN|3ASPD|1AART	14aASPD|2AART|34589VULN|4aBPWR|6RCR|7DMSP
15	64231 31253	2	   	266.84	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG	18ASPD|2CDMG|38ERES|4TLV|5aDUR|689VULN|7RCR|8BPWR
16	34211 32416	7	 * 	266.81	DCR|3VULN|3DUR|2DMG	128LWND|37aDUR|48DMG|568VULN|8BPWR|9RCR
17	62222 16418	8	 * 	266.53	DCR|3VULN|3ASPD|2DUR|2CDMG	126ASPD|3aCDMG|49aVULN|5aDUR|7MBVNT|8RCR|aBPWR
18	62222 16448	9	   	266.53	DCR|3VULN|3ASPD|2DUR|2CDMG	126ASPD|3aCDMG|49aVULN|5aDUR|7MBVNT|8RCR|aBPWR
19	61241 22115	7	 * 	265.31	DCR|3VULN|2DUR|2ASPD|1DMG	19ASPD|28DUR|345VULN|6DMG|7LIT|aRCR
20	61241 62131	8	 * 	265.06	DCR|4VULN|2ASPD|3LIT|1DUR	19ASPD|2DUR|3459VULN|6RMIN|79aLIT|8RCR|9BPWR
21	61241 31142	5	   	264.96	DCR|4VULN|2ASPD|1DMG|1DUR	1aASPD|2DUR|3458VULN|6BBNT|7DMG|9RCR
