0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21631 35233	8	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	17TLV|24RMIN|367VULN|57aDUR|7BPWR|8DMG|9RCR
2	23233 36314	1	 * 	267.12	DCR|4VULN|2DMG|2TLV	19TLV|2RPLT|3RMIN|4689VULN|59DMG|7RCVC|9BPWR|aRCR
3	23235 16314	1	   	267.12	DCR|4VULN|2DMG|2TLV	19TLV|2RPLT|3RMIN|4589VULN|69DMG|7RCVC|9BPWR|aRCR
4	24155 21323	2	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	17TLV|2CGEN|347DUR|57aVULN|6RCR|7BPWR|8RCVC|9CDMG
5	24355 21323	3	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	17TLV|2CGEN|347DUR|57aVULN|6RCR|7BPWR|8RCVC|9CDMG
6	22155 21323	1	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	17TLV|2ERES|347DUR|57aVULN|6RCR|7BPWR|8RCVC|9CDMG
7	24155 21313	2	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	17TLV|2CGEN|347DUR|579VULN|6RCR|7BPWR|8RCVC|aAART
8	24355 21313	3	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	17TLV|2CGEN|347DUR|579VULN|6RCR|7BPWR|8RCVC|aAART
9	22155 21313	1	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8RCVC|aAART
10	22155 21324	1	   	261.40	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	17TLV|2ERES|347DUR|57VULN|6RCR|7BPWR|8RCVC|9CDMG|aDMG
11	22155 21412	1	   	260.69	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8RMIN|aLIT
12	22155 21512	1	   	260.69	DCR|3VULN|3DUR|2TLV	17TLV|2ERES|347DUR|579VULN|6RCR|7BPWR|8MLV|aLIT
13	22124 25243	10	 * 	260.52	DCR|2VULN|2DMG|2TLV|2DUR	17TLV|2RCVC|3DMSP|4ASPD|57DUR|67VULN|7BPWR|89DMG|aRCR
14	21561 12844	8	 * 	260.10	DCR|4VULN|2TLV|2DUR	17TLV|2RMIN|3DLOT|479aVULN|57DUR|6MBVNT|7BPWR|8RCR
15	21631 35235	8	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|24RMIN|367VULN|57DUR|7BPWR|8DMG|9RCR|aZMB
16	21631 35231	8	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|24RMIN|367VULN|57DUR|7BPWR|8DMG|9RCR|aDUST
17	21631 35232	8	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	17TLV|24RMIN|367VULN|57DUR|7BPWR|8DMG|9RCR|aMBVNT
18	22415 21352	3	 * 	259.22	DCR|3VULN|2TLV|2DUR|2CDMG	17TLV|2RCVC|3CGEN|47DUR|579VULN|6RCR|7BPWR|8aCDMG
19	24115 21352	2	   	259.22	DCR|3VULN|2TLV|2DUR|2CDMG	17TLV|2CGEN|37DUR|4RCVC|579VULN|6RCR|7BPWR|8aCDMG
20	24315 21352	3	   	259.22	DCR|3VULN|2TLV|2DUR|2CDMG	17TLV|2CGEN|37DUR|4RCVC|579VULN|6RCR|7BPWR|8aCDMG
21	22115 21352	1	   	259.12	DCR|3VULN|2TLV|2DUR|2CDMG	17TLV|2ERES|37DUR|4RCVC|579VULN|6RCR|7BPWR|8aCDMG
22	26363 13343	2	 * 	257.49	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	19TLV|2FEWX|39CDMG|4DUR|56DMG|7TBNT|89VULN|9BPWR|aRCR
23	21361 26126	8	 * 	257.16	DCR|2VULN|3DUR|2DMG|1TLV	1TLV|2RMIN|345DUR|67DMG|89VULN|aRCR
24	22124 25233	8	   	256.16	DCR|2VULN|3DUR|2TLV|1DMG	17TLV|2RCVC|3DMSP|4ASPD|57aDUR|67VULN|7BPWR|8DMG|9RCR
25	23643 72441	9	 * 	254.27	ACR|3VULN|2DMG|3TLV|2DUR|1AART	17aTLV|2RCR|3AART|4MBVNT|57aVULN|67DMG|7aBPWR|8BEXP|9aDUR
