0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41513 63332	8	 * 	276.33	DCR|3VULN|2DMG|2TLV|1CDMG	1ASPD|289VULN|3LIT|4LHND|58DMG|6CDMG|78TLV|8BPWR|aRCR
2	41311 72163	4	 * 	273.64	DCR|5VULN|3DUR|2ASPD	19ASPD|25679VULN|3MBVNT|489DUR|9BPWR|aRCR
3	41453 13312	8	 * 	270.88	DCR|4VULN|1TLV|3ASPD|1DUR|1AART	146ASPD|2456VULN|3AART|46BPWR|7LWND|8TLV|9RCR|aDUR
4	22531 12662	9	   	270.59	DCR|3VULN|2DMG|2TLV|2LIT|1AART	1aLIT|29aVULN|34DMG|5BEXP|6aTLV|7AART|8RCR|aBPWR
5	11332 25611	1	 * 	266.93	DCR|5VULN|3DMG	159BEXP|24589VULN|3RPLT|59BPWR|679DMG|aRCR
6	41312 42477	8	 * 	266.83	DCR|3DMG|3DUR|1VULN|1TLV|3ASPD	178ASPD|2VULN|3MBVNT|478DUR|5RPLT|678DMG|78BPWR|9TLV|aRCR
7	22513 63332	8	   	266.59	DCR|3VULN|2TLV|1DMG|2ASPD|1CDMG	1LIT|289VULN|3DMG|4LHND|58ASPD|6CDMG|78TLV|8BPWR|aRCR
8	22513 63342	9	   	266.59	DCR|3VULN|2TLV|1DMG|2ASPD|1CDMG	1LIT|289VULN|3DMG|4LHND|58ASPD|6CDMG|78TLV|8BPWR|aRCR
9	14262 11351	2	 * 	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|3789VULN|4DUR|5TLV|6RCR|aASPD
10	16262 11351	1	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|3789VULN|4DUR|5TLV|6RCR|aASPD
11	41162 11351	2	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1ASPD|2789VULN|3BEXP|4DUR|5TLV|6RCR|aDMG
12	43322 11351	1	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1ASPD|2TLV|3DUR|4789VULN|5BEXP|6RCR|aDMG
13	22234 23184	2	 * 	264.36	DCR|3VULN|3DUR|1TLV|3LIT	19aLIT|29aVULN|3BEXP|4RMIN|5MBVNT|6TLV|79aDUR|8RCR|9aBPWR
14	22334 23184	3	   	264.36	DCR|3VULN|3DUR|1TLV|3LIT	19aLIT|29aVULN|3BEXP|4RMIN|5MBVNT|6TLV|79aDUR|8RCR|9aBPWR
15	24234 23184	1	   	264.36	DCR|3VULN|3DUR|1TLV|3LIT	19aLIT|29aVULN|3BEXP|4RMIN|5MBVNT|6TLV|79aDUR|8RCR|9aBPWR
16	41453 13311	8	   	262.94	DCR|4VULN|1TLV|3ASPD|1AART	146ASPD|2456VULN|3AART|46BPWR|7LWND|8TLV|9RCR|aLIT
17	41414 22313	10	   	262.59	DCR|3VULN|2DUR|1TLV|1CDMG|1AART	1ASPD|257VULN|3AART|4CDMG|6TLV|8aDUR|9RCR
