0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36122 52224	5	 * 	302.21	DCR|4VULN|3DMG|3DUR	128DUR|348aVULN|5AART|678DMG|8BPWR|9RCR
2	14122 15224	5	 * 	292.74	DCR|5VULN|3DMG|2ASPD	18ASPD|268DMG|3468aVULN|5AART|68BPWR|7RCR|9RMIN
3	32321 41241	3	 * 	290.26	DCR|3VULN|3DUR|2DMG|1TLV	139DUR|2ASPD|4MBVNT|589VULN|69DMG|7RCR|9BPWR|aTLV
4	12112 15224	5	 * 	290.14	DCR|4VULN|3DMG|3ASPD	128ASPD|368DMG|4689VULN|5AART|68BPWR|7RCR|aLIT
5	14122 15241	6	   	289.70	DCR|4VULN|3DMG|3ASPD|2AART	18aASPD|28aDMG|348aVULN|56AART|7RCR|8aBPWR|9RPLT
6	42122 15241	6	   	289.70	DCR|4VULN|3DMG|3ASPD|2AART	18aDMG|28aASPD|348aVULN|56AART|7RCR|8aBPWR|9RPLT
7	36122 52223	5	   	289.47	DCR|3VULN|3DMG|3DUR	128DUR|348VULN|5AART|678DMG|8BPWR|9RCR|aLIT
8	36533 22224	7	   	288.93	DCR|3VULN|3DMG|3DUR|2AART	128DUR|348DMG|57AART|68aVULN|8BPWR|9RCR
9	36122 22225	6	 * 	287.21	DCR|5VULN|3DUR|1DMG	128DUR|34789VULN|5AART|6RCR|8BPWR|aDMG
10	42122 15224	5	 * 	284.52	DCR|5VULN|2DMG|3ASPD	18DMG|268ASPD|3468aVULN|5AART|68BPWR|7RCR|9RMIN
11	21131 31445	8	 * 	283.69	DCR|5VULN|3DUR|1TLV	189DUST|2RCVC|34589VULN|689DUR|7RCR|89BPWR|aTLV
12	43121 33553	9	 * 	283.27	DCR|4VULN|2DMG|2TLV|1DUR	19DMG|2MLV|3459VULN|6DUR|7ERES|89TLV|9BPWR|aRCR
13	42122 15212	6	   	282.27	DCR|4VULN|3DMG|2AART|2ASPD	18aDMG|28ASPD|348aVULN|56AART|7RCR|8aBPWR|9aLHND
14	42122 15262	6	   	282.27	DCR|4VULN|3DMG|2AART|2ASPD	18aDMG|28ASPD|348aVULN|56AART|7RCR|8aBPWR|9aFEWX
15	36137 47141	4	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	129DUR|379VULN|4MBVNT|5RMIN|69DMG|8RCR|9BPWR|aTLV
16	12112 15221	5	   	281.83	DCR|4VULN|3DMG|3ASPD	128ASPD|368DMG|4689VULN|5AART|68BPWR|7RCR|aDMSP
17	12112 15223	5	   	281.83	DCR|4VULN|3DMG|3ASPD	128ASPD|368DMG|4689VULN|5AART|68BPWR|7RCR|aFEWX
