0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11333 43124	1	 * 	276.04	DCR|4VULN|2DUR|2ASPD|1TLV	1aCGEN|2aDUR|3469VULN|5TLV|7RCR|8aASPD|aBPWR
2	54313 52131	1	 * 	273.49	DCR|4VULN|2DUR|2CDMG|2LIT	1359VULN|25DUR|4RPLT|59BPWR|69LIT|79CDMG|8RCR|aZMB
3	54313 52132	1	   	273.49	DCR|4VULN|2DUR|2CDMG|2LIT	1359VULN|25DUR|4RPLT|59BPWR|69LIT|79CDMG|8RCR|aCGEN
4	54313 52133	1	   	273.39	DCR|4VULN|2DUR|2CDMG|2LIT	1359VULN|25DUR|4RPLT|59BPWR|69LIT|79CDMG|8RCR|aDUST
5	53142 13623	1	 * 	272.18	DCR|4VULN|1DMG|2CDMG|2LIT|1AART	1589VULN|2BBNT|3DMG|48LIT|6AART|78CDMG|8BPWR|aRCR
6	11333 43344	1	 * 	268.20	DCR|4VULN|2DUR|2TLV|1AART	1aCGEN|29DUR|346aVULN|5aTLV|7RCR|8AART|aBPWR
7	54313 52121	1	 * 	267.27	DCR|3VULN|3DUR|1TLV|1CDMG	135VULN|259DUR|4RPLT|5BPWR|6LIT|7CDMG|8RCR|aTLV
8	11333 43114	1	 * 	266.62	DCR|3VULN|3DUR|2ASPD|1TLV	1aCGEN|29aDUR|346VULN|5TLV|7RCR|8aASPD|aBPWR
9	15163 33152	6	 * 	264.84	DCR|5VULN|2ASPD|1TLV	19CGEN|2469aVULN|34LHND|49BPWR|5TLV|7RCR|89ASPD
10	42363 33152	6	   	264.84	DCR|5VULN|2ASPD|1TLV	19LHND|2469aVULN|34CGEN|49BPWR|5TLV|7RCR|89ASPD
11	51125 23241	8	 * 	263.14	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	15aVULN|2LHND|3NUKE|4RMIN|6aDUR|7AART|8RCR|9aDMG|aBPWR
12	53125 23241	8	   	263.14	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	15aVULN|2LWND|3NUKE|4RMIN|6aDUR|7AART|8RCR|9aDMG|aBPWR
13	11333 43346	1	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1CGEN|29DUR|346VULN|5TLV|7RCR|8AART|aDMG
14	54223 43332	8	 * 	261.44	DCR|4VULN|2DMG|1DUR	167aVULN|2RCVC|39DMG|4DMSP|5DUR|8RCR
15	54233 43332	8	   	261.44	DCR|4VULN|2DMG|1DUR	167aVULN|24RCVC|39DMG|5DUR|8RCR
16	11333 43334	1	   	261.38	DCR|4VULN|2TLV|2AART|1DUR	1aCGEN|2DUR|346aVULN|5aTLV|7RCR|89AART|aBPWR
17	26323 23562	7	   	259.93	DCR|3VULN|3DUR|2ASPD|1AART	1RMIN|2LEGI|38ASPD|458DUR|6AART|78aVULN|8BPWR|9RCR
18	53213 22353	8	 * 	258.96	DCR|3VULN|2DMG|2TLV|1DUR	18aVULN|2LWND|3RMIN|48TLV|5DUR|6FEWX|78DMG|8BPWR|9RCR
19	16312 31166	6	 * 	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	1CGEN|29CDMG|3DUR|4LHND|589VULN|6FEWX|79DMG|9BPWR|aRCR
20	26113 22353	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	1RMIN|2LEGI|38aVULN|48TLV|5DUR|6FEWX|78DMG|8BPWR|9RCR
