0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61125 11142	7	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	1LEGI|2aTLV|37DUR|49aVULN|5aDMG|6RCR|8DMSP|aBPWR
2	16421 34123	5	 * 	270.81	ACR|4VULN|3DMG|2DUR|3ASPD|1NUKE	168DMG|2RPLT|3NUKE|468aVULN|5RCR|68aBPWR|78aASPD|9aDUR
3	61121 42211	4	 * 	270.27	DCR|5VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|4569aVULN|6BPWR|7BBNT|8RCR
4	61161 42211	3	   	270.27	DCR|5VULN|2DUR|1TLV	1LEGI|2TLV|36DUR|4569aVULN|6BPWR|7BBNT|8RCR
5	61422 13362	7	 * 	267.02	DCR|4VULN|2DMG|2TLV	1LEGI|2aTLV|3LHND|467aVULN|5RCVC|8aDMG|9RCR|aBPWR
6	61423 13362	7	   	267.02	DCR|4VULN|2DMG|2TLV	1LEGI|2aTLV|3LHND|467aVULN|5DMSP|8aDMG|9RCR|aBPWR
7	66122 13362	7	   	267.02	DCR|4VULN|2DMG|2TLV	1LEGI|267aVULN|3ZMB|4aTLV|5RMIN|8aDMG|9RCR|aBPWR
8	16421 14122	6	 * 	266.08	ACR|4VULN|3DMG|1TLV|3ASPD|1NUKE	189DMG|2RPLT|3NUKE|4689VULN|5RCR|789ASPD|89BPWR|aTLV
9	61121 42215	4	 * 	265.15	DCR|4VULN|3DUR|1TLV	1LEGI|2TLV|36aDUR|4569VULN|6BPWR|7BBNT|8RCR
10	61121 22234	9	 * 	264.16	DCR|3VULN|3DUR|1TLV|1DMG	1LEGI|2TLV|356DUR|479VULN|8DMG|aRCR
11	66312 31242	2	 * 	263.67	DCR|4VULN|2DMG|2DUR	1LEGI|249aVULN|34MLV|4aBPWR|5aDMG|6RCR|7RCVC|8aDUR
12	13312 44261	4	 * 	263.45	DCR|4VULN|3DMG|2LIT	136DMG|27BEXP|47LIT|5678VULN|67BPWR|9RCR|aCGEN
13	13312 44262	4	   	263.45	DCR|4VULN|3DMG|2LIT	136DMG|27BEXP|47LIT|5678VULN|67BPWR|9RCR|aFEWX
14	13312 44263	4	   	263.35	DCR|4VULN|3DMG|2LIT	136DMG|27BEXP|47LIT|5678VULN|67BPWR|9RCR|aTBNT
15	61125 16213	7	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47aVULN|57DMG|6RCR|7BPWR|8FEWX|9LHND
16	61125 16213	8	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47aVULN|57DMG|6RCR|7BPWR|8LWND|9LHND
17	61125 16223	7	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47aVULN|57DMG|6RCR|7BPWR|8FEWX|9LWND
18	61125 16223	8	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47aVULN|57DMG|6RCR|7BPWR|89LWND
19	61125 16313	8	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47aVULN|57DMG|6RCR|7BPWR|8CGEN|9RMIN
20	61125 16113	8	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47aVULN|57DMG|6RCR|7BPWR|8ERES|9RMIN
21	61125 16133	9	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47aVULN|57DMG|6RCR|7BPWR|8ERES|9CGEN
22	61125 16313	7	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47aVULN|57DMG|6RCR|7BPWR|8DUST|9LHND
23	61125 16323	7	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47aVULN|57DMG|6RCR|7BPWR|8DUST|9LWND
24	61125 16333	8	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1LEGI|27TLV|3DUR|47aVULN|57DMG|6RCR|7BPWR|8CGEN|9ERES
25	61124 42211	5	 * 	260.00	DCR|4VULN|2TLV|2DUR	1LEGI|25TLV|36DUR|469aVULN|6BPWR|7BBNT|8RCR
26	16233 63325	2	 * 	258.27	DCR|3VULN|3DMG|2DUR	159DMG|2RPLT|359VULN|4BBNT|59BPWR|6ZMB|7CGEN|89DUR|aRCR
27	16215 12136	7	   	258.27	DCR|3VULN|3DMG|2DUR	158DMG|2RPLT|36DUR|48LHND|78aVULN|8BPWR|9RCR
28	12413 26121	1	   	257.81	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG|1SELL	1aDMG|2TLV|3SELL|4aLIT|5DUR|6RPLT|7CDMG|8aVULN|9RCR|aBPWR
