0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41231 25411	10	 * 	281.75	DCR|4VULN|2DUR|2TLV|1CDMG|1AART	1aTLV|259aVULN|3DUST|4AART|6RCR|7CDMG|8aDUR|aBPWR
2	31622 62353	5	 * 	281.60	DCR|4VULN|3DUR|1TLV|1CDMG	1LWND|2458VULN|34aDUR|4BPWR|6TLV|7CDMG|9RCR
3	31622 33523	6	 * 	281.10	DCR|5VULN|3DUR|1AART	18LWND|24578VULN|348DUR|48BPWR|6AART|9CGEN|aRCR
4	31623 32643	5	 * 	280.34	DCR|3VULN|3DMG|2DUR|1ASPD	17LWND|247VULN|34DUR|47BPWR|5LHND|678DMG|9ASPD|aRCR
5	31622 53114	7	 * 	280.07	DCR|4VULN|3DUR|1DMG	1LWND|2458VULN|346DUR|4BPWR|7DMG|9LIT|aRCR
6	22121 52426	8	 * 	278.43	DCR|3VULN|3DMG|3LIT|2CDMG	137LIT|2RCVC|379BPWR|479DMG|579VULN|6RMIN|89CDMG|aRCR
7	22121 52436	10	   	278.43	DCR|3VULN|3DMG|3LIT|2CDMG	137LIT|2RCVC|37aBPWR|47aDMG|57aVULN|6RMIN|8aCDMG|9RCR
8	31432 22136	4	 * 	278.18	DCR|5VULN|3ASPD|2CDMG	17aLWND|2467aVULN|345ASPD|47aBPWR|8aCDMG|9RCR
9	21521 26533	1	 * 	277.47	DCR|2VULN|2DMG|3ASPD|2DUR|3LIT	127LIT|3aVULN|47DMG|57aASPD|6RPLT|7aBPWR|8RCR|9aDUR
10	31622 53252	7	   	275.03	DCR|3VULN|3DUR|1DMG|1TLV|1AART	1LWND|245VULN|346DUR|4BPWR|7DMG|8TLV|9RCR|aAART
11	22121 66623	5	 * 	274.91	DCR|4VULN|2DMG|3LIT|1AART	137LIT|2RCVC|37BPWR|47DMG|5789VULN|6AART|aRCR
12	11414 72783	3	 * 	274.76	ACR|4VULN|2DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4RCR|57DUR|679aVULN|7aBPWR|8aDMG
13	11444 72783	4	   	274.76	ACR|4VULN|2DMG|3ASPD|2DUR	1RCVC|2MBVNT|37aASPD|4RCR|57DUR|679aVULN|7aBPWR|8aDMG
14	22221 66316	5	   	273.39	DCR|4VULN|2DUR|2TLV|2LIT	18LIT|2RCVC|34TLV|589aVULN|68DUR|7RCR|8BPWR
15	42451 31247	7	 * 	272.02	DCR|3VULN|3DMG|3TLV|1CDMG	139TLV|2MBVNT|39aBPWR|49aVULN|5CDMG|6RCR|7aZMB|89aDMG
16	31622 65112	6	   	271.76	DCR|4VULN|3DUR|1DMG	1LWND|2458VULN|34aDUR|4BPWR|6BEXP|7RCR|9DMG
17	41533 33361	5	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2567VULN|3ASPD|4RPLT|8DUR|9DMG|aRCR
18	31622 14314	8	   	271.01	DCR|4VULN|3DUR|1ASPD	1LWND|2457VULN|348DUR|4BPWR|6ASPD|9LIT|aRCR
19	16113 33521	3	 * 	269.87	DCR|3VULN|2DMG|2ASPD|1DUR|1AART	1RCVC|28DMG|3AART|4DUR|58ASPD|678VULN|8BPWR|9RPLT|aRCR
20	31624 22432	4	   	269.77	DCR|4VULN|3DUR|1AART	1LWND|245aVULN|345DUR|45BPWR|6AART|7CGEN|8RCR|9LIT
21	26882 23111	1	   	269.31	DCR|3VULN|3DMG|1DUR|2LIT	1aLIT|2MBVNT|39aDMG|4ERES|5DUR|68aVULN|7RCR|aBPWR
22	31623 32313	5	   	269.24	DCR|3VULN|3DMG|2DUR|1NUKE	17LWND|247VULN|34DUR|47BPWR|5LHND|679DMG|8NUKE|aRCR
