0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53313 35131	1	 * 	292.88	DCR|5VULN|2DUR|2ASPD|1CDMG	1CDMG|2359aVULN|45ASPD|5BPWR|68DUR|7RCR
2	32136 23473	6	 * 	292.05	DCR|4VULN|3DUR|3ASPD|1AART|1SELL	1SELL|28aDUR|38aASPD|489aVULN|5AART|6MBVNT|7RCR|8aBPWR
3	32512 52422	9	 * 	284.20	DCR|4VULN|2DUR|1DMG|1TLV|1AART|1SELL	1SELL|28DUR|3458VULN|6AART|7RCR|8BPWR|9DMG|aTLV
4	53353 11611	1	 * 	282.79	DCR|4VULN|2DMG|2CDMG|2AART	19CDMG|2379VULN|46AART|59DMG|8RCR|9BPWR|aCGEN
5	53353 11612	1	   	282.79	DCR|4VULN|2DMG|2CDMG|2AART	19CDMG|2379VULN|46AART|59DMG|8RCR|9BPWR|aLWND
6	53353 11613	1	   	282.69	DCR|4VULN|2DMG|2CDMG|2AART	19CDMG|2379VULN|46AART|59DMG|8RCR|9BPWR|aERES
7	32135 21646	8	 * 	282.29	DCR|4VULN|3DUR|3ASPD|1SELL	1SELL|269DUR|359ASPD|4579VULN|59BPWR|8MBVNT|aRCR
8	33132 81146	6	 * 	282.29	DCR|4VULN|3DUR|3ASPD|1SELL	1SELL|2469VULN|369ASPD|5MBVNT|69BPWR|789DUR|aRCR
9	33353 11615	2	 * 	282.02	DCR|5VULN|2DMG|2AART|1SELL	1SELL|2379aVULN|46AART|59DMG|8RCR|9BPWR
10	32512 52422	10	 * 	281.60	DCR|4VULN|2DUR|1DMG|1CDMG|1AART|1SELL	1SELL|28DUR|3458VULN|6AART|7RCR|8BPWR|9DMG|aCDMG
11	32512 25431	5	 * 	280.74	DCR|5VULN|2DMG|1DUR|1SELL	1SELL|2DUR|3459aVULN|68DMG|7RCR
12	33133 35131	4	   	278.98	DCR|5VULN|2DUR|2ASPD|1SELL	1SELL|2459aVULN|35ASPD|5BPWR|68DUR|7RCR
13	33313 35131	2	   	278.98	DCR|5VULN|2DUR|2ASPD|1SELL	1SELL|2359aVULN|45ASPD|5BPWR|68DUR|7RCR
14	33132 81273	6	 * 	278.72	DCR|4VULN|3ASPD|2DUR|1AART|1SELL	1SELL|246aVULN|36aASPD|5MBVNT|6aBPWR|7aDUR|8AART|9RCR
15	33133 35233	4	 * 	278.72	DCR|4VULN|3ASPD|2DUR|1AART|1SELL	1SELL|245aVULN|35aASPD|5aBPWR|6aDUR|7RCR|8AART|9LEGI
16	33313 35233	2	 * 	278.72	DCR|4VULN|3ASPD|2DUR|1AART|1SELL	1SELL|235aVULN|45aASPD|5aBPWR|6aDUR|7RCR|8AART|9LEGI
17	33133 36263	4	 * 	278.58	DCR|4VULN|3ASPD|2DUR|1AART|2SELL	17SELL|245aVULN|35aASPD|5aBPWR|6aDUR|8AART|9RCR
18	33313 36263	2	 * 	278.58	DCR|4VULN|3ASPD|2DUR|1AART|2SELL	17SELL|235aVULN|45aASPD|5aBPWR|6aDUR|8AART|9RCR
19	13411 64122	8	 * 	277.98	DCR|5VULN|3ASPD|1DMG	179ERES|2DMG|379ASPD|45679VULN|79BPWR|8BELT|aRCR
20	42113 61133	8	   	277.89	DCR|4VULN|2DMG|1TLV|1DUR	18FEWX|2568VULN|3DUR|4TLV|78DMG|8BPWR|9RPLT|aRCR
21	64333 35131	4	 * 	277.88	DCR|5VULN|2DUR|2CDMG|1NUKE	1NUKE|2459aVULN|35CDMG|5BPWR|68DUR|7RCR
22	53316 52123	1	   	277.75	DCR|4VULN|2DUR|2CDMG|1ASPD	19CDMG|2379VULN|4ASPD|5LIT|6MBVNT|89DUR|9BPWR|aRCR
23	32512 25131	5	 * 	277.73	DCR|5VULN|2DUR|1DMG|1SELL	1SELL|28DUR|3459aVULN|6DMG|7RCR
24	53313 35252	1	   	276.61	DCR|3VULN|2DUR|2ASPD|1TLV|1CDMG|1AART	1CDMG|235VULN|45ASPD|5BPWR|69DUR|7RCR|8AART|aTLV
25	53313 35233	1	 * 	276.29	DCR|3VULN|3ASPD|2DUR|2CDMG|1AART	1aCDMG|235VULN|45aASPD|5aBPWR|6aDUR|7RCR|8AART|9LEGI
26	32535 35131	5	 * 	275.88	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|28DUR|359aVULN|45DMG|5BPWR|6DMSP|7RCR
27	32511 25431	5	 * 	275.78	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|25DUR|349aVULN|68DMG|7RCR
28	32512 52432	9	   	275.14	DCR|4VULN|2DUR|1TLV|1ASPD|1AART|1SELL	1SELL|28DUR|3458VULN|6AART|7RCR|8BPWR|9ASPD|aTLV
29	53322 25431	1	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1CDMG|239aVULN|4RCVC|5DUR|68DMG|7RCR
30	53323 35431	1	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1CDMG|239aVULN|4RCVC|58DMG|6DUR|7RCR
31	53313 35213	1	 * 	274.93	DCR|4VULN|2ASPD|2CDMG|1DUR|1AART	1aCDMG|235aVULN|45ASPD|5aBPWR|6DUR|7RCR|8AART|9aLWND
32	32512 52412	9	 * 	274.77	DCR|4VULN|3DUR|1CDMG|1AART|1SELL	1SELL|28aDUR|3458VULN|6AART|7RCR|8BPWR|9CDMG
33	32512 16343	9	 * 	274.44	DCR|4VULN|2DUR|1DMG|1TLV|1SELL	1SELL|26DUR|345aVULN|7RCR|8TLV|9DMG
34	33132 87123	7	   	274.40	DCR|4VULN|2DUR|2ASPD|2LIT|1SELL	1SELL|2469VULN|36ASPD|5MBVNT|69BPWR|79LIT|89DUR|aRCR
35	33353 61611	2	 * 	274.25	DCR|5VULN|2DMG|1AART|1SELL	1SELL|23679VULN|4AART|59DMG|8RCR|9BPWR|aLHND
36	33353 61612	2	 * 	274.25	DCR|5VULN|2DMG|1AART|1SELL	1SELL|23679VULN|4AART|59DMG|8RCR|9BPWR|aLWND
37	33353 61613	2	 * 	274.25	DCR|5VULN|2DMG|1AART|1SELL	1SELL|23679VULN|4AART|59DMG|8RCR|9BPWR|aRMIN
38	53313 35242	1	   	274.14	DCR|3VULN|2ASPD|1DMG|1DUR|1CDMG|1AART	1CDMG|235VULN|45ASPD|5BPWR|6DUR|7RCR|8AART|9DMG|aLIT
39	64333 35233	4	 * 	274.14	DCR|4VULN|2DUR|3CDMG|1NUKE|1AART	1NUKE|245aVULN|35aCDMG|5aBPWR|6aDUR|7RCR|8AART|9LEGI
40	32512 16331	8	   	273.92	DCR|5VULN|2DUR|1TLV|1SELL	1SELL|26DUR|3459aVULN|7RCR|8TLV
41	13321 16624	6	 * 	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	1ERES|2aDMG|3LWND|4TLV|57aVULN|6CDMG|8RCR|9aASPD|aBPWR
42	13321 51624	5	   	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	1ERES|2aDMG|3LWND|4TLV|56aVULN|7CDMG|8RCR|9aASPD|aBPWR
43	13321 61624	6	   	273.76	DCR|3VULN|2DMG|2ASPD|1TLV|1CDMG	1ERES|2aDMG|3LWND|4TLV|56aVULN|7CDMG|8RCR|9aASPD|aBPWR
44	33335 52151	6	 * 	273.67	ACR|5VULN|2DMG|2ASPD|2TLV|1SELL	1SELL|2569aVULN|3RCR|45DMG|59BPWR|79TLV|89ASPD
45	53313 25322	1	   	273.66	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	1CDMG|235VULN|45ASPD|5BPWR|6BBNT|7DUR|8aDMG|9RCR
46	53313 35132	1	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	1CDMG|2359VULN|45ASPD|5BPWR|68DUR|7RCR|aDMSP
47	53313 35133	1	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	1CDMG|2359VULN|45ASPD|5BPWR|68DUR|7RCR|aRCVC
48	53313 35135	1	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	1CDMG|2359VULN|45ASPD|5BPWR|68DUR|7RCR|aCGEN
49	53313 35136	1	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	1CDMG|2359VULN|45ASPD|5BPWR|68DUR|7RCR|aFEWX
50	53313 35134	1	   	273.24	DCR|4VULN|2DUR|2ASPD|1CDMG	1CDMG|2359VULN|45ASPD|5BPWR|68DUR|7RCR|aDUST
51	33133 35463	4	   	273.23	DCR|4VULN|2ASPD|1DMG|1DUR|1SELL	1SELL|245aVULN|35ASPD|5BPWR|6DUR|7RCR|8DMG|9LIT
52	33313 35463	2	   	273.23	DCR|4VULN|2ASPD|1DMG|1DUR|1SELL	1SELL|235aVULN|45ASPD|5BPWR|6DUR|7RCR|8DMG|9LIT
53	32512 52432	10	   	272.54	DCR|4VULN|2DUR|1CDMG|1ASPD|1AART|1SELL	1SELL|28DUR|3458VULN|6AART|7RCR|8BPWR|9ASPD|aCDMG
54	53313 25325	1	   	272.32	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR|1CDMG	1CDMG|235VULN|45ASPD|5BPWR|6BBNT|7DUR|8DMG|9RCR|aTLV
55	32511 52431	10	 * 	272.12	DCR|4VULN|3DUR|1ASPD|1AART|1SELL	1SELL|258DUR|348aVULN|6AART|7RCR|8BPWR|9ASPD
56	53322 25131	1	 * 	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1CDMG|239aVULN|4RCVC|58DUR|6DMG|7RCR
57	53323 35131	1	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1CDMG|239aVULN|4RCVC|5DMG|68DUR|7RCR
58	23333 25256	5	   	271.90	DCR|5VULN|2CDMG|1TLV	169LHND|2TLV|39CDMG|45689VULN|69BPWR|7RCR|aLIT
59	33335 25323	8	 * 	271.87	ACR|4VULN|3DUR|2DMG|2LIT|1SELL	1SELL|259aVULN|3RCR|45DMG|59BPWR|679DUR|89LIT
60	32512 16351	8	 * 	271.52	DCR|4VULN|3DUR|2TLV|1SELL	1SELL|269DUR|3459VULN|7RCR|89TLV|9BPWR|aRCVC
61	32512 16352	8	 * 	271.52	DCR|4VULN|3DUR|2TLV|1SELL	1SELL|269DUR|3459VULN|7RCR|89TLV|9BPWR|aRPLT
62	32512 16353	8	 * 	271.52	DCR|4VULN|3DUR|2TLV|1SELL	1SELL|269DUR|3459VULN|7RCR|89TLV|9BPWR|aRMIN
63	32535 32632	7	 * 	270.46	DCR|3VULN|3DMG|1TLV|1DUR|1SELL	1SELL|2DUR|35aVULN|459DMG|5BPWR|6TLV|7ERES|8RCR
64	33532 35442	6	 * 	269.49	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|248VULN|3TLV|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aZMB
65	33532 35445	6	 * 	269.49	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|248VULN|3TLV|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aMLV
66	33532 35446	6	 * 	269.49	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|248VULN|3TLV|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aRMIN
67	33532 35447	6	 * 	269.49	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|248VULN|3TLV|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aCGEN
68	33331 53634	2	 * 	269.49	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|23aVULN|4ERES|5aDUR|6TLV|7ZMB|8RCR|9aDMG|aBPWR
69	33532 35413	6	 * 	269.49	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|248VULN|3TLV|5MBVNT|68DMG|78DUR|8BPWR|9BEXP|aRCR
70	33532 35441	6	 * 	269.39	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|248VULN|3TLV|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aDUST
71	33532 35444	6	 * 	269.39	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|248VULN|3TLV|5MBVNT|68DMG|78DUR|8BPWR|9RCR|aLEGI
72	33532 35483	6	 * 	269.39	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|248VULN|3TLV|5MBVNT|68DMG|78DUR|8BPWR|9DUST|aRCR
73	32135 25233	6	 * 	269.31	DCR|3VULN|3DUR|3ASPD|1AART|1SELL	1SELL|26aDUR|35aASPD|45aVULN|5aBPWR|7RCR|8AART|9LEGI
74	33133 35213	4	   	269.30	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|245aVULN|35ASPD|5aBPWR|6aDUR|7RCR|8AART|9aLWND
75	33313 35213	2	   	269.30	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|235aVULN|45ASPD|5aBPWR|6aDUR|7RCR|8AART|9aLWND
76	32135 26263	6	 * 	269.16	DCR|3VULN|3DUR|3ASPD|1AART|2SELL	17SELL|26aDUR|35aASPD|45aVULN|5aBPWR|8AART|9RCR
77	33132 11273	6	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|249aVULN|3aASPD|5MBVNT|6AART|7aDUR|8RCR|aBPWR
78	33132 11673	6	   	269.10	DCR|4VULN|2DUR|2ASPD|1AART|1SELL	1SELL|248aVULN|3aASPD|5MBVNT|6AART|7aDUR|9RCR|aBPWR
