0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32314 16633	6	 * 	292.65	DCR|4VULN|3DMG|3DUR	138aVULN|2LHND|48aDUR|5BELT|68aDMG|7RCR|8aBPWR|9BBNT
2	31542 11126	5	 * 	280.17	DCR|4VULN|3TLV|2DUR|1DMG	139aVULN|2DMG|49DUR|579TLV|6BBNT|8RCR|9BPWR
3	31511 11113	5	 * 	277.87	DCR|3VULN|3DMG|2TLV|1DUR	13aVULN|29aDMG|4CGEN|5DUR|6BBNT|7aTLV|8RCR|aBPWR
4	31541 11113	5	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	13aVULN|29aDMG|4DUR|5CGEN|6BBNT|7aTLV|8RCR|aBPWR
5	31546 11113	4	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	13aVULN|29aDMG|4DUR|5CGEN|6BBNT|7aTLV|8RCR|aBPWR
6	31561 11113	5	   	277.77	DCR|3VULN|3DMG|2TLV|1DUR	13aVULN|29aDMG|4ERES|5DUR|6BBNT|7aTLV|8RCR|aBPWR
7	31513 36162	4	 * 	277.18	DCR|5VULN|2DMG|1TLV	13567VULN|29DMG|4CGEN|8RCR|aTLV
8	31531 12634	3	 * 	276.93	DCR|3VULN|2DMG|2DUR|1TLV	138VULN|24DMG|5ASPD|6aDUR|7RCR|9TLV
9	31542 32632	5	 * 	276.70	DCR|3VULN|2DMG|2TLV|2DUR	138VULN|2aDMG|46DUR|59TLV|7RCR
10	31511 66233	10	   	275.97	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	137VULN|27DMG|48CGEN|5DUR|67TLV|7BPWR|9CDMG|aRCR
11	31513 36133	4	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	13567VULN|2DMG|4CGEN|8RCR|9DUR|aTLV
12	34533 36133	3	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	13567VULN|2CGEN|4DMG|8RCR|9DUR|aTLV
13	31553 21235	7	   	275.47	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1356VULN|2DMG|4AART|7ASPD|8RCR|9DUR|aTLV
14	31513 52532	3	   	273.65	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1368VULN|2DMG|4DUST|56ASPD|6BPWR|7RCR|9TLV|aDUR
15	31523 52532	4	   	273.65	DCR|4VULN|1TLV|1DMG|2ASPD|1DUR	1368VULN|2DMG|4DUST|56ASPD|6BPWR|7RCR|9TLV|aDUR
16	31234 42353	3	 * 	273.51	DCR|3VULN|3DMG|1TLV|2CDMG	168VULN|248DMG|3RCVC|5TBNT|78CDMG|8BPWR|9RCR|aTLV
17	31262 42353	2	   	273.51	DCR|3VULN|3DMG|1TLV|2CDMG	168VULN|238DMG|4BBNT|5DMSP|78CDMG|8BPWR|9RCR|aTLV
18	31534 32353	3	   	273.51	DCR|3VULN|3DMG|1TLV|2CDMG	138VULN|248DMG|5TBNT|6RCVC|78CDMG|8BPWR|9RCR|aTLV
19	31551 41434	5	   	273.13	DCR|4VULN|2DMG|2DUR|1AART	1368VULN|28DMG|4AART|58DUR|7MBVNT|8BPWR|9TBNT|aRCR
20	31551 61434	6	   	273.13	DCR|4VULN|2DMG|2DUR|1AART	1368VULN|28DMG|4AART|58DUR|7MBVNT|8BPWR|9TBNT|aRCR
21	31553 11434	6	   	273.13	DCR|4VULN|2DMG|2DUR|1AART	1358VULN|28DMG|4AART|68DUR|7MBVNT|8BPWR|9TBNT|aRCR
22	31553 11471	6	   	273.13	DCR|4VULN|2DMG|2DUR|1AART	1358VULN|28DMG|4AART|68DUR|7MBVNT|8BPWR|9ERES|aRCR
23	31542 32633	5	   	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	138VULN|2DMG|46DUR|59TLV|7RCR|aCDMG
24	31542 11121	5	 * 	272.34	DCR|3VULN|3DUR|3TLV|1DMG	139VULN|2DMG|49aDUR|579TLV|6BBNT|8RCR|9BPWR
25	32438 62213	1	   	272.09	DCR|4VULN|2DUR|1TLV|1DMG	1456VULN|26DUR|3MBVNT|6BPWR|7RCR|8DMG|9CGEN|aTLV
26	23314 16633	6	   	271.50	DCR|3VULN|3DMG|3DUR	1LEGI|28aDUR|38aVULN|4RCVC|5BELT|68aDMG|7RCR|8aBPWR|9BBNT
27	31542 32315	5	 * 	270.81	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	13VULN|2aDMG|468DUR|5TLV|7RCR|9CDMG
28	31253 52532	2	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	168VULN|23DMG|4FEWX|56ASPD|6BPWR|7RCR|9TLV|aDUR
29	33622 52241	10	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	159VULN|2LWND|39ASPD|4DUR|6DUST|7RCR|89DMG|9BPWR|aTLV
30	33632 12241	10	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	159VULN|2LWND|39ASPD|4DUST|6DUR|7RCR|89DMG|9BPWR|aTLV
31	31213 52532	2	   	270.19	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	168VULN|23DMG|4DUST|56ASPD|6BPWR|7RCR|9TLV|aDUR
32	31335 55221	4	   	269.91	DCR|3VULN|3DMG|1TLV|1SELL	145VULN|24aDMG|3SELL|4BPWR|6LIT|7RCR|8ASPD|9TLV
33	31542 12113	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	13aVULN|29aDMG|4DUR|5TLV|6BBNT|7RCR|8aCGEN|aBPWR
34	31542 16113	5	   	269.59	DCR|3VULN|3DMG|1TLV|1DUR	13aVULN|29aDMG|4DUR|5TLV|6BBNT|7aERES|8RCR|aBPWR
35	31553 22531	9	   	269.26	DCR|5VULN|1TLV|1DMG|1AART	13569VULN|2DMG|4AART|7BEXP|8RCR|aTLV
36	31542 11632	7	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	13aVULN|28DMG|49DUR|5TLV|6BEXP|7RCR
37	31542 21632	7	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	13aVULN|28DMG|49DUR|5TLV|6FEWX|7RCR
38	31513 12634	4	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	135VULN|28DMG|4CGEN|6aDUR|7RCR|9TLV
39	32313 36166	6	   	268.61	DCR|4VULN|2TLV|2DUR	139aVULN|2LHND|49DUR|5LIT|6LWND|79TLV|8RCR|9BPWR
40	32323 62166	7	   	268.61	DCR|4VULN|2TLV|2DUR	139aVULN|2LHND|49TLV|5BEXP|6LIT|79DUR|8RCR|9BPWR
41	33323 62166	7	   	268.61	DCR|4VULN|2TLV|2DUR	139aVULN|2LWND|49TLV|5BEXP|6LIT|79DUR|8RCR|9BPWR
42	32311 16165	6	   	268.51	DCR|4VULN|2TLV|2DUR	139aVULN|2LHND|49DUR|5DUST|6LIT|79TLV|8RCR|9BPWR
43	33113 36165	1	   	268.51	DCR|4VULN|2TLV|2DUR	179aVULN|2DUST|39DUR|4LIT|5BEXP|69TLV|8RCR|9BPWR
44	33311 16165	6	   	268.51	DCR|4VULN|2TLV|2DUR	139aVULN|2LWND|49DUR|5DUST|6LIT|79TLV|8RCR|9BPWR
45	31336 13364	6	   	268.48	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	147VULN|24DMG|3SELL|4BPWR|5RMIN|69DUR|8TLV|aRCR
46	23311 36165	3	   	268.41	DCR|4VULN|2TLV|2DUR	1LEGI|29DUR|379aVULN|4LIT|5DUST|69TLV|8RCR|9BPWR
47	62632 62113	9	 * 	268.40	DCR|3VULN|3DMG|3CDMG|2LIT	168DMG|249CDMG|348VULN|48BPWR|58LIT|7DMSP|aRCR
48	31234 42352	3	 * 	268.35	DCR|4VULN|3DMG|2CDMG	168aVULN|248DMG|3RCVC|5TBNT|78CDMG|8BPWR|9RCR
49	31262 42352	2	   	268.35	DCR|4VULN|3DMG|2CDMG	168aVULN|238DMG|4BBNT|5DMSP|78CDMG|8BPWR|9RCR
50	31534 32352	3	   	268.35	DCR|4VULN|3DMG|2CDMG	138aVULN|248DMG|5TBNT|6RCVC|78CDMG|8BPWR|9RCR
